0.0000__16.0000, 0.9638__16.0000, 1.9316__16.0000, 2.9019__16.0000, 3.8882__16.0000, 4.8861__16.0000, 5.8841__16.0000, 6.8788__16.0000, 7.8911__16.0000, 8.8916__16.0000, 9.8963__16.0000, 10.9111__16.0000, 11.9204__16.0000, 12.9338__16.0000, 13.9507__16.0000, 14.9698__16.0000, 16.0000__16.0000, 
0.0000__14.9782, 0.9601__14.9815, 1.9313__14.9851, 2.9006__14.9861, 3.8911__14.9841, 4.8861__14.9803, 5.8800__14.9837, 6.8800__14.9864, 7.8895__14.9865, 8.8917__14.9883, 9.8958__14.9889, 10.9133__14.9872, 11.9221__14.9829, 12.9351__14.9797, 13.9526__14.9765, 14.9733__14.9709, 16.0000__14.9674, 
0.0000__13.9810, 0.9591__13.9787, 1.9276__13.9797, 2.9036__13.9794, 3.8945__13.9740, 4.8851__13.9746, 5.8791__13.9729, 6.8793__13.9708, 7.8852__13.9746, 8.8893__13.9795, 9.8944__13.9828, 10.9192__13.9806, 11.9273__13.9738, 12.9402__13.9667, 13.9600__13.9574, 14.9791__13.9491, 16.0000__13.9466, 
0.0000__12.9762, 0.9557__12.9799, 1.9253__12.9816, 2.9129__12.9736, 3.8953__12.9677, 4.8838__12.9679, 5.8814__12.9692, 6.8799__12.9673, 7.8788__12.9676, 8.8857__12.9729, 9.8969__12.9714, 10.9214__12.9695, 11.9351__12.9677, 12.9501__12.9580, 13.9724__12.9452, 14.9856__12.9343, 16.0000__12.9303, 
0.0000__12.0523, 0.9733__12.0292, 1.9442__11.9874, 2.9157__11.9684, 3.8961__11.9669, 4.8814__11.9673, 5.8803__11.9693, 6.8834__11.9682, 7.8815__11.9614, 8.8838__11.9554, 9.9038__11.9516, 10.9185__11.9485, 11.9385__11.9515, 12.9628__11.9455, 13.9824__11.9350, 14.9915__11.9294, 16.0000__11.9272, 
0.0000__11.1025, 1.0064__11.0939, 1.9868__11.0611, 2.9423__11.0089, 3.8956__10.9777, 4.8775__10.9765, 5.8834__10.9734, 6.8827__10.9707, 7.8911__10.9676, 8.8935__10.9538, 9.9149__10.9361, 10.9143__10.9305, 11.9414__10.9296, 12.9685__10.9260, 13.9864__10.9256, 14.9969__10.9214, 16.0000__10.9180, 
0.0000__10.1585, 1.0256__10.1482, 2.0206__10.1317, 2.9852__10.1120, 3.9332__10.0610, 4.8866__10.0092, 5.8825__9.9999, 6.8929__9.9928, 7.9067__9.9693, 8.9107__9.9499, 9.9284__9.9368, 10.9249__9.9186, 11.9483__9.9033, 12.9692__9.8986, 13.9869__9.8963, 14.9953__9.9004, 16.0000__9.9050, 
0.0000__9.1953, 1.0439__9.1901, 2.0265__9.1874, 3.0135__9.1758, 3.9922__9.1442, 4.9321__9.0913, 5.8971__9.0360, 6.9162__9.0038, 7.9340__8.9748, 8.9290__8.9472, 9.9449__8.9266, 10.9498__8.9037, 11.9574__8.8849, 12.9753__8.8747, 13.9873__8.8696, 14.9889__8.8716, 16.0000__8.8742, 
0.0000__8.2338, 1.0466__8.2434, 2.0411__8.2300, 3.0346__8.2007, 4.0196__8.1875, 4.9867__8.1639, 5.9578__8.1038, 6.9562__8.0336, 7.9704__7.9845, 8.9541__7.9481, 9.9685__7.9213, 10.9749__7.8963, 11.9805__7.8658, 12.9869__7.8410, 13.9881__7.8338, 14.9861__7.8368, 16.0000__7.8393, 
0.0000__7.3106, 1.0390__7.3142, 2.0927__7.2880, 3.0678__7.2317, 4.0305__7.1988, 5.0218__7.1751, 6.0194__7.1382, 7.0219__7.0817, 8.0234__7.0146, 9.0042__6.9489, 9.9848__6.9111, 11.0101__6.8878, 12.0175__6.8456, 13.0134__6.8064, 13.9841__6.7908, 14.9766__6.8027, 16.0000__6.8107, 
0.0000__6.3013, 1.0489__6.2871, 2.1135__6.2991, 3.1219__6.3014, 4.0661__6.2473, 5.0508__6.2019, 6.0597__6.1657, 7.0838__6.1194, 8.0825__6.0686, 9.0599__6.0210, 10.0212__5.9687, 11.0414__5.9294, 12.0613__5.8957, 13.0434__5.8605, 14.0032__5.8314, 14.9839__5.8026, 16.0000__5.7922, 
0.0000__5.2679, 1.0545__5.2769, 2.0977__5.2797, 3.1283__5.3022, 4.1142__5.3090, 5.0969__5.2569, 6.1021__5.2023, 7.1211__5.1710, 8.1323__5.1363, 9.1101__5.0836, 10.0809__5.0249, 11.0709__4.9768, 12.0901__4.9509, 13.0610__4.9371, 14.0393__4.9138, 15.0134__4.8812, 16.0000__4.8646, 
0.0000__4.2251, 1.0428__4.2270, 2.0894__4.2480, 3.1007__4.2659, 4.1229__4.2710, 5.1365__4.2721, 6.1434__4.2454, 7.1495__4.2066, 8.1746__4.1719, 9.1594__4.1339, 10.1360__4.0854, 11.1162__4.0305, 12.1089__3.9929, 13.0801__3.9678, 14.0502__3.9587, 15.0346__3.9551, 16.0000__3.9479, 
0.0000__3.1727, 1.0367__3.1763, 2.0672__3.1839, 3.0956__3.1928, 4.1145__3.1976, 5.1373__3.1960, 6.1594__3.2000, 7.1725__3.1956, 8.1940__3.1895, 9.1981__3.1673, 10.1870__3.1213, 11.1695__3.0669, 12.1375__3.0224, 13.0969__3.0017, 14.0556__2.9875, 15.0390__2.9802, 16.0000__2.9819, 
0.0000__2.1162, 1.0320__2.1175, 2.0622__2.1208, 3.0890__2.1246, 4.1136__2.1276, 5.1363__2.1311, 6.1540__2.1309, 7.1743__2.1306, 8.1919__2.1303, 9.2151__2.1301, 10.2159__2.1240, 11.2254__2.0874, 12.1784__2.0332, 13.1179__1.9901, 14.0655__1.9741, 15.0266__1.9869, 16.0000__1.9989, 
0.0000__1.0574, 1.0305__1.0579, 2.0598__1.0591, 3.0869__1.0605, 4.1116__1.0620, 5.1340__1.0630, 6.1554__1.0644, 7.1730__1.0644, 8.1926__1.0640, 9.2093__1.0667, 10.2223__1.0630, 11.2465__1.0651, 12.2278__1.0424, 13.1721__0.9806, 14.0523__0.9643, 15.0086__0.9879, 16.0000__0.9943, 
0.0000__0.0000, 1.0302__0.0000, 2.0592__0.0000, 3.0862__0.0000, 4.1111__0.0000, 5.1339__0.0000, 6.1543__0.0000, 7.1741__0.0000, 8.1920__0.0000, 9.2076__0.0000, 10.2253__0.0000, 11.2380__0.0000, 12.2517__0.0000, 13.2080__0.0000, 14.0390__0.0000, 15.0019__0.0000, 16.0000__0.0000
