0.0000__32.0000, 1.8158__32.0000, 3.5062__32.0000, 5.2232__32.0000, 6.5836__32.0000, 8.0593__32.0000, 9.1391__32.0000, 10.6718__32.0000, 12.2954__32.0000, 13.4204__32.0000, 14.0856__32.0000, 14.5610__32.0000, 14.9508__32.0000, 15.6560__32.0000, 16.1087__32.0000, 16.7139__32.0000, 17.3861__32.0000, 17.9524__32.0000, 18.6524__32.0000, 19.2804__32.0000, 20.2346__32.0000, 21.1287__32.0000, 21.8766__32.0000, 22.4350__32.0000, 23.5254__32.0000, 24.6362__32.0000, 25.7645__32.0000, 26.9435__32.0000, 28.2891__32.0000, 29.3314__32.0000, 30.2638__32.0000, 31.3978__32.0000, 32.0000__32.0000, 
0.0000__30.7332, 1.6758__30.8050, 3.3989__30.8516, 5.0104__30.8724, 6.5317__30.8648, 8.0882__30.7778, 9.1511__30.7706, 10.4802__30.8152, 12.0741__30.9350, 13.5575__30.7942, 14.2221__30.6407, 14.7852__30.5303, 15.2186__30.3844, 15.6802__30.3480, 16.2535__30.4385, 16.8363__30.3719, 17.4275__30.3858, 18.0692__30.3584, 18.6725__30.3535, 19.4286__30.3507, 20.1701__30.3569, 21.0479__30.4587, 21.7712__30.5907, 22.5321__30.6205, 23.4519__30.6063, 24.5142__30.7746, 25.7230__30.9382, 26.9461__30.9832, 28.1729__31.0971, 29.3640__31.1553, 30.2929__31.0568, 31.3020__31.1124, 32.0000__31.1941, 
0.0000__29.3333, 1.6774__29.2385, 3.1938__29.3351, 4.8113__29.4996, 6.4091__29.4868, 7.8673__29.5339, 9.1895__29.5563, 10.2850__29.6603, 11.8403__29.6526, 13.3290__29.5566, 14.0981__29.4740, 14.7490__29.3413, 15.4033__29.2872, 16.2850__28.9122, 16.4372__28.8439, 16.9791__29.0660, 17.5586__29.0156, 18.2221__28.9967, 18.8509__28.8817, 19.3511__29.0577, 20.2061__29.1896, 20.9467__29.1395, 21.7287__29.1244, 22.4653__29.2128, 23.3418__29.4324, 24.4125__29.5132, 25.5594__29.6389, 26.8463__29.8746, 28.0606__29.9705, 29.3117__30.0900, 30.4125__30.1174, 31.3245__29.9932, 32.0000__29.9323, 
0.0000__27.9562, 1.7298__27.9414, 3.2658__27.8751, 4.6858__27.9587, 6.2392__28.1392, 7.5050__28.1668, 8.9908__28.1506, 10.1434__28.1916, 11.1853__28.3913, 12.7763__28.5588, 14.0428__28.3427, 14.8141__28.1170, 15.7567__27.6943, 16.6807__27.7210, 17.0872__27.5178, 17.2641__27.5287, 17.7791__27.6486, 18.2361__27.7349, 18.8212__27.9515, 19.4460__27.9107, 20.2258__27.8323, 21.0331__27.7134, 21.5593__27.6881, 22.3291__27.9957, 23.2372__28.0773, 24.2792__28.2537, 25.3945__28.4146, 26.6348__28.5391, 27.9007__28.7840, 29.1242__28.9951, 30.3128__29.2601, 31.3964__29.4515, 32.0000__29.4886, 
0.0000__26.6368, 1.6098__26.5695, 3.0204__26.7193, 4.6942__26.6922, 6.0278__26.6117, 7.3972__26.6783, 8.8509__26.4746, 10.0956__26.5745, 10.8756__26.8830, 12.0463__27.0043, 13.5996__27.1235, 14.9560__26.8766, 15.8431__26.8607, 16.4710__26.6736, 17.0992__26.6978, 17.3249__26.8201, 17.8396__26.8035, 18.3359__26.8181, 18.8960__26.7638, 19.5831__26.8319, 20.3066__26.8160, 21.0537__26.6111, 21.4485__26.5720, 22.1887__26.7543, 23.0676__26.9698, 24.0735__27.1301, 25.2488__27.3306, 26.5370__27.4409, 27.6288__27.5194, 28.9329__27.7545, 29.9743__27.9858, 31.1704__28.3046, 32.0000__28.5265, 
0.0000__24.6278, 1.3870__24.9422, 2.8569__24.9102, 4.3427__25.3499, 6.0394__25.3465, 7.5499__24.8568, 8.9062__24.7508, 10.0552__24.8511, 10.9511__25.1627, 11.8119__25.5633, 13.1711__25.6373, 14.6957__25.6589, 15.6866__25.6242, 16.1481__25.8485, 16.8499__25.9937, 17.5051__25.8126, 17.8275__25.9154, 18.5002__25.9694, 19.0327__26.0085, 19.7333__25.8612, 20.3315__25.8525, 21.0296__25.8729, 21.4180__25.8110, 22.0633__25.9337, 22.8892__26.0132, 23.9320__26.1611, 25.0925__26.2595, 26.4109__26.3605, 27.4921__26.4244, 28.6467__26.6001, 29.8733__26.7081, 30.7755__26.8888, 32.0000__27.0909, 
0.0000__22.4520, 1.1732__22.8467, 2.6640__23.2702, 3.9932__23.7679, 6.1322__23.7382, 8.0269__23.1859, 9.4517__22.7813, 9.9716__23.2641, 10.7653__23.8486, 11.9208__24.0374, 13.1244__24.2480, 14.6794__24.2586, 15.6142__24.4644, 15.8864__24.7952, 16.5685__24.9204, 17.3202__25.2602, 17.9830__25.1257, 18.3385__25.2936, 19.0883__25.3552, 19.8409__25.2333, 20.3950__25.1506, 20.9152__25.1898, 21.4001__25.3330, 22.0886__25.3268, 22.8362__25.3218, 23.8286__25.3488, 25.0070__25.4010, 26.2827__25.3372, 27.1620__25.5245, 28.5965__25.7298, 29.7313__25.7051, 30.5090__25.9081, 32.0000__25.9924, 
0.0000__20.6166, 1.2458__20.9353, 2.6604__21.2117, 4.0556__22.2458, 5.7155__22.5408, 7.9578__22.1771, 9.7534__21.7752, 10.4857__21.8762, 11.0749__22.3172, 12.2465__22.7044, 13.6527__22.8275, 14.6729__23.1528, 15.4481__23.4799, 15.9120__23.7710, 16.3215__24.1003, 16.9288__24.2360, 17.7084__24.5061, 18.1892__24.6809, 19.0001__24.7372, 19.9606__24.6218, 20.3412__24.6611, 20.8134__24.7917, 21.4713__24.7686, 22.1090__24.7474, 22.8687__24.7321, 23.8256__24.6925, 24.9500__24.5919, 26.0220__24.6778, 27.0974__24.6723, 28.3269__24.6709, 29.4810__24.9990, 30.2902__25.2734, 32.0000__25.3936, 
0.0000__20.1504, 1.2818__20.3576, 3.1048__20.1212, 4.1734__20.5135, 6.0699__21.0201, 8.0569__20.8270, 9.5683__21.0003, 11.0318__20.9932, 11.4954__21.2790, 12.7552__21.5368, 13.6172__22.0237, 14.4593__22.3920, 15.2117__22.7042, 15.7295__23.0431, 16.2662__23.1954, 16.7689__23.4583, 17.4571__23.5624, 18.0738__23.6978, 18.6539__23.9764, 19.7835__24.2155, 20.2603__24.3094, 20.8364__24.1890, 21.5361__24.1975, 22.1575__24.1663, 22.8626__24.1226, 23.8278__24.0751, 24.8895__24.1000, 25.9801__23.9910, 26.9460__24.0709, 28.1530__24.1710, 29.1072__24.2799, 30.2047__24.5660, 32.0000__24.4391, 
0.0000__19.5135, 1.3478__19.6687, 3.1361__19.7881, 4.4279__19.8008, 6.6976__19.6750, 8.4098__19.8899, 9.5355__20.1866, 10.7268__20.5641, 11.6122__20.7009, 12.7208__20.8537, 13.3031__21.2225, 13.9620__21.7350, 14.6304__22.0998, 15.3144__22.3208, 16.0967__22.6032, 16.6895__22.6584, 17.4236__22.7547, 17.8640__22.9082, 18.5886__22.9074, 19.3623__23.0439, 20.3116__23.2745, 20.9146__23.3387, 21.4026__23.4543, 22.1947__23.6481, 22.9447__23.6378, 23.8679__23.5690, 24.9465__23.4493, 26.0115__23.4487, 26.7256__23.4130, 28.0479__23.4803, 28.9275__23.5764, 30.1328__23.5178, 32.0000__23.5399, 
0.0000__19.0084, 1.4222__19.0737, 3.0420__19.1459, 4.5251__19.3918, 6.5144__19.3208, 8.2970__19.4912, 9.3960__19.7061, 10.4191__20.0135, 11.3652__20.2989, 12.2309__20.4737, 12.9787__20.6549, 13.4087__21.0065, 13.8714__21.3022, 15.0945__21.5693, 15.6162__21.7276, 16.4606__22.0383, 17.2457__22.1196, 17.8592__22.0901, 18.7581__22.0403, 19.1746__22.0816, 20.0553__22.3442, 20.7125__22.8317, 21.2889__23.0111, 22.2178__22.7927, 23.1167__22.8013, 24.0236__22.7621, 25.0485__22.7993, 25.7746__22.9985, 26.6250__23.1772, 27.4103__23.1663, 28.8579__23.1677, 29.8582__22.9853, 32.0000__22.7661, 
0.0000__18.7207, 1.5178__18.6138, 3.2077__18.4467, 4.5211__18.6811, 6.2982__18.8923, 7.6380__19.1735, 9.2346__19.3407, 10.0401__19.5577, 11.1276__19.8333, 12.0974__19.9334, 13.1897__19.9761, 13.5034__20.1221, 13.8478__20.4015, 14.7552__20.5191, 15.3767__20.9351, 16.0168__21.0458, 17.1006__21.2604, 17.9545__21.2812, 18.7167__21.4946, 19.2726__21.4795, 19.6108__21.5550, 20.3402__21.8162, 21.5403__21.7924, 22.3683__21.8619, 23.0903__21.8692, 23.9314__21.9979, 24.8938__22.2330, 25.7397__22.4200, 26.5041__22.6671, 27.4253__22.8512, 28.6283__22.9004, 29.8848__22.7000, 32.0000__22.2999, 
0.0000__18.2712, 1.5973__18.1406, 3.2422__18.0927, 4.5439__18.2237, 5.9079__18.4410, 7.4043__18.7190, 8.7368__18.9311, 9.8560__19.1614, 10.8823__19.3641, 12.1340__19.4440, 13.1096__19.6232, 13.8412__19.6697, 14.2078__19.7320, 14.7602__19.8677, 15.5081__19.8773, 15.8938__19.9849, 16.9246__20.2692, 17.9148__20.6242, 18.5386__20.7746, 19.2674__21.0550, 19.4282__21.1390, 20.2792__20.7616, 21.4405__20.7242, 22.1915__21.1207, 23.1834__21.2118, 23.6330__21.2090, 24.8111__21.1365, 25.5434__21.8369, 26.4532__22.1108, 27.2553__22.5701, 28.6296__22.6435, 29.7333__22.4999, 32.0000__22.2576, 
