0.0000__32.0000, 1.0816__32.0000, 2.5654__32.0000, 3.6191__32.0000, 4.6560__32.0000, 5.7318__32.0000, 6.9559__32.0000, 7.9879__32.0000, 9.1987__32.0000, 10.1713__32.0000, 11.2336__32.0000, 12.1049__32.0000, 13.0545__32.0000, 14.2073__32.0000, 14.8381__32.0000, 16.6531__32.0000, 17.4931__32.0000, 18.2888__32.0000, 18.8943__32.0000, 19.5890__32.0000, 20.2972__32.0000, 21.3260__32.0000, 22.1619__32.0000, 23.1146__32.0000, 24.0860__32.0000, 25.3875__32.0000, 26.3642__32.0000, 27.4291__32.0000, 28.1651__32.0000, 29.7721__32.0000, 30.4714__32.0000, 31.2224__32.0000, 32.0000__32.0000, 
0.0000__31.5243, 1.1624__31.4169, 2.5036__31.4404, 3.6481__31.5157, 4.6517__31.4827, 5.7733__31.4373, 6.8925__31.4583, 8.0793__31.4337, 9.1863__31.4186, 10.1237__31.4718, 11.1880__31.5059, 12.1406__31.4429, 13.0213__31.3701, 14.2154__31.3873, 15.0720__31.1918, 16.5201__31.2921, 17.5287__31.4394, 18.1172__31.5347, 19.0086__31.4874, 19.4863__31.4035, 20.4826__31.3166, 21.1671__31.3005, 22.2266__31.3776, 23.0558__31.3391, 24.1901__31.2595, 25.4231__31.1440, 26.3782__31.1224, 27.4306__31.1532, 28.4644__30.9568, 29.5877__31.0225, 30.4586__31.2630, 31.1712__31.3142, 32.0000__31.3565, 
0.0000__30.9155, 1.2141__30.9393, 2.4696__30.9811, 3.6712__31.0264, 4.6832__30.9971, 5.8235__30.9435, 6.8952__30.8443, 8.1424__30.8716, 9.1926__30.9560, 10.0561__30.8890, 11.1427__30.8395, 12.1483__30.8374, 13.1311__30.6945, 14.0910__30.6486, 15.4747__30.6718, 16.4079__30.6883, 17.4998__30.8794, 18.0562__30.7717, 18.7117__30.9112, 19.8420__30.8060, 20.4195__30.6344, 21.2303__30.6263, 22.0731__30.5687, 23.2773__30.4864, 24.2631__30.2348, 25.3410__30.4170, 26.5385__30.4403, 27.4520__30.3552, 28.6294__30.4797, 29.5128__30.5437, 30.3936__30.5782, 31.1448__30.5873, 32.0000__30.5331, 
0.0000__30.4398, 1.1864__30.4307, 2.4444__30.4834, 3.6638__30.5634, 4.7160__30.5050, 5.8886__30.4265, 7.0194__30.3532, 8.1220__30.3686, 9.1874__30.4033, 10.1322__30.3019, 11.1479__30.2750, 12.2385__30.2020, 13.2668__30.1705, 14.2059__29.9710, 15.4237__30.0358, 16.3830__30.2050, 17.3796__30.2521, 18.1122__30.3053, 18.7063__29.7671, 19.8877__29.9393, 20.4328__30.1714, 21.1948__30.0659, 22.2319__29.8561, 23.3661__29.5665, 24.3062__29.7346, 25.3106__29.6108, 26.4483__29.8192, 27.5417__29.9307, 28.4944__29.8863, 29.5343__29.9636, 30.3476__29.9657, 31.1883__29.9259, 32.0000__29.9174, 
0.0000__29.9561, 1.1662__29.9534, 2.4157__29.9615, 3.6306__30.0435, 4.7796__29.9972, 5.9717__29.9508, 7.1055__29.9286, 8.1785__29.8916, 9.2067__29.8640, 10.2056__29.7936, 11.1834__29.6277, 12.3140__29.5989, 13.3430__29.5428, 14.3731__29.5066, 15.3592__29.4642, 16.1184__29.2328, 17.2166__29.3857, 18.1382__29.3150, 19.0223__29.3733, 19.7514__29.4988, 20.5323__29.6090, 21.0761__29.4788, 22.7213__29.1745, 23.3726__29.0682, 24.2994__29.0120, 25.3436__29.0880, 26.2678__28.9947, 27.4520__29.0211, 28.4335__29.2237, 29.4563__29.3105, 30.4043__29.3495, 31.2193__29.3098, 32.0000__29.2905, 
0.0000__29.5162, 1.1328__29.4841, 2.4093__29.4729, 3.5943__29.4943, 4.8394__29.4672, 6.0385__29.4854, 7.1539__29.4707, 8.2557__29.4426, 9.2704__29.3848, 10.2814__29.2525, 11.3295__29.1261, 12.4002__29.0656, 13.3915__29.0241, 14.4983__28.8471, 15.4836__28.8247, 16.3078__28.6846, 17.3184__28.5602, 18.3734__28.8406, 19.0186__28.8680, 19.8276__28.9930, 20.1116__28.8530, 21.2721__28.3912, 22.9083__28.4910, 23.4644__28.5686, 24.3009__28.4678, 25.2337__28.4483, 26.4190__28.4825, 27.3530__28.4554, 28.3607__28.4184, 29.3183__28.4493, 30.4973__28.5471, 31.2341__28.6236, 32.0000__28.6651, 
0.0000__29.0936, 1.1224__29.0230, 2.3613__28.9711, 3.6151__28.9605, 4.8781__28.9387, 6.0784__29.0214, 7.2317__29.0059, 8.2885__28.9537, 9.3556__28.9038, 10.4220__28.7794, 11.4454__28.6273, 12.4788__28.5695, 13.4644__28.2701, 14.7072__28.3428, 15.5389__28.3237, 16.5388__28.0812, 17.5275__28.1660, 18.3959__28.3583, 19.1003__28.4128, 19.6452__28.4755, 20.0948__27.8640, 21.7571__27.0745, 22.7906__27.6766, 23.5020__28.0622, 24.2371__27.9135, 25.2767__27.7551, 26.2979__27.7944, 27.3978__27.9235, 28.4345__27.7126, 29.3008__27.4511, 30.3486__27.7017, 31.3056__27.9532, 32.0000__27.9060, 
0.0000__28.7007, 1.0833__28.6393, 2.3888__28.4968, 3.6126__28.3909, 4.9305__28.4506, 6.0884__28.4975, 7.2988__28.5486, 8.3410__28.4861, 9.4241__28.3595, 10.5638__28.3106, 11.5513__28.2150, 12.5866__27.9966, 13.7049__27.7988, 14.7186__27.8842, 15.8300__27.7556, 16.7245__27.6754, 17.6948__27.7642, 18.3952__27.9041, 19.0884__27.9347, 19.3195__27.5395, 20.8339__26.5179, 21.7520__26.7002, 22.7360__27.3217, 23.4342__27.3173, 24.2585__27.1839, 25.1921__27.1341, 26.0986__27.1185, 27.7100__26.7344, 28.4023__26.7466, 29.3953__26.8286, 30.2540__26.6121, 31.2400__26.7734, 32.0000__27.0740, 
0.0000__28.4053, 1.0913__28.1745, 2.4078__27.9717, 3.6391__27.8966, 4.9675__27.9381, 6.1256__27.9723, 7.3000__28.0095, 8.4165__27.9415, 9.5225__27.8397, 10.6313__27.8569, 11.6625__27.6622, 12.7738__27.4694, 13.8609__27.4376, 14.8967__27.2775, 15.9339__27.2705, 16.9639__27.2820, 17.7322__27.3509, 18.4107__27.3122, 19.0063__27.2946, 19.5829__25.8921, 20.8522__25.9577, 21.8885__26.5093, 22.7499__26.8314, 23.3798__26.7579, 24.1379__26.6431, 25.0157__26.6012, 26.6789__25.6120, 27.6919__25.6734, 28.4229__25.8070, 29.3945__25.5868, 30.2240__25.7304, 31.1512__25.7829, 32.0000__25.7150, 
0.0000__27.6475, 1.1075__27.5217, 2.4025__27.4418, 3.7093__27.3742, 5.0055__27.4748, 6.1641__27.4852, 7.3475__27.4733, 8.4613__27.3913, 9.6226__27.3629, 10.6734__27.2808, 11.7879__27.1085, 12.9118__27.0309, 14.0175__26.8879, 15.0033__26.7594, 16.0961__26.7488, 17.0150__26.8019, 17.7787__26.7909, 18.4376__26.6093, 18.8988__26.3372, 19.9642__25.5376, 20.9949__25.8119, 21.9552__26.1378, 22.5748__26.1118, 23.2307__26.0588, 23.8660__25.9129, 25.2371__24.9430, 27.1522__25.0341, 27.7135__25.2094, 28.6411__25.0035, 29.4411__25.0723, 30.1914__24.9257, 31.1223__24.9528, 32.0000__25.1124, 
0.0000__27.2648, 1.0975__27.0683, 2.4291__26.9433, 3.8009__26.9215, 5.0268__27.0763, 6.2469__27.0471, 7.4115__26.9967, 8.5582__26.8833, 9.6629__26.8323, 10.8076__26.7094, 11.8321__26.5100, 13.0370__26.4004, 14.1582__26.3442, 15.0873__26.2005, 16.2238__26.2954, 17.1033__26.1888, 17.8409__25.9474, 18.5081__25.9151, 19.2909__25.4629, 20.2022__25.2406, 21.0993__25.5076, 21.7919__25.3977, 22.4629__25.4503, 22.9297__25.2112, 23.7547__24.0498, 25.8405__23.4642, 27.2763__24.2295, 28.0283__24.4489, 28.6944__24.3105, 29.4393__24.3615, 30.2381__24.3072, 31.0717__24.1338, 32.0000__24.0106, 
