0.0000__32.0000, 1.0754__32.0000, 2.1443__32.0000, 3.2093__32.0000, 4.2620__32.0000, 5.3108__32.0000, 6.3523__32.0000, 7.3944__32.0000, 8.4364__32.0000, 9.4749__32.0000, 10.4982__32.0000, 11.5169__32.0000, 12.5178__32.0000, 13.5314__32.0000, 14.5324__32.0000, 15.5264__32.0000, 16.5144__32.0000, 17.4990__32.0000, 18.4737__32.0000, 19.4431__32.0000, 20.4105__32.0000, 21.3670__32.0000, 22.3136__32.0000, 23.2616__32.0000, 24.2249__32.0000, 25.1888__32.0000, 26.1538__32.0000, 27.1171__32.0000, 28.0921__32.0000, 29.0636__32.0000, 30.0387__32.0000, 31.0254__32.0000, 32.0000__32.0000, 
0.0000__31.0473, 1.0755__31.0472, 2.1448__31.0469, 3.2084__31.0476, 4.2617__31.0489, 5.3105__31.0496, 6.3524__31.0497, 7.3926__31.0509, 8.4332__31.0548, 9.4724__31.0588, 10.4964__31.0604, 11.5149__31.0619, 12.5214__31.0576, 13.5355__31.0497, 14.5314__31.0486, 15.5273__31.0496, 16.5150__31.0488, 17.4999__31.0480, 18.4755__31.0462, 19.4447__31.0445, 20.4117__31.0436, 21.3652__31.0453, 22.3138__31.0466, 23.2632__31.0446, 24.2227__31.0452, 25.1851__31.0503, 26.1517__31.0548, 27.1165__31.0563, 28.0889__31.0593, 29.0626__31.0631, 30.0385__31.0636, 31.0216__31.0674, 32.0000__31.0712, 
0.0000__30.0888, 1.0753__30.0891, 2.1437__30.0910, 3.2064__30.0938, 4.2605__30.0958, 5.3084__30.0985, 6.3523__30.0998, 7.3904__30.0997, 8.4281__30.1019, 9.4663__30.1076, 10.4937__30.1108, 11.5105__30.1119, 12.5262__30.1096, 13.5436__30.1034, 14.5311__30.0996, 15.5263__30.1009, 16.5166__30.1013, 17.5023__30.0994, 18.4794__30.0967, 19.4449__30.0959, 20.4129__30.0964, 21.3653__30.0934, 22.3144__30.0912, 23.2638__30.0910, 24.2195__30.0922, 25.1816__30.0927, 26.1468__30.0952, 27.1128__30.1004, 28.0834__30.1052, 29.0586__30.1101, 30.0363__30.1144, 31.0172__30.1169, 32.0000__30.1177, 
0.0000__29.1317, 1.0751__29.1318, 2.1403__29.1343, 3.2040__29.1379, 4.2581__29.1408, 5.3050__29.1436, 6.3512__29.1453, 7.3905__29.1449, 8.4234__29.1466, 9.4591__29.1521, 10.4910__29.1561, 11.5097__29.1543, 12.5288__29.1500, 13.5436__29.1532, 14.5352__29.1520, 15.5256__29.1478, 16.5152__29.1497, 17.5026__29.1524, 18.4819__29.1523, 19.4490__29.1461, 20.4155__29.1401, 21.3715__29.1347, 22.3136__29.1324, 23.2636__29.1330, 24.2188__29.1317, 25.1806__29.1327, 26.1430__29.1351, 27.1077__29.1380, 28.0776__29.1431, 29.0541__29.1479, 30.0313__29.1521, 31.0140__29.1577, 32.0000__29.1604, 
0.0000__28.1754, 1.0743__28.1767, 2.1378__28.1780, 3.2018__28.1797, 4.2551__28.1829, 5.3027__28.1847, 6.3498__28.1851, 7.3899__28.1861, 8.4207__28.1859, 9.4527__28.1881, 10.4863__28.1932, 11.5128__28.1931, 12.5316__28.1900, 13.5378__28.1927, 14.5355__28.1979, 15.5276__28.1988, 16.5116__28.1990, 17.5010__28.2005, 18.4827__28.2003, 19.4557__28.1978, 20.4217__28.1925, 21.3799__28.1870, 22.3163__28.1802, 23.2660__28.1749, 24.2185__28.1743, 25.1782__28.1762, 26.1412__28.1776, 27.1054__28.1780, 28.0715__28.1807, 29.0493__28.1864, 30.0264__28.1910, 31.0089__28.1945, 32.0000__28.1963, 
0.0000__27.2254, 1.0753__27.2241, 2.1401__27.2200, 3.1976__27.2214, 4.2532__27.2251, 5.3036__27.2228, 6.3507__27.2195, 7.3881__27.2196, 8.4201__27.2215, 9.4492__27.2223, 10.4814__27.2240, 11.5139__27.2259, 12.5333__27.2277, 13.5321__27.2329, 14.5296__27.2388, 15.5263__27.2430, 16.5097__27.2436, 17.4993__27.2450, 18.4824__27.2467, 19.4587__27.2443, 20.4277__27.2399, 21.3845__27.2382, 22.3241__27.2335, 23.2707__27.2265, 24.2181__27.2222, 25.1773__27.2205, 26.1417__27.2188, 27.1050__27.2182, 28.0659__27.2206, 29.0432__27.2251, 30.0219__27.2297, 31.0065__27.2313, 32.0000__27.2309, 
0.0000__26.2681, 1.0768__26.2694, 2.1439__26.2698, 3.1970__26.2658, 4.2544__26.2611, 5.3080__26.2570, 6.3547__26.2529, 7.3866__26.2520, 8.4176__26.2538, 9.4487__26.2534, 10.4803__26.2519, 11.5118__26.2550, 12.5288__26.2645, 13.5272__26.2703, 14.5228__26.2753, 15.5205__26.2831, 16.5097__26.2852, 17.4946__26.2865, 18.4816__26.2882, 19.4626__26.2860, 20.4317__26.2842, 21.3847__26.2854, 22.3283__26.2841, 23.2767__26.2785, 24.2229__26.2697, 25.1789__26.2630, 26.1423__26.2621, 27.1029__26.2649, 28.0625__26.2659, 29.0405__26.2642, 30.0199__26.2621, 31.0061__26.2604, 32.0000__26.2599, 
0.0000__25.3119, 1.0775__25.3109, 2.1460__25.3088, 3.2023__25.3050, 4.2592__25.2991, 5.3145__25.2925, 6.3598__25.2879, 7.3886__25.2828, 8.4160__25.2795, 9.4501__25.2783, 10.4817__25.2776, 11.5057__25.2843, 12.5187__25.2963, 13.5231__25.3056, 14.5162__25.3105, 15.5124__25.3158, 16.5074__25.3205, 17.4924__25.3201, 18.4798__25.3207, 19.4662__25.3222, 20.4303__25.3258, 21.3826__25.3299, 22.3319__25.3265, 23.2827__25.3198, 24.2301__25.3135, 25.1832__25.3067, 26.1413__25.3033, 27.0979__25.3050, 28.0645__25.3024, 29.0424__25.2964, 30.0218__25.2934, 31.0068__25.2907, 32.0000__25.2894, 
0.0000__24.3654, 1.0816__24.3640, 2.1568__24.3538, 3.2072__24.3411, 4.2668__24.3331, 5.3222__24.3252, 6.3648__24.3210, 7.3978__24.3145, 8.4195__24.3065, 9.4534__24.3037, 10.4819__24.3067, 11.4983__24.3149, 12.5088__24.3264, 13.5135__24.3392, 14.5118__24.3465, 15.5083__24.3473, 16.5060__24.3473, 17.4916__24.3487, 18.4764__24.3515, 19.4642__24.3585, 20.4264__24.3638, 21.3801__24.3648, 22.3360__24.3641, 23.2878__24.3612, 24.2346__24.3563, 25.1888__24.3501, 26.1438__24.3436, 27.0998__24.3339, 28.0689__24.3254, 29.0459__24.3211, 30.0231__24.3177, 31.0076__24.3159, 32.0000__24.3152, 
0.0000__23.3983, 1.0846__23.3984, 2.1682__23.4016, 3.2223__23.3910, 4.2814__23.3697, 5.3323__23.3574, 6.3693__23.3521, 7.4066__23.3509, 8.4293__23.3447, 9.4573__23.3414, 10.4814__23.3457, 11.4925__23.3528, 12.4965__23.3645, 13.5032__23.3738, 14.5078__23.3762, 15.5090__23.3760, 16.5062__23.3774, 17.4893__23.3780, 18.4754__23.3759, 19.4562__23.3804, 20.4211__23.3895, 21.3791__23.3924, 22.3341__23.3932, 23.2886__23.3952, 24.2390__23.3905, 25.1945__23.3827, 26.1504__23.3756, 27.1085__23.3680, 28.0745__23.3593, 29.0502__23.3523, 30.0257__23.3470, 31.0080__23.3426, 32.0000__23.3412, 
0.0000__22.4324, 1.0837__22.4336, 2.1676__22.4368, 3.2369__22.4359, 4.3005__22.4260, 5.3483__22.4111, 6.3809__22.3952, 7.4090__22.3890, 8.4326__22.3930, 9.4568__22.3973, 10.4799__22.3999, 11.4868__22.4024, 12.4859__22.4019, 13.4998__22.4003, 14.5053__22.3996, 15.5073__22.4018, 16.5048__22.4043, 17.4906__22.4019, 18.4785__22.3995, 19.4515__22.4016, 20.4144__22.4061, 21.3740__22.4131, 22.3335__22.4142, 23.2874__22.4100, 24.2440__22.4065, 25.1994__22.4023, 26.1551__22.3993, 27.1143__22.3941, 28.0803__22.3886, 29.0547__22.3849, 30.0320__22.3785, 31.0106__22.3709, 32.0000__22.3679, 
