0.0000__64.0000, 0.3939__64.0000, 0.8569__64.0000, 1.4972__64.0000, 2.2364__64.0000, 2.9821__64.0000, 3.8064__64.0000, 4.7299__64.0000, 5.6624__64.0000, 6.5744__64.0000, 7.4830__64.0000, 8.4854__64.0000, 9.5096__64.0000, 10.5739__64.0000, 11.6143__64.0000, 12.6946__64.0000, 13.7152__64.0000, 14.8062__64.0000, 15.9047__64.0000, 17.0180__64.0000, 18.1010__64.0000, 19.2275__64.0000, 20.3895__64.0000, 21.4886__64.0000, 22.6137__64.0000, 23.4356__64.0000, 24.4846__64.0000, 25.4652__64.0000, 26.5779__64.0000, 27.0754__64.0000, 27.7429__64.0000, 28.8591__64.0000, 29.8101__64.0000, 30.8446__64.0000, 31.8523__64.0000, 32.9527__64.0000, 33.9681__64.0000, 35.0460__64.0000, 36.1413__64.0000, 37.2085__64.0000, 38.2977__64.0000, 39.3633__64.0000, 40.3100__64.0000, 41.5304__64.0000, 42.4590__64.0000, 43.6861__64.0000, 44.7263__64.0000, 45.8436__64.0000, 46.8461__64.0000, 47.5523__64.0000, 48.6822__64.0000, 49.8787__64.0000, 50.8171__64.0000, 51.8805__64.0000, 53.0737__64.0000, 53.9590__64.0000, 55.3203__64.0000, 56.1266__64.0000, 56.5668__64.0000, 57.9830__64.0000, 59.2664__64.0000, 60.5184__64.0000, 61.7086__64.0000, 62.8459__64.0000, 64.0000__64.0000, 
0.0000__62.5887, 0.3845__62.6218, 0.8976__62.6578, 1.5478__62.6538, 2.2539__62.6483, 2.9926__62.6743, 3.8582__62.6874, 4.7764__62.6687, 5.7094__62.6201, 6.5236__62.6122, 7.4973__62.6205, 8.4560__62.6113, 9.5007__62.6344, 10.5565__62.6460, 11.6225__62.6178, 12.5903__62.6441, 13.6997__62.7159, 14.7907__62.7201, 15.8982__62.7362, 17.0107__62.7529, 18.1112__62.7661, 19.2548__62.7468, 20.3633__62.7442, 21.4947__62.7445, 22.5626__62.7709, 23.5293__62.7194, 24.4105__62.6587, 25.3383__62.7358, 26.4497__62.9303, 27.1837__63.0178, 27.9313__62.9158, 28.8617__62.8506, 29.8197__62.8710, 30.8438__62.8706, 31.9117__62.8327, 32.9065__62.8239, 33.9769__62.8426, 35.0560__62.8274, 36.1303__62.8403, 37.2456__62.8106, 38.2242__62.8066, 39.3150__62.9002, 40.3940__62.8795, 41.4718__62.8927, 42.5809__62.8704, 43.6111__62.8332, 44.7604__62.8541, 45.8082__62.8489, 46.7886__62.9656, 47.6732__62.9455, 48.6822__62.8998, 49.8560__62.9666, 50.8412__62.9991, 51.9767__62.9215, 52.9097__62.9552, 54.0782__62.9842, 55.1755__63.0819, 56.1129__63.4032, 56.8607__63.3271, 58.0817__63.0261, 59.3222__62.9473, 60.5367__62.8875, 61.7041__62.8758, 62.8477__62.8755, 64.0000__62.8689, 
0.0000__61.1095, 0.4122__61.1248, 0.9545__61.1761, 1.6076__61.2183, 2.2657__61.2380, 3.0179__61.2622, 3.9172__61.2942, 4.8364__61.2856, 5.7168__61.2924, 6.5724__61.2713, 7.4807__61.2207, 8.4441__61.2532, 9.4527__61.2568, 10.5097__61.2800, 11.5212__61.3771, 12.5536__61.4262, 13.6810__61.4201, 14.7845__61.4643, 15.8998__61.4708, 16.9950__61.4849, 18.1313__61.4867, 19.2457__61.5111, 20.3588__61.5311, 21.4868__61.5365, 22.5469__61.4851, 23.4863__61.5207, 24.3524__61.6329, 25.3042__61.6182, 26.3232__61.6224, 27.2994__61.6940, 28.1324__61.7217, 28.8776__61.7144, 29.8527__61.7234, 30.9136__61.6821, 31.9168__61.6916, 32.9162__61.6706, 33.9778__61.6240, 35.0171__61.6601, 36.1408__61.6613, 37.2029__61.7045, 38.2169__61.7495, 39.3066__61.6933, 40.4129__61.7483, 41.5209__61.6890, 42.5644__61.7031, 43.6986__61.6460, 44.6012__61.5997, 45.7523__61.6879, 46.7175__61.6028, 47.5095__61.7251, 48.7142__61.8894, 49.8212__61.8322, 50.8721__61.8517, 52.0049__61.9428, 53.0007__61.8462, 53.9529__61.8238, 55.0562__62.0219, 56.1110__61.9711, 57.2250__61.9905, 58.2600__61.9252, 59.4045__61.8180, 60.5606__61.7847, 61.7173__61.7682, 62.8976__61.7063, 64.0000__61.6591, 
0.0000__59.4706, 0.4215__59.5606, 0.9688__59.6812, 1.5978__59.7359, 2.2420__59.7929, 3.0362__59.8615, 3.9152__59.8941, 4.8301__59.9104, 5.6940__59.8891, 6.6198__59.8661, 7.4684__59.8743, 8.4237__59.8814, 9.4076__59.9088, 10.4043__59.9999, 11.4642__60.0671, 12.5846__60.0970, 13.6640__60.1649, 14.7778__60.1765, 15.8919__60.2082, 17.0136__60.2006, 18.0866__60.2126, 19.2203__60.2415, 20.3334__60.2539, 21.4474__60.2947, 22.5306__60.3328, 23.4079__60.3273, 24.3763__60.2563, 25.2280__60.2846, 26.2371__60.4098, 27.2718__60.4122, 28.0563__60.4369, 28.8687__60.5077, 29.9055__60.5020, 30.9314__60.5407, 31.9312__60.5298, 32.9917__60.4778, 33.9112__60.5323, 35.0853__60.4698, 36.0590__60.4678, 37.1634__60.5390, 38.2276__60.5576, 39.3130__60.6233, 40.4868__60.4973, 41.3953__60.4974, 42.4980__60.5529, 43.6712__60.6376, 44.5678__60.6970, 45.6373__60.7104, 46.7118__60.9213, 47.5300__60.8384, 48.7567__60.6449, 49.7362__60.7141, 50.8811__60.7739, 52.0002__60.6987, 53.0131__60.8107, 53.9445__60.8768, 55.0904__60.7372, 56.1735__60.7699, 57.2282__60.7402, 58.3417__60.7068, 59.4524__60.6835, 60.5834__60.6491, 61.7436__60.6223, 62.9307__60.6129, 64.0000__60.6096, 
0.0000__57.9301, 0.3876__58.0203, 0.9477__58.1951, 1.5593__58.3355, 2.2280__58.4257, 3.0420__58.5101, 3.9381__58.5561, 4.8111__58.5303, 5.7086__58.4966, 6.5588__58.4716, 7.4337__58.4624, 8.3377__58.4997, 9.3258__58.6025, 10.3510__58.6924, 11.4609__58.7608, 12.5422__58.8357, 13.6555__58.8615, 14.7612__58.8907, 15.8636__58.9051, 16.9865__58.9463, 18.0671__58.9624, 19.1842__58.9783, 20.2716__59.0205, 21.3994__59.0381, 22.4221__59.0834, 23.4154__59.1393, 24.3853__59.1580, 25.1451__59.1211, 26.0826__59.1239, 27.1455__59.3085, 28.0886__59.3668, 28.9199__59.2819, 29.9246__59.3222, 30.9214__59.3276, 31.9757__59.3269, 32.9596__59.4383, 34.1801__59.1157, 34.6758__59.0583, 35.8929__59.3640, 37.0920__59.4079, 38.2066__59.4981, 39.3662__59.4305, 40.4514__59.4938, 41.3778__59.5038, 42.5139__59.4399, 43.4981__59.4877, 44.6365__59.5409, 45.5604__59.6207, 46.7118__59.6337, 47.8142__59.6408, 48.7347__59.6705, 49.7869__59.5912, 50.8321__59.5486, 52.0061__59.6600, 52.9425__59.6405, 54.1187__59.5585, 55.0889__59.5409, 56.1592__59.5262, 57.2574__59.5344, 58.3515__59.5187, 59.4753__59.5054, 60.6059__59.4936, 61.7498__59.4898, 62.9086__59.5002, 64.0000__59.5097, 
0.0000__56.4497, 0.3809__56.5449, 0.8881__56.7991, 1.5794__56.9984, 2.2322__57.0917, 3.0838__57.2069, 3.9837__57.2392, 4.8510__57.2201, 5.7182__57.1634, 6.5355__57.1315, 7.3913__57.1201, 8.2559__57.1396, 9.2139__57.2398, 10.3202__57.3887, 11.4015__57.4831, 12.5185__57.5294, 13.6232__57.5671, 14.7167__57.5927, 15.8217__57.6305, 16.9219__57.6576, 18.0322__57.7056, 19.1281__57.7399, 20.2281__57.7481, 21.2867__57.7935, 22.3213__57.8674, 23.3285__57.9560, 24.3637__58.0528, 25.2072__58.1180, 26.1535__58.1278, 27.0923__58.0560, 28.1426__58.0566, 28.9573__58.1021, 29.9540__58.0843, 30.9053__58.0803, 31.9133__58.1605, 32.9814__58.0704, 34.1168__58.2965, 34.6656__58.3771, 35.8683__58.2246, 37.0681__58.3509, 38.2137__58.3168, 39.3822__58.3755, 40.4095__58.2936, 41.4236__58.2959, 42.5053__58.3669, 43.5056__58.3041, 44.4026__58.3950, 45.6383__58.4872, 46.6633__58.4542, 47.7431__58.5614, 48.8576__58.4775, 49.7424__58.4432, 50.8864__58.5008, 51.9668__58.4016, 53.0721__58.3753, 54.0787__58.3992, 55.1611__58.3831, 56.1528__58.3360, 57.2676__58.3395, 58.3611__58.3376, 59.4851__58.3317, 60.6060__58.3321, 61.7440__58.3377, 62.8801__58.3546, 64.0000__58.3682, 
0.0000__55.0424, 0.3896__55.1545, 0.8683__55.3956, 1.5647__55.6696, 2.3169__55.8317, 3.1227__55.8642, 4.0323__55.8998, 4.8723__55.8468, 5.6991__55.8461, 6.5673__55.8253, 7.3469__55.7427, 8.1536__55.7927, 9.1468__55.9449, 10.2483__56.0901, 11.3659__56.1889, 12.4721__56.2422, 13.5691__56.2792, 14.6738__56.3217, 15.7673__56.3630, 16.8801__56.4160, 17.9881__56.4367, 19.0474__56.4892, 20.1873__56.5434, 21.1671__56.5738, 22.2349__56.6640, 23.2956__56.7013, 24.2503__56.7789, 25.2595__56.8101, 26.2008__56.7942, 27.1262__56.8192, 27.9953__56.8685, 28.9960__56.8520, 29.8929__56.8391, 30.8651__56.8505, 31.7950__56.8353, 32.8581__57.0219, 33.8437__57.1675, 34.9737__57.2099, 35.9713__57.2240, 37.1196__57.1943, 38.2415__57.2134, 39.3595__57.1903, 40.4956__57.1669, 41.2849__57.1474, 42.4534__57.2494, 43.4816__57.4385, 44.4650__57.3965, 45.6161__57.3449, 46.6625__57.4330, 47.7635__57.3309, 48.8669__57.3969, 49.8266__57.3926, 50.9830__57.2161, 51.9833__57.1472, 52.9704__57.1691, 54.1205__57.1612, 55.1261__57.1071, 56.1790__57.1272, 57.2455__57.1438, 58.3783__57.1525, 59.4733__57.1489, 60.6021__57.1671, 61.7292__57.1783, 62.8650__57.1926, 64.0000__57.1953, 
0.0000__53.5762, 0.4041__53.7369, 0.9187__54.0418, 1.5561__54.2411, 2.3598__54.4392, 3.1822__54.5242, 4.0388__54.4929, 4.8559__54.5004, 5.6828__54.4963, 6.5794__54.4689, 7.2811__54.4637, 8.1325__54.5243, 9.1228__54.6613, 10.2246__54.8162, 11.3247__54.9097, 12.4370__54.9661, 13.5201__55.0056, 14.6317__55.0633, 15.7461__55.1072, 16.8186__55.1422, 17.9386__55.2182, 18.9892__55.2649, 20.1144__55.3421, 21.1418__55.4099, 22.1846__55.4357, 23.2557__55.5149, 24.2051__55.5141, 25.2198__55.5455, 26.1281__55.6724, 27.1396__55.7330, 28.0644__55.5799, 28.8235__55.5067, 29.7943__55.5272, 30.5530__55.5878, 31.7361__55.8269, 32.6848__55.8403, 33.9201__55.9529, 34.9940__56.0189, 36.0740__56.0130, 37.1270__56.0113, 38.2390__56.0245, 39.3723__56.0324, 40.4357__55.9959, 41.2388__55.9849, 42.3187__56.1085, 43.4683__56.1726, 44.5825__56.2144, 45.5685__56.2616, 46.7339__56.2179, 47.7968__56.2654, 48.8505__56.2094, 49.9719__56.1311, 50.9654__56.1871, 52.0754__56.1634, 52.9932__55.9715, 54.0621__55.9753, 55.1707__56.0140, 56.1335__55.9472, 57.2920__55.9649, 58.3450__55.9412, 59.4706__55.9710, 60.5720__55.9925, 61.7168__56.0264, 62.8556__56.0330, 64.0000__56.0413, 
0.0000__52.0346, 0.3833__52.2699, 0.9450__52.6820, 1.6085__52.9683, 2.3756__53.0749, 3.2041__53.0724, 4.0013__53.1127, 4.8368__53.1518, 5.7038__53.1741, 6.5269__53.1944, 7.2911__53.2022, 8.1744__53.2762, 9.1356__53.3956, 10.2039__53.5216, 11.3092__53.6247, 12.4026__53.6777, 13.4896__53.7277, 14.5982__53.7707, 15.6970__53.8275, 16.7937__53.8585, 17.8338__53.8992, 18.9515__54.0151, 20.0341__54.0946, 21.1227__54.1468, 22.1489__54.1833, 23.1806__54.1823, 24.1390__54.2457, 25.0801__54.3054, 26.0509__54.3665, 27.0887__54.4958, 28.1343__54.5947, 28.8052__54.5533, 29.7928__54.6757, 30.6585__54.6549, 31.6613__54.6029, 32.7803__54.7507, 33.8428__54.7376, 34.9929__54.7688, 36.0319__54.7927, 37.1226__54.8262, 38.2277__54.8188, 39.2839__54.8849, 40.4757__54.8094, 41.0652__54.7927, 42.3019__54.9638, 43.4563__55.0228, 44.5214__55.0790, 45.6404__55.0546, 46.7113__55.0802, 47.8403__55.0393, 48.8851__54.9886, 49.9411__55.0353, 50.9746__55.0003, 52.1024__55.0461, 53.1709__55.0803, 54.0752__54.9454, 55.2631__54.8532, 56.1857__54.7773, 57.2574__54.7963, 58.4080__54.7621, 59.3906__54.7750, 60.5631__54.8542, 61.6957__54.8619, 62.8458__54.8900, 64.0000__54.8921, 
0.0000__50.6723, 0.3768__50.9087, 0.9505__51.3312, 1.6397__51.6166, 2.4578__51.7434, 3.2123__51.7533, 3.9966__51.7477, 4.8334__51.7708, 5.6581__51.8297, 6.5115__51.8762, 7.3113__51.9105, 8.2011__51.9853, 9.1391__52.0927, 10.1989__52.2201, 11.2840__52.3099, 12.3777__52.3847, 13.4674__52.4276, 14.5651__52.4670, 15.6361__52.5047, 16.7328__52.5813, 17.7779__52.6566, 18.8715__52.7213, 19.9758__52.8129, 21.0453__52.8884, 22.0997__52.9315, 23.1022__52.9841, 24.0718__52.8882, 24.9045__52.8998, 25.9161__53.1246, 26.9779__53.2700, 28.0041__53.3976, 28.9109__53.5462, 29.8928__53.4524, 30.8278__53.5323, 31.7245__53.5886, 32.8330__53.5256, 33.8640__53.5511, 34.9091__53.5537, 36.0048__53.6036, 37.1028__53.6081, 38.1870__53.6769, 39.2608__53.6708, 40.3752__53.8582, 41.1824__53.8805, 42.3226__53.8013, 43.4234__53.8766, 44.5370__53.8637, 45.6306__53.9114, 46.7592__53.8697, 47.8506__53.8596, 48.9291__53.8179, 49.9165__53.7649, 51.0230__53.8186, 52.0509__53.7786, 53.1514__53.8272, 54.2807__53.7769, 55.2214__53.6519, 56.2401__53.6968, 57.3300__53.5329, 58.2493__53.5140, 59.3807__53.7158, 60.5310__53.6800, 61.6710__53.7369, 62.8405__53.7479, 64.0000__53.7573, 
0.0000__49.1049, 0.3912__49.4631, 0.9737__50.0407, 1.6912__50.3321, 2.4781__50.4317, 3.2750__50.4434, 4.0369__50.3904, 4.8267__50.3758, 5.6095__50.3928, 6.4565__50.4741, 7.3083__50.5784, 8.2132__50.6865, 9.1564__50.7967, 10.1919__50.8897, 11.2610__50.9933, 12.3523__51.0638, 13.4434__51.1028, 14.5068__51.1267, 15.5757__51.1771, 16.6343__51.2402, 17.7168__51.3186, 18.7851__51.4127, 19.8690__51.5182, 20.9749__51.5878, 21.9730__51.6872, 23.0935__51.6714, 23.9015__51.7134, 24.8671__51.8770, 25.8565__51.9235, 26.9137__52.0257, 27.8798__52.1187, 28.9068__52.1529, 29.9046__52.2930, 30.7500__52.2919, 31.8131__52.3115, 32.8177__52.3898, 33.8784__52.3989, 34.9093__52.4086, 36.0048__52.3953, 37.0770__52.4340, 38.1560__52.4346, 39.2318__52.4997, 40.2281__52.5111, 41.2864__52.5769, 42.3033__52.6766, 43.4221__52.6988, 44.5346__52.7477, 45.6539__52.7141, 46.7953__52.7388, 47.8713__52.6529, 48.9378__52.6124, 49.9351__52.5942, 51.0155__52.5725, 52.0545__52.6218, 53.1427__52.5739, 54.2477__52.6150, 55.2302__52.6900, 56.2573__52.5952, 57.4104__52.6353, 58.2194__52.5820, 59.4525__52.5193, 60.4853__52.6069, 61.6927__52.6015, 62.8176__52.6108, 64.0000__52.6381, 
