0.0000__64.0000, 0.7749__64.0000, 1.5195__64.0000, 2.9652__64.0000, 3.8719__64.0000, 4.8009__64.0000, 5.6777__64.0000, 6.6349__64.0000, 7.4737__64.0000, 8.3276__64.0000, 9.2257__64.0000, 10.2205__64.0000, 11.1559__64.0000, 12.1135__64.0000, 13.2144__64.0000, 14.2814__64.0000, 15.3455__64.0000, 16.2830__64.0000, 17.3479__64.0000, 18.3071__64.0000, 19.4360__64.0000, 20.3366__64.0000, 21.3172__64.0000, 22.2597__64.0000, 23.0852__64.0000, 24.5509__64.0000, 25.5257__64.0000, 26.6607__64.0000, 27.3549__64.0000, 29.2463__64.0000, 30.9761__64.0000, 31.7480__64.0000, 32.7885__64.0000, 33.5785__64.0000, 34.5560__64.0000, 35.2979__64.0000, 36.1979__64.0000, 36.9504__64.0000, 37.7978__64.0000, 38.7102__64.0000, 39.6936__64.0000, 40.5881__64.0000, 41.8867__64.0000, 42.5657__64.0000, 43.9227__64.0000, 44.6630__64.0000, 45.7189__64.0000, 46.6445__64.0000, 47.8612__64.0000, 49.5187__64.0000, 50.4874__64.0000, 51.2149__64.0000, 52.4997__64.0000, 53.5872__64.0000, 54.4018__64.0000, 55.7030__64.0000, 56.1432__64.0000, 57.6087__64.0000, 59.3573__64.0000, 60.2816__64.0000, 60.9777__64.0000, 61.6769__64.0000, 62.3635__64.0000, 63.1966__64.0000, 64.0000__64.0000, 
0.0000__63.5271, 0.7729__63.5306, 1.5700__63.4281, 2.9375__63.3371, 3.8554__63.4233, 4.7823__63.4736, 5.6808__63.4896, 6.6346__63.4907, 7.4728__63.5025, 8.3356__63.4964, 9.2214__63.4775, 10.2186__63.4749, 11.1615__63.4841, 12.1373__63.4763, 13.1639__63.5383, 14.4279__63.4993, 15.3084__63.4283, 16.3176__63.4286, 17.2995__63.4209, 18.3337__63.4291, 19.3971__63.4309, 20.3883__63.4067, 21.2665__63.3792, 22.2280__63.4409, 23.2056__63.3247, 24.3806__63.4324, 25.6129__63.5944, 26.7767__63.4501, 27.5276__63.0786, 29.1591__62.8789, 30.8092__63.2876, 31.8010__63.3774, 32.7629__63.3341, 33.6235__63.3502, 34.3649__63.4852, 35.3985__63.5314, 36.1452__63.4805, 36.9967__63.4696, 37.8165__63.3863, 38.6379__63.4405, 39.7824__63.4408, 40.7120__63.2185, 41.7440__63.2024, 42.6587__63.2268, 43.7679__63.2745, 44.7642__63.3681, 45.6647__63.3044, 46.7095__63.2499, 47.9184__63.1030, 49.4550__63.0795, 50.4875__63.1727, 51.3075__63.0901, 52.5276__62.9783, 53.3949__63.1700, 54.7162__63.0455, 55.5662__62.9627, 56.6108__62.7881, 57.8536__62.4185, 59.2621__62.6773, 60.2002__63.0451, 60.9501__63.1966, 61.6245__63.2740, 62.3983__63.2786, 63.1912__63.2571, 64.0000__63.2745, 
0.0000__63.0604, 0.7446__63.0709, 1.7478__62.8853, 2.8553__62.7734, 3.8139__62.9076, 4.7604__62.9482, 5.6781__62.9645, 6.6358__62.9759, 7.4700__62.9956, 8.3390__62.9947, 9.2422__62.9527, 10.2100__62.9072, 11.1534__62.9404, 12.1337__62.9820, 13.2540__62.7844, 14.4133__62.8065, 15.3279__62.9322, 16.3230__62.8879, 17.2671__62.8976, 18.3520__62.9011, 19.3686__62.9250, 20.4429__62.9530, 21.2568__62.9289, 22.2518__62.7986, 23.1715__62.8371, 24.3897__62.7000, 25.6875__62.5712, 26.8905__62.7053, 27.8339__62.4867, 29.0752__62.3069, 30.5572__62.5313, 31.9335__62.6034, 32.7496__62.6333, 33.4794__62.8331, 34.3928__62.8148, 35.3072__62.8920, 36.1968__63.0275, 37.0530__62.8928, 37.8147__62.8715, 38.7152__62.6843, 39.7815__62.5741, 40.8526__62.6475, 41.6893__62.6194, 42.6646__62.6488, 43.7499__62.5646, 44.6154__62.6887, 45.8839__62.7464, 46.7307__62.5569, 48.0035__62.5603, 49.6059__62.3606, 50.4395__62.3128, 51.4445__62.3038, 52.5604__62.2689, 53.4483__62.0727, 54.6152__62.2978, 55.9112__62.2117, 56.9634__61.8980, 58.1264__61.9908, 59.1692__62.1486, 60.0801__62.3421, 60.8504__62.4714, 61.6006__62.5074, 62.3897__62.5127, 63.1030__62.6203, 64.0000__62.6861, 
0.0000__62.5860, 0.7622__62.4774, 1.8408__62.3743, 2.8322__62.3759, 3.7710__62.3906, 4.7322__62.4211, 5.6726__62.4414, 6.6259__62.4721, 7.4740__62.5061, 8.3414__62.4811, 9.2615__62.4404, 10.2026__62.4008, 11.0885__62.3982, 12.2186__62.2967, 13.2915__62.2674, 14.3053__62.3445, 15.3797__62.3899, 16.3125__62.3918, 17.2950__62.3269, 18.3052__62.3134, 19.4703__62.2786, 20.4323__62.2875, 21.3651__62.3018, 22.3018__62.2749, 23.1417__62.1080, 24.4867__61.9519, 25.6037__62.0927, 26.9854__62.1350, 28.0359__61.9392, 28.9997__61.8153, 30.5320__61.8388, 31.9527__61.9557, 32.6913__62.1502, 33.4357__62.0822, 34.2809__62.0946, 35.1287__62.1989, 36.2452__62.2208, 37.0557__62.3452, 37.9614__62.1652, 38.7991__61.9731, 39.8030__61.9123, 40.8389__61.8578, 41.5670__62.0755, 42.8157__62.0465, 43.7518__61.8744, 44.5942__61.6896, 45.8720__61.5442, 46.9534__61.4885, 48.0102__61.1224, 49.5496__61.4562, 50.3651__61.7288, 51.6492__61.5786, 52.5811__61.4621, 53.4690__61.5499, 54.7207__61.3127, 56.0859__61.2880, 57.0580__61.4874, 58.1260__61.4685, 59.1014__61.5814, 59.9736__61.6733, 60.7859__61.7372, 61.5982__61.7832, 62.3328__61.8343, 63.0187__61.7894, 64.0000__61.7467, 
0.0000__62.0613, 0.8116__61.9932, 1.8494__61.9104, 2.8141__61.9285, 3.7819__61.9774, 4.6918__61.9425, 5.6694__61.9328, 6.6022__61.9666, 7.4757__62.0132, 8.3708__61.9885, 9.2440__61.9544, 10.2208__61.9249, 11.0733__61.8014, 12.2169__61.7506, 13.2373__61.7972, 14.2810__61.7721, 15.3892__61.7884, 16.3546__61.7989, 17.3083__61.7897, 18.3256__61.6754, 19.5094__61.6390, 20.4442__61.6847, 21.4097__61.6923, 22.3412__61.6554, 23.2676__61.4551, 24.4276__61.2701, 25.5451__61.1729, 27.0679__61.3197, 28.1869__61.4367, 29.1630__61.0953, 30.3458__60.9505, 31.8893__61.3801, 32.6576__61.5190, 33.5000__61.5318, 34.1712__61.4563, 35.1970__61.3245, 35.7676__61.6424, 37.3372__61.7171, 38.1595__61.4541, 38.8545__61.3054, 39.8830__61.1632, 40.6961__61.3233, 41.6004__61.1475, 42.9283__61.0166, 43.7232__61.1453, 44.8864__61.0118, 45.8208__60.8057, 47.1707__60.6982, 48.1107__60.6523, 49.2241__60.7018, 50.4740__60.7168, 51.5980__60.8074, 52.6703__60.9412, 53.4800__60.6559, 55.0040__60.6888, 55.8402__60.8499, 57.0986__60.9526, 58.1016__60.9545, 59.0187__60.9746, 59.9147__61.0312, 60.7535__61.0656, 61.5505__61.1049, 62.3213__61.1089, 63.0534__61.0238, 64.0000__60.9370, 
0.0000__61.5776, 0.8405__61.4839, 1.8316__61.4468, 2.8239__61.4999, 3.7581__61.5013, 4.7102__61.5167, 5.6487__61.4787, 6.5840__61.5067, 7.4900__61.5131, 8.3579__61.5143, 9.3121__61.4471, 10.2123__61.4193, 11.1248__61.3777, 12.1600__61.2082, 13.2756__61.2164, 14.2933__61.2010, 15.3946__61.1876, 16.3681__61.2457, 17.3380__61.1956, 18.3728__61.0985, 19.5051__61.0691, 20.4768__61.1041, 21.4550__61.0737, 22.4322__61.0269, 23.3845__60.8660, 24.4686__60.6202, 25.5631__60.3689, 27.0346__60.2412, 28.1890__60.4587, 29.3361__60.6263, 30.3262__60.5156, 31.8066__60.6390, 32.6460__60.9442, 33.4898__60.9536, 34.2817__60.8201, 34.9814__60.8523, 35.8158__60.3645, 37.4074__60.2022, 38.2593__60.6815, 39.0055__60.6612, 39.8520__60.6528, 40.6340__60.5339, 41.6985__60.5169, 42.9377__60.5143, 43.7666__60.3276, 44.9102__60.3399, 46.2461__60.1083, 47.0422__60.0083, 48.2373__60.0782, 49.2696__59.8521, 50.2396__59.9998, 51.6791__60.0625, 52.6474__60.1421, 53.7272__60.1852, 54.8251__60.1970, 55.9311__60.1974, 56.9287__60.1978, 58.1256__60.3471, 58.9678__60.3620, 59.9000__60.3926, 60.7286__60.4223, 61.5465__60.4293, 62.3274__60.4193, 63.1269__60.3295, 64.0000__60.2599, 
0.0000__61.1147, 0.8689__61.0474, 1.8208__60.9735, 2.8612__60.9964, 3.7073__61.0446, 4.7390__61.0506, 5.6399__61.0452, 6.5857__61.0286, 7.4839__61.0649, 8.3965__61.0067, 9.2938__60.9868, 10.2474__60.9477, 11.1180__60.8107, 12.1773__60.6868, 13.2183__60.6569, 14.3575__60.6244, 15.3662__60.6152, 16.4081__60.6588, 17.3776__60.6295, 18.4240__60.5015, 19.4450__60.4893, 20.6054__60.5019, 21.4552__60.4210, 22.5873__60.3652, 23.4812__60.2157, 24.5204__60.1395, 25.7424__59.8031, 26.8833__59.7141, 28.1443__59.9107, 29.2477__59.9695, 30.4899__59.9253, 31.6321__60.0493, 32.6324__60.2220, 33.4836__60.2736, 34.2921__60.3603, 34.9460__59.9802, 36.1060__59.3940, 37.1982__59.4476, 38.3121__59.8105, 39.0432__59.9965, 39.8350__59.9870, 40.7158__59.9532, 41.5376__59.7968, 43.1590__59.8114, 43.9186__59.5753, 44.9850__59.0804, 46.2330__59.2390, 47.1025__59.3193, 48.2376__59.1453, 49.2721__59.3703, 50.2669__59.1355, 51.6274__59.2488, 52.4700__59.6155, 53.6939__59.6916, 54.9096__59.6068, 55.7942__59.6259, 56.9477__59.7138, 58.0434__59.7010, 59.0129__59.7742, 59.8629__59.7649, 60.7450__59.7837, 61.5479__59.7750, 62.3598__59.7522, 63.1709__59.7118, 64.0000__59.6903, 
0.0000__60.6723, 0.8713__60.6120, 1.8371__60.5415, 2.8227__60.5813, 3.7266__60.5972, 4.7119__60.5868, 5.6670__60.6181, 6.5925__60.6030, 7.4678__60.5616, 8.4571__60.5328, 9.3017__60.4814, 10.2718__60.4790, 11.1618__60.4412, 12.1626__60.2479, 13.2482__60.0903, 14.3444__60.0362, 15.3957__60.0449, 16.4187__60.0528, 17.4218__60.0263, 18.4871__59.9442, 19.5034__59.7747, 20.6487__59.7828, 21.5570__59.7331, 22.6903__59.6365, 23.5645__59.6449, 24.6244__59.3965, 25.7957__59.3177, 26.8789__59.2310, 28.2252__59.0254, 29.1418__59.0346, 30.3048__59.2789, 31.5823__59.4787, 32.4291__59.5778, 33.6587__59.5219, 34.1968__59.2202, 35.3741__59.1224, 36.1438__58.9489, 37.2203__58.9593, 38.1960__59.1311, 39.0112__59.2925, 39.8507__59.3528, 40.6478__59.3089, 41.5430__59.0853, 43.2997__59.0667, 44.2333__58.8735, 45.1150__58.6367, 46.1489__58.5805, 47.3522__58.5030, 48.1355__58.5514, 49.2186__58.5196, 50.3695__58.5139, 51.3167__58.7038, 52.5164__58.6284, 53.3919__58.5843, 54.8290__59.0163, 55.7935__58.9933, 56.7834__58.8878, 58.1323__59.0834, 58.9311__59.1092, 59.9021__59.1957, 60.7449__59.1536, 61.5981__59.1336, 62.3753__59.0955, 63.1975__59.0883, 64.0000__59.0749, 
0.0000__60.2222, 0.8654__60.1824, 1.8240__60.1320, 2.8133__60.1546, 3.7389__60.1443, 4.6813__60.1117, 5.7090__60.1432, 6.5945__60.1481, 7.5253__60.1171, 8.4255__60.0823, 9.3724__60.0442, 10.2475__59.9974, 11.2421__59.9125, 12.1771__59.7325, 13.2858__59.5750, 14.3306__59.4872, 15.4252__59.4806, 16.4175__59.4828, 17.5370__59.3626, 18.4220__59.2859, 19.6956__59.2199, 20.5963__59.1299, 21.7064__59.0708, 22.6925__59.0365, 23.6753__58.9809, 24.7636__58.8997, 25.8353__58.7667, 26.9892__58.5335, 28.1994__58.5187, 29.1460__58.4564, 30.0115__58.1599, 31.5597__58.2402, 32.5651__58.0565, 33.6249__58.4415, 34.5568__58.5884, 35.3496__58.3829, 36.2644__58.4504, 37.1777__58.3741, 38.1488__58.5006, 38.9379__58.5847, 39.7105__58.6989, 40.6831__58.6985, 41.4475__58.4186, 43.7216__58.3095, 44.4360__58.2841, 45.2755__58.0699, 46.2919__57.8107, 47.2379__57.9339, 48.2422__57.9450, 49.1820__57.8963, 50.2953__57.9723, 51.3351__57.8548, 52.4469__57.9445, 53.4026__57.8803, 54.4911__57.7586, 55.9401__58.1460, 56.6588__58.1830, 58.0720__58.3665, 58.9805__58.5136, 59.7728__58.4630, 60.8582__58.5416, 61.5981__58.4654, 62.4238__58.4781, 63.2097__58.4403, 64.0000__58.4458, 
0.0000__59.8434, 0.8597__59.7864, 1.8158__59.7069, 2.7953__59.7428, 3.7524__59.7306, 4.7049__59.6118, 5.7014__59.6293, 6.6268__59.6887, 7.5370__59.6697, 8.4729__59.6250, 9.3819__59.5754, 10.3198__59.4926, 11.2780__59.4281, 12.2395__59.2744, 13.2891__59.0957, 14.3698__58.9994, 15.4108__58.9552, 16.4738__58.8804, 17.5776__58.8726, 18.5158__58.6914, 19.6695__58.5505, 20.7157__58.5873, 21.7397__58.5072, 22.7864__58.4566, 23.7434__58.3759, 24.8573__58.1777, 25.8982__58.1943, 27.1913__58.0986, 28.2153__57.9221, 29.1866__57.8166, 30.1891__57.3649, 31.4731__57.1485, 32.5255__57.4752, 33.7038__57.4658, 34.7302__57.6106, 35.3647__57.8609, 36.3078__57.8509, 37.2173__57.8211, 38.0436__57.8251, 38.8937__57.9500, 39.6089__57.8350, 40.4715__57.7744, 41.7061__57.3213, 43.9252__57.3721, 44.5994__57.6586, 45.4830__57.4764, 46.3285__57.4258, 47.2757__57.3157, 48.1741__57.3568, 49.1385__57.2798, 50.1733__57.2089, 51.4192__57.3071, 52.2721__57.2837, 53.4989__57.3085, 54.5741__57.1837, 55.5656__57.3834, 56.8009__57.5298, 57.8963__57.5008, 58.9006__57.9279, 59.9277__57.8059, 60.8241__57.6813, 61.6350__57.8491, 62.4739__57.7830, 63.2206__57.7961, 64.0000__57.7921, 
0.0000__59.4367, 0.8523__59.3847, 1.8224__59.2952, 2.7410__59.2905, 3.8148__59.2484, 4.7053__59.1805, 5.7132__59.1816, 6.6487__59.2099, 7.5632__59.1940, 8.5147__59.1427, 9.4299__59.0901, 10.3624__59.0030, 11.3168__58.9261, 12.3035__58.7815, 13.3197__58.6282, 14.4004__58.5203, 15.4393__58.4378, 16.5474__58.3349, 17.5828__58.2680, 18.6636__58.1570, 19.6869__58.0479, 20.7826__58.0067, 21.8287__57.9402, 22.7989__57.9162, 23.9258__57.7351, 24.7621__57.6061, 26.1842__57.2965, 27.2455__57.0542, 28.3376__57.2869, 29.1829__57.2015, 30.3867__56.7751, 31.4388__56.7552, 32.5995__56.6849, 33.8462__56.8212, 34.5904__57.1108, 35.4561__57.0883, 36.2879__56.9983, 37.1920__57.0713, 38.0133__57.1839, 38.7723__57.2409, 39.6255__57.2064, 40.1718__56.8045, 41.9247__56.1691, 43.8247__56.4980, 44.9490__56.9761, 45.5698__56.9444, 46.3947__56.7980, 47.2871__56.7836, 48.1379__56.6616, 49.1617__56.6492, 50.1934__56.5820, 51.4029__56.6349, 52.3180__56.6853, 53.4417__56.5903, 54.5442__56.7485, 55.4529__56.6288, 56.6917__56.4342, 57.8221__56.7117, 58.6089__56.5682, 60.1115__56.7307, 60.7386__57.0270, 61.7845__57.0223, 62.4128__57.0843, 63.2860__57.1188, 64.0000__57.0869, 
