0.0000__64.0000, 1.0040__64.0000, 1.9995__64.0000, 3.0011__64.0000, 4.0073__64.0000, 5.0129__64.0000, 6.0148__64.0000, 6.9986__64.0000, 8.0002__64.0000, 8.9986__64.0000, 10.0038__64.0000, 11.0035__64.0000, 12.0044__64.0000, 13.0168__64.0000, 14.0328__64.0000, 15.0460__64.0000, 16.0592__64.0000, 17.0716__64.0000, 18.0867__64.0000, 19.1014__64.0000, 20.1156__64.0000, 21.1323__64.0000, 22.1484__64.0000, 23.1653__64.0000, 24.1832__64.0000, 25.2032__64.0000, 26.2234__64.0000, 27.2478__64.0000, 28.2741__64.0000, 29.3054__64.0000, 30.3362__64.0000, 31.3620__64.0000, 32.3879__64.0000, 33.4086__64.0000, 34.4291__64.0000, 35.4494__64.0000, 36.4706__64.0000, 37.4900__64.0000, 38.5099__64.0000, 39.5291__64.0000, 40.5471__64.0000, 41.5559__64.0000, 42.5678__64.0000, 43.5658__64.0000, 44.5769__64.0000, 45.5739__64.0000, 46.5769__64.0000, 47.5761__64.0000, 48.5842__64.0000, 49.6099__64.0000, 50.6079__64.0000, 51.5714__64.0000, 52.5515__64.0000, 53.5281__64.0000, 54.5033__64.0000, 55.4646__64.0000, 56.4152__64.0000, 57.3852__64.0000, 58.3664__64.0000, 59.3003__64.0000, 60.2335__64.0000, 61.1711__64.0000, 62.0963__64.0000, 63.0465__64.0000, 64.0000__64.0000, 
0.0000__63.0108, 1.0065__63.0083, 2.0003__63.0050, 2.9999__63.0053, 4.0075__63.0063, 5.0128__63.0058, 6.0095__63.0115, 6.9993__63.0158, 7.9993__63.0155, 8.9990__63.0162, 10.0022__63.0175, 11.0030__63.0198, 12.0042__63.0202, 13.0173__63.0196, 14.0316__63.0204, 15.0453__63.0223, 16.0582__63.0241, 17.0711__63.0256, 18.0863__63.0264, 19.1010__63.0272, 20.1160__63.0270, 21.1327__63.0262, 22.1489__63.0253, 23.1654__63.0248, 24.1830__63.0250, 25.2024__63.0260, 26.2238__63.0264, 27.2472__63.0266, 28.2731__63.0282, 29.3038__63.0305, 30.3346__63.0333, 31.3621__63.0343, 32.3873__63.0344, 33.4078__63.0355, 34.4271__63.0377, 35.4495__63.0389, 36.4701__63.0386, 37.4897__63.0388, 38.5094__63.0390, 39.5276__63.0401, 40.5466__63.0416, 41.5574__63.0401, 42.5657__63.0409, 43.5665__63.0424, 44.5746__63.0437, 45.5736__63.0468, 46.5761__63.0471, 47.5772__63.0469, 48.5858__63.0447, 49.6047__63.0487, 50.6031__63.0586, 51.5721__63.0603, 52.5561__63.0528, 53.5266__63.0498, 54.5066__63.0501, 55.4716__63.0420, 56.4282__63.0265, 57.3924__63.0122, 58.3622__63.0167, 59.2988__63.0270, 60.2291__63.0341, 61.1698__63.0405, 62.0983__63.0394, 63.0471__63.0367, 64.0000__63.0367, 
0.0000__62.0252, 1.0093__62.0251, 2.0027__62.0234, 3.0008__62.0195, 4.0059__62.0194, 5.0116__62.0226, 6.0024__62.0257, 6.9997__62.0279, 7.9972__62.0290, 8.9970__62.0323, 9.9985__62.0366, 11.0011__62.0402, 12.0054__62.0399, 13.0173__62.0387, 14.0296__62.0399, 15.0426__62.0427, 16.0552__62.0468, 17.0694__62.0499, 18.0853__62.0517, 19.1005__62.0522, 20.1163__62.0524, 21.1333__62.0525, 22.1500__62.0517, 23.1657__62.0506, 24.1822__62.0510, 25.2019__62.0515, 26.2237__62.0517, 27.2454__62.0537, 28.2709__62.0558, 29.3004__62.0585, 30.3310__62.0622, 31.3614__62.0647, 32.3848__62.0671, 33.4048__62.0704, 34.4259__62.0713, 35.4467__62.0727, 36.4691__62.0757, 37.4897__62.0751, 38.5078__62.0757, 39.5263__62.0763, 40.5446__62.0773, 41.5580__62.0800, 42.5620__62.0824, 43.5659__62.0846, 44.5696__62.0869, 45.5670__62.0927, 46.5747__62.0959, 47.5740__62.0955, 48.5824__62.1006, 49.6006__62.1027, 50.5930__62.1056, 51.5726__62.1097, 52.5638__62.1069, 53.5279__62.1007, 54.5059__62.1013, 55.4861__62.0981, 56.4504__62.0838, 57.4081__62.0713, 58.3545__62.0709, 59.2906__62.0823, 60.2257__62.0880, 61.1677__62.0875, 62.1035__62.0850, 63.0439__62.0851, 64.0000__62.0876, 
0.0000__61.0370, 1.0083__61.0385, 2.0062__61.0376, 3.0028__61.0358, 4.0028__61.0369, 5.0060__61.0429, 6.0005__61.0482, 6.9983__61.0493, 7.9967__61.0495, 8.9931__61.0502, 9.9958__61.0525, 10.9980__61.0547, 12.0069__61.0566, 13.0166__61.0569, 14.0274__61.0585, 15.0382__61.0625, 16.0509__61.0670, 17.0664__61.0706, 18.0828__61.0740, 19.1002__61.0761, 20.1161__61.0760, 21.1328__61.0764, 22.1501__61.0777, 23.1673__61.0772, 24.1808__61.0769, 25.2010__61.0785, 26.2213__61.0812, 27.2441__61.0825, 28.2692__61.0829, 29.2963__61.0855, 30.3272__61.0896, 31.3576__61.0941, 32.3812__61.0983, 33.4031__61.0996, 34.4235__61.1014, 35.4429__61.1047, 36.4662__61.1075, 37.4876__61.1109, 38.5071__61.1111, 39.5249__61.1113, 40.5423__61.1135, 41.5534__61.1172, 42.5558__61.1237, 43.5646__61.1261, 44.5663__61.1260, 45.5631__61.1246, 46.5714__61.1250, 47.5748__61.1248, 48.5760__61.1229, 49.5907__61.1373, 50.5823__61.1544, 51.5717__61.1575, 52.5631__61.1585, 53.5329__61.1591, 54.5079__61.1508, 55.4908__61.1489, 56.4592__61.1514, 57.4144__61.1516, 58.3560__61.1496, 59.2880__61.1425, 60.2251__61.1398, 61.1695__61.1387, 62.1055__61.1363, 63.0455__61.1311, 64.0000__61.1264, 
0.0000__60.0515, 1.0079__60.0503, 2.0074__60.0506, 3.0020__60.0519, 4.0011__60.0526, 4.9993__60.0549, 5.9993__60.0575, 6.9969__60.0589, 7.9952__60.0620, 8.9914__60.0653, 9.9928__60.0679, 10.9955__60.0710, 12.0051__60.0732, 13.0154__60.0755, 14.0237__60.0788, 15.0338__60.0831, 16.0473__60.0867, 17.0630__60.0900, 18.0794__60.0933, 19.0979__60.0970, 20.1161__60.0992, 21.1314__60.1001, 22.1483__60.1021, 23.1656__60.1059, 24.1814__60.1066, 25.2003__60.1044, 26.2190__60.1042, 27.2427__60.1058, 28.2674__60.1079, 29.2937__60.1096, 30.3218__60.1131, 31.3516__60.1197, 32.3769__60.1250, 33.4007__60.1292, 34.4201__60.1316, 35.4398__60.1330, 36.4588__60.1381, 37.4856__60.1415, 38.5068__60.1409, 39.5232__60.1418, 40.5387__60.1448, 41.5465__60.1513, 42.5515__60.1537, 43.5621__60.1553, 44.5623__60.1608, 45.5658__60.1624, 46.5698__60.1606, 47.5771__60.1632, 48.5727__60.1688, 49.5725__60.1776, 50.5710__60.1894, 51.5665__60.1986, 52.5575__60.2052, 53.5359__60.2056, 54.5138__60.2038, 55.4849__60.2072, 56.4573__60.2120, 57.4136__60.2122, 58.3574__60.2122, 59.2974__60.2084, 60.2288__60.1965, 61.1723__60.1910, 62.1123__60.1832, 63.0530__60.1732, 64.0000__60.1702, 
0.0000__59.0631, 1.0092__59.0632, 2.0047__59.0646, 3.0003__59.0675, 4.0003__59.0693, 4.9998__59.0679, 5.9968__59.0676, 6.9941__59.0709, 7.9899__59.0756, 8.9876__59.0809, 9.9902__59.0844, 10.9936__59.0857, 12.0018__59.0885, 13.0121__59.0926, 14.0194__59.0969, 15.0295__59.1012, 16.0437__59.1053, 17.0590__59.1097, 18.0759__59.1138, 19.0936__59.1179, 20.1140__59.1221, 21.1298__59.1243, 22.1451__59.1266, 23.1626__59.1288, 24.1826__59.1289, 25.2015__59.1280, 26.2191__59.1268, 27.2408__59.1271, 28.2640__59.1303, 29.2907__59.1345, 30.3169__59.1382, 31.3457__59.1423, 32.3715__59.1477, 33.3956__59.1525, 34.4175__59.1559, 35.4366__59.1582, 36.4551__59.1576, 37.4828__59.1596, 38.5035__59.1665, 39.5201__59.1722, 40.5330__59.1780, 41.5415__59.1817, 42.5492__59.1855, 43.5584__59.1885, 44.5556__59.1903, 45.5618__59.1958, 46.5720__59.1982, 47.5683__59.2012, 48.5689__59.2081, 49.5640__59.2126, 50.5563__59.2240, 51.5596__59.2347, 52.5490__59.2436, 53.5340__59.2534, 54.5122__59.2575, 55.4819__59.2592, 56.4520__59.2634, 57.4146__59.2677, 58.3587__59.2642, 59.3050__59.2587, 60.2397__59.2506, 61.1775__59.2400, 62.1206__59.2346, 63.0602__59.2282, 64.0000__59.2230, 
0.0000__58.0745, 1.0080__58.0756, 2.0032__58.0771, 2.9974__58.0783, 3.9992__58.0802, 5.0010__58.0817, 5.9943__58.0838, 6.9916__58.0860, 7.9844__58.0893, 8.9839__58.0929, 9.9870__58.0958, 10.9915__58.0994, 11.9980__58.1022, 13.0072__58.1069, 14.0143__58.1126, 15.0251__58.1176, 16.0384__58.1228, 17.0543__58.1279, 18.0716__58.1322, 19.0889__58.1365, 20.1096__58.1414, 21.1290__58.1442, 22.1415__58.1458, 23.1614__58.1478, 24.1821__58.1488, 25.2016__58.1496, 26.2193__58.1500, 27.2380__58.1519, 28.2603__58.1547, 29.2868__58.1572, 30.3139__58.1600, 31.3405__58.1639, 32.3660__58.1689, 33.3910__58.1730, 34.4137__58.1766, 35.4365__58.1774, 36.4565__58.1774, 37.4747__58.1835, 38.4967__58.1922, 39.5128__58.1997, 40.5270__58.2059, 41.5370__58.2109, 42.5439__58.2145, 43.5573__58.2167, 44.5544__58.2160, 45.5586__58.2145, 46.5643__58.2229, 47.5625__58.2319, 48.5606__58.2387, 49.5558__58.2501, 50.5477__58.2552, 51.5470__58.2662, 52.5330__58.2856, 53.5238__58.2999, 54.5087__58.3073, 55.4773__58.3121, 56.4468__58.3166, 57.4130__58.3198, 58.3646__58.3197, 59.3076__58.3171, 60.2504__58.3119, 61.1902__58.2992, 62.1288__58.2849, 63.0680__58.2764, 64.0000__58.2739, 
0.0000__57.0921, 1.0072__57.0926, 2.0029__57.0931, 2.9995__57.0900, 3.9967__57.0883, 4.9963__57.0935, 5.9908__57.0995, 6.9896__57.1030, 7.9800__57.1061, 8.9832__57.1072, 9.9836__57.1076, 10.9877__57.1110, 11.9942__57.1151, 13.0012__57.1203, 14.0086__57.1264, 15.0200__57.1316, 16.0330__57.1362, 17.0496__57.1407, 18.0669__57.1454, 19.0845__57.1497, 20.1036__57.1547, 21.1250__57.1624, 22.1399__57.1657, 23.1599__57.1656, 24.1806__57.1673, 25.2007__57.1685, 26.2178__57.1696, 27.2349__57.1712, 28.2579__57.1729, 29.2829__57.1759, 30.3091__57.1808, 31.3362__57.1850, 32.3612__57.1882, 33.3880__57.1913, 34.4104__57.1939, 35.4352__57.1980, 36.4529__57.2033, 37.4673__57.2090, 38.4885__57.2163, 39.5060__57.2227, 40.5204__57.2283, 41.5312__57.2338, 42.5394__57.2380, 43.5555__57.2416, 44.5553__57.2433, 45.5559__57.2476, 46.5550__57.2538, 47.5571__57.2609, 48.5508__57.2693, 49.5458__57.2778, 50.5412__57.2890, 51.5294__57.3018, 52.5197__57.3115, 53.5041__57.3258, 54.4955__57.3463, 55.4729__57.3545, 56.4425__57.3558, 57.4078__57.3623, 58.3635__57.3687, 59.3095__57.3695, 60.2577__57.3654, 61.2030__57.3589, 62.1395__57.3518, 63.0726__57.3479, 64.0000__57.3469, 
0.0000__56.1073, 1.0053__56.1096, 2.0044__56.1107, 3.0019__56.1100, 3.9954__56.1104, 4.9924__56.1107, 5.9864__56.1126, 6.9843__56.1179, 7.9796__56.1200, 8.9833__56.1187, 9.9824__56.1196, 10.9839__56.1212, 11.9898__56.1250, 12.9943__56.1311, 14.0028__56.1375, 15.0155__56.1421, 16.0289__56.1457, 17.0450__56.1495, 18.0621__56.1541, 19.0799__56.1590, 20.0976__56.1638, 21.1174__56.1692, 22.1380__56.1746, 23.1570__56.1787, 24.1780__56.1821, 25.1992__56.1850, 26.2162__56.1866, 27.2333__56.1875, 28.2544__56.1899, 29.2788__56.1936, 30.3049__56.1963, 31.3332__56.1989, 32.3576__56.2020, 33.3831__56.2073, 34.4077__56.2125, 35.4289__56.2180, 36.4468__56.2256, 37.4609__56.2313, 38.4808__56.2371, 39.5002__56.2433, 40.5139__56.2490, 41.5253__56.2544, 42.5331__56.2596, 43.5529__56.2645, 44.5518__56.2691, 45.5499__56.2741, 46.5490__56.2805, 47.5472__56.2903, 48.5434__56.2996, 49.5353__56.3089, 50.5296__56.3194, 51.5199__56.3276, 52.5081__56.3395, 53.4901__56.3496, 54.4770__56.3608, 55.4661__56.3770, 56.4350__56.3893, 57.3997__56.3990, 58.3576__56.4069, 59.3104__56.4100, 60.2592__56.4110, 61.2090__56.4112, 62.1439__56.4095, 63.0747__56.4082, 64.0000__56.4079, 
0.0000__55.1189, 1.0021__55.1205, 2.0027__55.1245, 3.0008__55.1276, 3.9954__55.1281, 4.9913__55.1291, 5.9846__55.1303, 6.9836__55.1274, 7.9818__55.1235, 8.9793__55.1260, 9.9812__55.1306, 10.9810__55.1325, 11.9850__55.1357, 12.9878__55.1401, 13.9981__55.1441, 15.0109__55.1485, 16.0250__55.1531, 17.0404__55.1576, 18.0572__55.1624, 19.0750__55.1671, 20.0930__55.1715, 21.1123__55.1757, 22.1323__55.1809, 23.1524__55.1861, 24.1734__55.1913, 25.1953__55.1969, 26.2137__55.2012, 27.2316__55.2035, 28.2509__55.2053, 29.2752__55.2082, 30.3023__55.2113, 31.3295__55.2152, 32.3539__55.2202, 33.3780__55.2245, 34.4028__55.2299, 35.4216__55.2371, 36.4391__55.2448, 37.4552__55.2510, 38.4746__55.2557, 39.4942__55.2614, 40.5084__55.2667, 41.5206__55.2707, 42.5297__55.2724, 43.5452__55.2802, 44.5454__55.2920, 45.5434__55.2998, 46.5403__55.3083, 47.5376__55.3169, 48.5332__55.3270, 49.5252__55.3368, 50.5193__55.3462, 51.5122__55.3561, 52.4946__55.3664, 53.4826__55.3776, 54.4646__55.3877, 55.4493__55.4030, 56.4259__55.4185, 57.3896__55.4281, 58.3499__55.4381, 59.3074__55.4453, 60.2571__55.4491, 61.2070__55.4545, 62.1476__55.4571, 63.0773__55.4545, 64.0000__55.4533, 
0.0000__54.1423, 0.9994__54.1438, 2.0016__54.1436, 2.9996__54.1427, 3.9954__54.1434, 4.9884__54.1450, 5.9867__54.1449, 6.9877__54.1419, 7.9816__54.1418, 8.9763__54.1415, 9.9784__54.1417, 10.9783__54.1446, 11.9831__54.1456, 12.9855__54.1446, 13.9936__54.1466, 15.0053__54.1521, 16.0199__54.1578, 17.0351__54.1635, 18.0524__54.1687, 19.0702__54.1733, 20.0889__54.1776, 21.1074__54.1824, 22.1276__54.1870, 23.1470__54.1917, 24.1671__54.1977, 25.1892__54.2044, 26.2091__54.2105, 27.2292__54.2143, 28.2475__54.2170, 29.2712__54.2206, 30.2978__54.2253, 31.3242__54.2309, 32.3488__54.2364, 33.3731__54.2420, 34.3965__54.2482, 35.4147__54.2548, 36.4315__54.2613, 37.4492__54.2677, 38.4690__54.2735, 39.4885__54.2794, 40.5049__54.2838, 41.5172__54.2874, 42.5276__54.2929, 43.5338__54.3011, 44.5362__54.3114, 45.5340__54.3215, 46.5307__54.3308, 47.5277__54.3408, 48.5225__54.3507, 49.5153__54.3606, 50.5084__54.3711, 51.5028__54.3822, 52.4851__54.3910, 53.4710__54.4011, 54.4533__54.4144, 55.4322__54.4273, 56.4138__54.4418, 57.3804__54.4532, 58.3403__54.4619, 59.3002__54.4717, 60.2522__54.4796, 61.2017__54.4857, 62.1491__54.4911, 63.0810__54.4936, 64.0000__54.4932, 
