1,1865,2329,3397,1927,894,15755,27433,2400,1184,478,1277,1365,1566,1435,446,2540,193,1174,539,193,2061,3974,1513,725,593,2690,7206,6469,4772,871,491,
607,1,553,54646,11039,2417,7833,3671,11017,4087,3963,2625,3599,1801,2105,3030,9069,8499,4069,7153,2782,5564,5323,5147,3906,7163,3910,3253,13025,3801,14183,5262,
956,1683,1,5075,2429,1,2641,2407,2999,784,589,2036,497,3601,70,521,1922,114,6367,292,122,395,2006,777,7505,34,358,6033,17708,2355,313,1312,
5273,34204,2867,1,21157,6205,25638,11630,26189,8650,1394,3943,3781,6324,9981,12628,8852,4887,6465,25332,12890,36896,12463,12836,8350,20838,13595,8781,41713,15009,33131,6741,
2392,10254,1527,29029,1,2253,12623,4644,11398,1982,2718,6294,1678,3007,2286,2378,3739,5443,6798,3723,3227,5748,3489,3263,3072,4836,4870,2314,25268,7686,7368,5916,
163,187,1,4240,467,1,6122,1268,1696,777,362,135,30,139,917,9498,467,548,638,127,3688,23820,1394,1836,265,290,2348,237,2519,2301,1236,223,
15449,7168,6850,21217,9206,14887,1,38654,26406,13396,3142,3648,10036,6560,16449,16651,26138,5433,10480,6008,29390,69289,24003,27403,2710,1568,28826,19864,29706,23377,3819,9195,
16372,1713,1668,15675,4456,1995,47286,1,9960,5212,908,2614,5313,3277,4328,2496,5744,3078,4897,2526,7403,14853,16095,7840,1543,1528,6493,18087,16078,15852,2377,3352,
1853,6776,1452,18953,3998,1473,11428,5581,1,14473,9969,1267,2654,2022,2549,3460,11936,4832,15395,2266,3259,6923,4458,10281,2549,1838,4810,5566,11719,5804,3377,11785,
2130,2871,640,6407,2271,681,7523,3710,34221,1,514,1037,13386,968,811,1172,11465,1620,3176,2359,2120,3175,2802,12940,1244,100,2827,3491,5878,2886,1210,3193,
285,3069,1926,2899,2158,173,3498,1449,19702,1564,1,1090,194,604,287,487,730,8401,4932,659,698,295,852,2013,1391,605,154,1747,4325,834,2086,3140,
