,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Florida,Georgia,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maryland,Massachusetts,Michigan,Minnesota,Missouri,Nevada,New Jersey,New York,North Carolina,Ohio,Oklahoma,Oregon,Pennsylvania,Tennessee,Texas,Virginia,Washington,Wisconsin
Alabama,N/A,1022,495,6611,2177,566,16631,23008,3707,1445,671,1261,1590,1508,1903,330,2195,122,2746,254,812,3047,6419,2694,1169,498,1008,9960,7689,3535,677,874
Arizona,894,N/A,1205,64756,11895,1596,9306,4242,13387,5443,2649,3383,1105,679,1467,4028,6525,5461,3708,7350,3971,3029,4605,3839,7494,9279,4651,1834,14923,8809,13897,6736
Arkansas,2057,836,N/A,4026,3459,186,1351,2683,2594,335,1115,979,1356,3530,319,302,928,449,6911,1194,250,590,939,192,5773,389,1146,2635,13487,1333,2257,539
California,3045,33757,4282,N/A,22540,2932,25354,14663,21539,7073,3826,3293,4206,4933,10637,14062,11442,10897,7580,24656,11988,40877,14268,9652,6023,18919,13090,6158,39109,14348,27973,7354
Colorado,2328,13015,808,26909,N/A,2882,13546,6128,11369,2672,3243,4634,1736,3361,3467,2196,4285,3725,6246,4366,2731,8612,6059,3674,3828,3473,4586,4035,20725,7148,4487,3243
Connecticut,1102,309,960,3979,562,N/A,4629,1129,1733,488,162,329,43,330,1716,8519,614,780,248,34,4496,22160,1651,1124,45,62,3427,394,2679,2320,631,237
Florida,11353,10312,4136,28420,9880,15285,N/A,39578,23319,14370,6630,2392,8588,5375,17648,19882,19530,6778,11656,4273,33966,60472,28726,29655,3124,1258,30258,18647,31153,29485,6152,11298
Georgia,18276,3901,2388,18948,3337,6077,44846,N/A,7630,1872,2123,2003,4049,6951,6600,5727,4744,3166,3775,900,5201,24772,17750,11319,1932,2212,8370,20161,19994,11597,3270,1273
Illinois,2022,5251,1288,15163,3257,1297,13021,6739,N/A,15203,9541,2683,3791,1219,2140,3651,8176,3566,16251,1476,2733,7566,4379,7260,732,1025,3809,6928,13290,7822,3628,15595
Indiana,1133,1185,1308,6970,1513,884,10994,4503,29883,N/A,1496,1520,9978,584,1521,926,8950,1989,2363,480,4923,2583,4496,13303,645,1386,2165,2979,9403,3188,1203,2460
Iowa,395,1556,315,2380,3478,60,1749,866,14948,1876,N/A,1871,1255,573,538,170,944,7633,6509,702,1028,807,1755,1261,754,16,710,1256,3437,663,1662,3848
Kansas,879,2664,1526,4526,5355,0,2944,2403,2545,735,2467,N/A,525,402,672,1237,152,1192,22577,247,900,2807,1625,735,5607,570,465,1754,10102,1812,1885,125
Kentucky,2272,1177,756,6594,2721,329,9255,4845,6394,10990,709,1503,N/A,1358,1087,530,3005,947,2379,695,572,3404,3557,13426,600,285,2084,12132,5585,3145,313,1313
Louisiana,5658,857,1471,4654,2529,192,3597,3280,2556,270,1315,1497,276,N/A,248,1024,1026,415,1005,112,552,1882,4565,1373,1807,607,965,2184,21925,2548,1516,714
Maryland,1241,940,349,6348,2210,707,10887,6942,1193,468,326,655,701,406,N/A,2559,2149,661,515,512,7411,11622,7845,4295,382,522,13462,2288,5229,23926,2176,723
Massachusetts,681,2511,388,12831,3046,11229,11295,2517,6227,1282,378,1021,689,890,2836,N/A,1629,561,1259,355,5980,21876,3661,2259,1180,699,7188,780,3446,4166,1463,1484
Michigan,2287,4061,806,8001,2120,912,14302,6090,13818,10775,613,669,2351,643,2091,2604,N/A,2661,3217,1742,2295,6627,5848,16222,984,743,3144,5154,10484,1989,1849,5058
Minnesota,115,4475,484,6232,4691,407,2999,2468,9753,1769,5329,2295,491,488,730,1141,2240,N/A,2321,561,417,1626,1307,2570,1542,1060,1180,1393,4849,1071,2666,18683
Missouri,2283,2958,8523,7037,4960,445,5881,3902,25906,2622,5799,19812,2895,2873,1244,688,4371,1893,N/A,1194,630,2519,1802,3333,4221,1734,3053,4026,11488,2918,2916,1828
Nevada,394,5741,534,45482,3293,499,4997,2474,2963,835,737,727,1268,714,258,391,2272,1320,1151,N/A,2467,4742,1268,1074,221,906,1016,1189,3343,1307,4639,889
New Jersey,48,1013,137,8239,1364,3884,10399,2985,1633,1147,110,560,138,567,5168,3458,1445,508,1410,365,N/A,48558,3436,2166,285,192,23566,1608,5554,5341,534,330
New York,402,4971,755,22626,3463,16339,23515,5180,8949,2462,375,479,1688,2095,8332,17877,3551,1309,2918,435,33747,N/A,9471,6648,1396,2506,22933,3661,9368,10761,4929,2787
North Carolina,3491,3539,1135,17653,4285,7425,32234,24882,8568,4211,480,2245,3409,2562,9671,5116,6818,1782,4563,2111,11706,29702,N/A,9665,2997,1263,13506,8233,11981,35641,4751,2600
Ohio,3101,2620,873,11777,3265,1340,15087,3987,12463,11578,389,1622,10952,2017,2611,2462,13107,2793,2206,2132,4520,9518,8822,N/A,2210,1483,14425,7805,8712,5844,3423,1660
Oklahoma,176,1912,7396,11302,3698,391,3155,2542,3007,1087,1283,6048,1331,1484,569,205,1577,528,5253,627,424,2051,1909,1282,N/A,635,1405,1309,28060,1312,1658,829
Oregon,167,4932,921,43804,3625,1127,3172,906,2245,1052,215,1748,997,769,1678,817,993,724,1194,1631,978,2899,2142,1421,2185,N/A,1958,1168,5377,2141,24207,557
Pennsylvania,1978,2076,979,12381,3434,6629,12938,5206,5341,1559,936,1154,1487,513,19747,8352,2283,1557,1363,803,40118,40208,9251,10700,1130,2511,N/A,2746,12497,12785,3772,2337
Tennessee,7683,1449,5583,7996,1692,2042,14926,16367,9737,6736,646,1597,12562,2004,794,2130,3954,2484,3287,274,1659,4905,5933,7210,1486,647,2723,N/A,11827,6681,2187,1309
Texas,6915,20322,11986,69945,21596,1834,31145,16174,21848,10084,6600,10670,7090,27998,7112,5636,10036,6795,13946,6499,8723,18209,12463,9363,30532,3704,11769,15565,N/A,19660,14335,4927
Virginia,2424,3584,519,17473,3269,5158,19439,6319,7719,2276,229,771,4959,2296,28394,5442,4722,1194,2786,2305,7715,14827,22598,7689,3693,904,14122,7491,15873,N/A,4925,1877
Washington,1465,12801,823,51485,13012,1309,9093,2804,7422,1296,784,2568,2042,1109,2733,4715,4472,4153,3327,3551,3287,7083,7250,2834,2041,32384,1556,3672,16005,3834,N/A,1940
Wisconsin,966,3364,1397,6830,4129,344,5242,708,31323,3481,3383,401,992,745,574,1058,5433,18036,1619,1126,521,1484,1152,2129,1404,1383,1525,1096,4526,2235,1634,N/A
