0.0000__16.0000, 0.9877__16.0000, 1.9825__16.0000, 2.9801__16.0000, 3.9823__16.0000, 4.9837__16.0000, 5.9843__16.0000, 6.9874__16.0000, 7.9920__16.0000, 8.9926__16.0000, 9.9932__16.0000, 10.9947__16.0000, 11.9967__16.0000, 12.9993__16.0000, 14.0008__16.0000, 15.0016__16.0000, 16.0000__16.0000, 
0.0000__15.0111, 0.9882__15.0106, 1.9834__15.0091, 2.9803__15.0080, 3.9826__15.0075, 4.9841__15.0068, 5.9850__15.0056, 6.9878__15.0043, 7.9918__15.0040, 8.9926__15.0043, 9.9934__15.0042, 10.9952__15.0036, 11.9970__15.0028, 12.9991__15.0027, 14.0008__15.0030, 15.0014__15.0032, 16.0000__15.0033, 
0.0000__14.0244, 0.9900__14.0229, 1.9852__14.0205, 2.9817__14.0183, 3.9839__14.0159, 4.9857__14.0137, 5.9869__14.0113, 6.9894__14.0090, 7.9919__14.0077, 8.9926__14.0074, 9.9926__14.0082, 10.9970__14.0077, 11.9973__14.0065, 12.9987__14.0069, 14.0002__14.0075, 15.0015__14.0076, 16.0000__14.0073, 
0.0000__13.0378, 0.9932__13.0358, 1.9877__13.0322, 2.9852__13.0284, 3.9868__13.0242, 4.9886__13.0208, 5.9897__13.0175, 6.9918__13.0144, 7.9929__13.0123, 8.9928__13.0114, 9.9933__13.0095, 10.9972__13.0089, 11.9965__13.0109, 12.9984__13.0115, 14.0007__13.0103, 15.0016__13.0097, 16.0000__13.0101, 
0.0000__12.0443, 0.9959__12.0438, 1.9916__12.0409, 2.9900__12.0361, 3.9908__12.0315, 4.9921__12.0276, 5.9932__12.0239, 6.9946__12.0205, 7.9952__12.0175, 8.9947__12.0142, 9.9955__12.0119, 10.9952__12.0122, 11.9946__12.0143, 13.0015__12.0124, 14.0021__12.0089, 15.0011__12.0089, 16.0000__12.0091, 
0.0000__11.0480, 0.9967__11.0478, 1.9952__11.0463, 2.9946__11.0430, 3.9951__11.0386, 4.9961__11.0342, 5.9970__11.0301, 6.9980__11.0262, 7.9987__11.0224, 8.9982__11.0188, 9.9969__11.0160, 10.9947__11.0147, 11.9958__11.0119, 13.0042__11.0099, 14.0025__11.0106, 15.0010__11.0106, 16.0000__11.0106, 
0.0000__10.0512, 0.9963__10.0519, 1.9972__10.0517, 2.9984__10.0489, 3.9995__10.0450, 5.0006__10.0405, 6.0014__10.0357, 7.0022__10.0309, 8.0025__10.0268, 9.0016__10.0231, 10.0000__10.0194, 10.9979__10.0147, 11.9999__10.0100, 13.0024__10.0094, 14.0017__10.0113, 15.0002__10.0130, 16.0000__10.0140, 
0.0000__9.0628, 0.9961__9.0620, 1.9997__9.0594, 3.0018__9.0559, 4.0039__9.0518, 5.0055__9.0468, 6.0064__9.0417, 7.0069__9.0367, 8.0067__9.0320, 9.0058__9.0273, 10.0043__9.0226, 11.0031__9.0178, 12.0031__9.0139, 13.0022__9.0115, 14.0005__9.0110, 14.9975__9.0130, 16.0000__9.0146, 
0.0000__8.0782, 0.9994__8.0752, 2.0037__8.0699, 3.0065__8.0647, 4.0090__8.0589, 5.0109__8.0533, 6.0116__8.0478, 7.0120__8.0424, 8.0118__8.0369, 9.0108__8.0315, 10.0092__8.0263, 11.0077__8.0214, 12.0063__8.0174, 13.0044__8.0145, 14.0013__8.0122, 14.9977__8.0093, 16.0000__8.0075, 
0.0000__7.0877, 1.0044__7.0854, 2.0096__7.0796, 3.0128__7.0726, 4.0151__7.0660, 5.0167__7.0598, 6.0174__7.0538, 7.0179__7.0476, 8.0177__7.0413, 9.0163__7.0353, 10.0144__7.0298, 11.0124__7.0247, 12.0100__7.0202, 13.0073__7.0165, 14.0040__7.0136, 15.0008__7.0109, 16.0000__7.0097, 
0.0000__6.0959, 1.0092__6.0932, 2.0166__6.0872, 3.0201__6.0801, 4.0218__6.0728, 5.0230__6.0661, 6.0240__6.0590, 7.0246__6.0517, 8.0240__6.0450, 9.0223__6.0387, 10.0199__6.0328, 11.0173__6.0274, 12.0143__6.0227, 13.0107__6.0187, 14.0068__6.0155, 15.0029__6.0129, 16.0000__6.0118, 
0.0000__5.0927, 1.0125__5.0926, 2.0230__5.0894, 3.0266__5.0843, 4.0286__5.0789, 5.0303__5.0717, 6.0318__5.0635, 7.0319__5.0557, 8.0306__5.0487, 9.0286__5.0420, 10.0259__5.0355, 11.0226__5.0295, 12.0189__5.0244, 13.0144__5.0200, 14.0097__5.0167, 15.0048__5.0145, 16.0000__5.0136, 
0.0000__4.0770, 1.0119__4.0777, 2.0239__4.0811, 3.0288__4.0835, 4.0332__4.0823, 5.0384__4.0770, 6.0405__4.0686, 7.0395__4.0607, 8.0380__4.0528, 9.0357__4.0450, 10.0326__4.0377, 11.0285__4.0310, 12.0240__4.0251, 13.0185__4.0202, 14.0125__4.0167, 15.0063__4.0145, 16.0000__4.0138, 
0.0000__3.0591, 1.0103__3.0598, 2.0198__3.0618, 3.0277__3.0641, 4.0343__3.0647, 5.0426__3.0646, 6.0452__3.0644, 7.0460__3.0614, 8.0461__3.0550, 9.0432__3.0475, 10.0406__3.0393, 11.0353__3.0312, 12.0298__3.0244, 13.0229__3.0190, 14.0154__3.0152, 15.0078__3.0129, 16.0000__3.0122, 
0.0000__2.0401, 1.0093__2.0404, 2.0181__2.0414, 3.0261__2.0427, 4.0336__2.0439, 5.0409__2.0460, 6.0450__2.0474, 7.0477__2.0484, 8.0505__2.0486, 9.0504__2.0444, 10.0486__2.0377, 11.0435__2.0298, 12.0363__2.0217, 13.0276__2.0158, 14.0185__2.0119, 15.0092__2.0097, 16.0000__2.0091, 
0.0000__1.0202, 1.0088__1.0204, 2.0172__1.0208, 3.0251__1.0214, 4.0324__1.0222, 5.0388__1.0233, 6.0438__1.0249, 7.0465__1.0256, 8.0502__1.0260, 9.0528__1.0273, 10.0523__1.0276, 11.0509__1.0242, 12.0443__1.0168, 13.0325__1.0101, 14.0214__1.0066, 15.0102__1.0050, 16.0000__1.0047, 
0.0000__0.0000, 1.0086__0.0000, 2.0170__0.0000, 3.0248__0.0000, 4.0319__0.0000, 5.0381__0.0000, 6.0429__0.0000, 7.0465__0.0000, 8.0496__0.0000, 9.0516__0.0000, 10.0524__0.0000, 11.0536__0.0000, 12.0489__0.0000, 13.0351__0.0000, 14.0228__0.0000, 15.0106__0.0000, 16.0000__0.0000
