0.0000__32.0000, 0.9918__32.0000, 1.9887__32.0000, 2.9848__32.0000, 3.9815__32.0000, 4.9770__32.0000, 5.9746__32.0000, 6.9734__32.0000, 7.9727__32.0000, 8.9711__32.0000, 9.9697__32.0000, 10.9682__32.0000, 11.9668__32.0000, 12.9686__32.0000, 13.9703__32.0000, 14.9771__32.0000, 15.9795__32.0000, 16.9798__32.0000, 17.9803__32.0000, 18.9805__32.0000, 19.9818__32.0000, 20.9834__32.0000, 21.9855__32.0000, 22.9870__32.0000, 23.9892__32.0000, 24.9932__32.0000, 25.9952__32.0000, 26.9972__32.0000, 27.9985__32.0000, 29.0034__32.0000, 30.0029__32.0000, 31.0011__32.0000, 32.0000__32.0000, 
0.0000__31.0083, 0.9928__31.0072, 1.9889__31.0060, 2.9854__31.0052, 3.9816__31.0045, 4.9770__31.0043, 5.9745__31.0044, 6.9737__31.0043, 7.9726__31.0040, 8.9710__31.0042, 9.9698__31.0043, 10.9684__31.0040, 11.9670__31.0036, 12.9688__31.0033, 13.9710__31.0025, 14.9764__31.0024, 15.9791__31.0034, 16.9795__31.0041, 17.9802__31.0045, 18.9809__31.0042, 19.9819__31.0036, 20.9830__31.0038, 21.9853__31.0044, 22.9874__31.0042, 23.9898__31.0032, 24.9935__31.0024, 25.9955__31.0020, 26.9974__31.0017, 27.9993__31.0007, 29.0025__31.0009, 30.0022__31.0025, 31.0008__31.0034, 32.0000__31.0036, 
0.0000__30.0168, 0.9942__30.0165, 1.9899__30.0154, 2.9867__30.0140, 3.9826__30.0123, 4.9779__30.0101, 5.9745__30.0090, 6.9737__30.0092, 7.9727__30.0094, 8.9710__30.0091, 9.9699__30.0089, 10.9690__30.0084, 11.9678__30.0073, 12.9688__30.0069, 13.9721__30.0066, 14.9755__30.0066, 15.9785__30.0073, 16.9790__30.0076, 17.9795__30.0082, 18.9821__30.0080, 19.9821__30.0072, 20.9827__30.0073, 21.9852__30.0072, 22.9886__30.0062, 23.9908__30.0050, 24.9933__30.0052, 25.9958__30.0056, 26.9977__30.0056, 27.9998__30.0057, 29.0013__30.0062, 30.0013__30.0066, 31.0005__30.0067, 32.0000__30.0066, 
0.0000__29.0256, 0.9944__29.0257, 1.9916__29.0249, 2.9885__29.0230, 3.9856__29.0202, 4.9803__29.0171, 5.9748__29.0156, 6.9731__29.0158, 7.9730__29.0159, 8.9717__29.0152, 9.9702__29.0144, 10.9699__29.0137, 11.9690__29.0125, 12.9693__29.0111, 13.9722__29.0105, 14.9748__29.0110, 15.9782__29.0115, 16.9796__29.0109, 17.9798__29.0094, 18.9820__29.0095, 19.9817__29.0110, 20.9826__29.0117, 21.9866__29.0104, 22.9896__29.0088, 23.9910__29.0087, 24.9926__29.0089, 25.9950__29.0100, 26.9974__29.0110, 27.9995__29.0113, 29.0011__29.0115, 30.0014__29.0113, 31.0008__29.0108, 32.0000__29.0106, 
0.0000__28.0319, 0.9942__28.0321, 1.9933__28.0314, 2.9903__28.0297, 3.9885__28.0277, 4.9824__28.0259, 5.9755__28.0246, 6.9730__28.0237, 7.9732__28.0233, 8.9728__28.0226, 9.9715__28.0209, 10.9709__28.0194, 11.9703__28.0182, 12.9707__28.0168, 13.9730__28.0149, 14.9749__28.0135, 15.9782__28.0130, 16.9804__28.0129, 17.9804__28.0128, 18.9804__28.0136, 19.9800__28.0155, 20.9827__28.0165, 21.9893__28.0148, 22.9902__28.0130, 23.9908__28.0129, 24.9921__28.0134, 25.9941__28.0136, 26.9967__28.0142, 27.9988__28.0151, 29.0009__28.0159, 30.0020__28.0157, 31.0013__28.0149, 32.0000__28.0146, 
0.0000__27.0405, 0.9939__27.0404, 1.9941__27.0405, 2.9930__27.0385, 3.9897__27.0363, 4.9832__27.0361, 5.9766__27.0355, 6.9743__27.0339, 7.9740__27.0320, 8.9742__27.0305, 9.9734__27.0289, 10.9723__27.0270, 11.9718__27.0251, 12.9731__27.0225, 13.9750__27.0200, 14.9765__27.0178, 15.9786__27.0161, 16.9803__27.0159, 17.9799__27.0163, 18.9791__27.0172, 19.9785__27.0182, 20.9836__27.0177, 21.9910__27.0166, 22.9905__27.0167, 23.9901__27.0175, 24.9915__27.0184, 25.9942__27.0189, 26.9964__27.0186, 27.9984__27.0181, 29.0005__27.0182, 30.0026__27.0184, 31.0018__27.0181, 32.0000__27.0179, 
0.0000__26.0564, 0.9954__26.0546, 1.9945__26.0523, 2.9955__26.0512, 3.9906__26.0499, 4.9834__26.0489, 5.9780__26.0477, 6.9767__26.0454, 7.9762__26.0425, 8.9760__26.0399, 9.9754__26.0375, 10.9746__26.0349, 11.9748__26.0314, 12.9758__26.0282, 13.9773__26.0258, 14.9788__26.0233, 15.9799__26.0212, 16.9803__26.0202, 17.9795__26.0200, 18.9783__26.0204, 19.9796__26.0191, 20.9855__26.0161, 21.9895__26.0168, 22.9889__26.0199, 23.9889__26.0217, 24.9908__26.0227, 25.9937__26.0234, 26.9977__26.0226, 27.9995__26.0205, 29.0006__26.0193, 30.0019__26.0197, 31.0020__26.0203, 32.0000__26.0203, 
0.0000__25.0736, 0.9985__25.0723, 1.9971__25.0690, 2.9968__25.0663, 3.9923__25.0648, 4.9848__25.0628, 5.9803__25.0601, 6.9792__25.0574, 7.9794__25.0547, 8.9792__25.0509, 9.9784__25.0471, 10.9783__25.0432, 11.9788__25.0389, 12.9786__25.0352, 13.9800__25.0321, 14.9813__25.0294, 15.9818__25.0271, 16.9814__25.0251, 17.9802__25.0234, 18.9785__25.0223, 19.9831__25.0200, 20.9862__25.0186, 21.9867__25.0203, 22.9864__25.0228, 23.9873__25.0250, 24.9899__25.0265, 25.9945__25.0256, 27.0004__25.0224, 28.0009__25.0205, 29.0014__25.0197, 30.0014__25.0191, 31.0015__25.0196, 32.0000__25.0202, 
0.0000__24.0802, 0.9994__24.0806, 1.9993__24.0812, 2.9987__24.0805, 3.9939__24.0791, 4.9874__24.0771, 5.9843__24.0728, 6.9819__24.0685, 7.9828__24.0652, 8.9834__24.0614, 9.9827__24.0567, 10.9825__24.0520, 11.9832__24.0476, 12.9825__24.0430, 13.9833__24.0387, 14.9840__24.0354, 15.9842__24.0326, 16.9835__24.0302, 17.9825__24.0276, 18.9810__24.0239, 19.9846__24.0219, 20.9851__24.0227, 21.9846__24.0242, 22.9839__24.0265, 23.9849__24.0294, 24.9906__24.0297, 25.9994__24.0244, 27.0028__24.0202, 28.0018__24.0191, 29.0020__24.0183, 30.0012__24.0185, 31.0009__24.0190, 32.0000__24.0192, 
0.0000__23.0861, 0.9982__23.0867, 1.9984__23.0879, 2.9985__23.0899, 3.9949__23.0910, 4.9909__23.0887, 5.9891__23.0845, 6.9863__23.0796, 7.9867__23.0745, 8.9877__23.0701, 9.9876__23.0656, 10.9874__23.0606, 11.9879__23.0553, 12.9873__23.0505, 13.9874__23.0458, 14.9873__23.0416, 15.9872__23.0380, 16.9864__23.0347, 17.9855__23.0316, 18.9845__23.0287, 19.9847__23.0269, 20.9843__23.0267, 21.9830__23.0274, 22.9812__23.0294, 23.9831__23.0310, 24.9946__23.0285, 26.0051__23.0239, 27.0044__23.0214, 28.0028__23.0203, 29.0021__23.0200, 30.0009__23.0201, 31.0003__23.0206, 32.0000__23.0210, 
0.0000__22.0920, 0.9974__22.0922, 1.9970__22.0930, 2.9965__22.0945, 3.9953__22.0950, 4.9940__22.0937, 5.9929__22.0910, 6.9915__22.0872, 7.9915__22.0823, 8.9923__22.0775, 9.9925__22.0725, 10.9929__22.0671, 11.9927__22.0621, 12.9922__22.0572, 13.9921__22.0523, 14.9919__22.0473, 15.9907__22.0428, 16.9898__22.0392, 17.9885__22.0358, 18.9868__22.0332, 19.9859__22.0313, 20.9848__22.0298, 21.9823__22.0291, 22.9802__22.0287, 23.9854__22.0256, 24.9991__22.0211, 26.0063__22.0203, 27.0053__22.0214, 28.0030__22.0216, 29.0017__22.0221, 30.0008__22.0225, 31.0002__22.0222, 32.0000__22.0219, 
