0.0000__32.0000, 0.9397__32.0000, 1.8967__32.0000, 2.8584__32.0000, 3.8074__32.0000, 4.7643__32.0000, 5.7327__32.0000, 6.7097__32.0000, 7.6981__32.0000, 8.6879__32.0000, 9.6829__32.0000, 10.6842__32.0000, 11.6816__32.0000, 12.6766__32.0000, 13.6785__32.0000, 14.6975__32.0000, 15.7119__32.0000, 16.7211__32.0000, 17.7290__32.0000, 18.7423__32.0000, 19.7561__32.0000, 20.7758__32.0000, 21.8022__32.0000, 22.8200__32.0000, 23.8364__32.0000, 24.8542__32.0000, 25.8731__32.0000, 26.8932__32.0000, 27.9108__32.0000, 28.9321__32.0000, 29.9497__32.0000, 30.9736__32.0000, 32.0000__32.0000, 
0.0000__30.9696, 0.9428__30.9666, 1.8963__30.9643, 2.8566__30.9668, 3.8082__30.9677, 4.7648__30.9658, 5.7308__30.9668, 6.7091__30.9682, 7.6967__30.9689, 8.6897__30.9688, 9.6853__30.9646, 10.6816__30.9640, 11.6795__30.9680, 12.6753__30.9710, 13.6774__30.9726, 14.6968__30.9740, 15.7114__30.9753, 16.7206__30.9759, 17.7282__30.9765, 18.7381__30.9803, 19.7541__30.9860, 20.7765__30.9880, 21.8050__30.9855, 22.8214__30.9817, 23.8373__30.9797, 24.8556__30.9776, 25.8739__30.9755, 26.8943__30.9737, 27.9129__30.9704, 28.9315__30.9684, 29.9494__30.9690, 30.9771__30.9658, 32.0000__30.9621, 
0.0000__29.9283, 0.9440__29.9293, 1.8924__29.9337, 2.8541__29.9372, 3.8081__29.9369, 4.7608__29.9409, 5.7286__29.9461, 6.7126__29.9431, 7.6992__29.9355, 8.6898__29.9321, 9.6868__29.9328, 10.6756__29.9345, 11.6724__29.9412, 12.6729__29.9479, 13.6790__29.9469, 14.6923__29.9481, 15.7085__29.9542, 16.7187__29.9577, 17.7248__29.9614, 18.7344__29.9644, 19.7516__29.9657, 20.7771__29.9666, 21.8082__29.9658, 22.8246__29.9628, 23.8394__29.9593, 24.8579__29.9569, 25.8759__29.9545, 26.8967__29.9516, 27.9167__29.9485, 28.9352__29.9432, 29.9550__29.9335, 30.9790__29.9295, 32.0000__29.9315, 
0.0000__28.9167, 0.9456__28.9140, 1.8848__28.9154, 2.8528__28.9200, 3.8074__28.9204, 4.7553__28.9220, 5.7323__28.9208, 6.7182__28.9148, 7.7025__28.9121, 8.6891__28.9107, 9.6811__28.9146, 10.6763__28.9165, 11.6652__28.9154, 12.6733__28.9162, 13.6758__28.9186, 14.6871__28.9253, 15.7021__28.9312, 16.7146__28.9388, 17.7229__28.9411, 18.7308__28.9437, 19.7491__28.9495, 20.7756__28.9528, 21.8108__28.9517, 22.8280__28.9475, 23.8427__28.9436, 24.8604__28.9399, 25.8800__28.9357, 26.9023__28.9287, 27.9225__28.9203, 28.9429__28.9122, 29.9615__28.9071, 30.9787__28.9044, 32.0000__28.9028, 
0.0000__27.8939, 0.9395__27.9035, 1.8881__27.9058, 2.8511__27.8999, 3.8054__27.9036, 4.7563__27.9043, 5.7385__27.8998, 6.7222__27.8943, 7.7038__27.8900, 8.6881__27.8899, 9.6774__27.8907, 10.6754__27.8938, 11.6664__27.8952, 12.6732__27.8928, 13.6700__27.8928, 14.6790__27.8981, 15.6928__27.9087, 16.7081__27.9167, 17.7195__27.9240, 18.7238__27.9314, 19.7438__27.9387, 20.7764__27.9410, 21.8144__27.9379, 22.8315__27.9350, 23.8474__27.9307, 24.8643__27.9260, 25.8870__27.9200, 26.9108__27.9117, 27.9315__27.9021, 28.9506__27.8928, 29.9655__27.8856, 30.9820__27.8809, 32.0000__27.8794, 
0.0000__26.8906, 0.9353__26.8866, 1.8960__26.8812, 2.8429__26.8867, 3.8019__26.8959, 4.7663__26.8913, 5.7457__26.8798, 6.7267__26.8728, 7.7055__26.8695, 8.6863__26.8695, 9.6766__26.8712, 10.6699__26.8739, 11.6680__26.8766, 12.6731__26.8764, 13.6676__26.8760, 14.6681__26.8817, 15.6852__26.8888, 16.6995__26.8961, 17.7077__26.9081, 18.7180__26.9197, 19.7421__26.9232, 20.7805__26.9214, 21.8154__26.9202, 22.8336__26.9209, 23.8527__26.9185, 24.8706__26.9123, 25.8942__26.9059, 26.9209__26.8973, 27.9432__26.8843, 28.9590__26.8732, 29.9729__26.8650, 30.9860__26.8581, 32.0000__26.8556, 
0.0000__25.8743, 0.9387__25.8754, 1.8926__25.8794, 2.8389__25.8791, 3.8011__25.8759, 4.7776__25.8716, 5.7541__25.8630, 6.7331__25.8545, 7.7050__25.8504, 8.6847__25.8521, 9.6738__25.8546, 10.6672__25.8572, 11.6653__25.8598, 12.6712__25.8634, 13.6657__25.8660, 14.6662__25.8632, 15.6730__25.8692, 16.6903__25.8827, 17.6986__25.8907, 18.7174__25.8949, 19.7451__25.8947, 20.7811__25.8942, 21.8111__25.8991, 22.8338__25.9038, 23.8573__25.9025, 24.8786__25.8970, 25.9018__25.8892, 26.9336__25.8780, 27.9571__25.8631, 28.9658__25.8536, 29.9807__25.8473, 30.9917__25.8401, 32.0000__25.8367, 
0.0000__24.8997, 0.9403__24.8946, 1.8877__24.8886, 2.8452__24.8835, 3.8100__24.8710, 4.7893__24.8535, 5.7606__24.8407, 6.7350__24.8381, 7.7061__24.8373, 8.6822__24.8363, 9.6706__24.8393, 10.6624__24.8442, 11.6636__24.8476, 12.6644__24.8515, 13.6677__24.8543, 14.6652__24.8556, 15.6691__24.8558, 16.6869__24.8507, 17.6963__24.8480, 18.7093__24.8561, 19.7457__24.8654, 20.7774__24.8672, 21.8047__24.8726, 22.8326__24.8776, 23.8603__24.8787, 24.8848__24.8761, 25.9119__24.8691, 26.9492__24.8543, 27.9644__24.8443, 28.9720__24.8395, 29.9872__24.8326, 30.9947__24.8294, 32.0000__24.8294, 
0.0000__23.9993, 0.9570__23.9894, 1.9185__23.9498, 2.8609__23.9063, 3.8342__23.8763, 4.8026__23.8502, 5.7699__23.8356, 6.7346__23.8258, 7.7068__23.8240, 8.6795__23.8252, 9.6645__23.8302, 10.6583__23.8356, 11.6608__23.8387, 12.6612__23.8402, 13.6666__23.8416, 14.6647__23.8418, 15.6745__23.8388, 16.6917__23.8327, 17.6910__23.8310, 18.7018__23.8347, 19.7448__23.8325, 20.7750__23.8310, 21.7976__23.8363, 22.8276__23.8449, 23.8592__23.8506, 24.8892__23.8511, 25.9233__23.8428, 26.9565__23.8372, 27.9691__23.8335, 28.9792__23.8252, 29.9895__23.8215, 30.9961__23.8200, 32.0000__23.8181, 
0.0000__23.0365, 0.9767__23.0275, 1.9565__23.0134, 2.9099__22.9730, 3.8765__22.9125, 4.8268__22.8638, 5.7759__22.8381, 6.7391__22.8275, 7.7037__22.8214, 8.6775__22.8225, 9.6569__22.8254, 10.6560__22.8300, 11.6570__22.8319, 12.6622__22.8327, 13.6640__22.8327, 14.6666__22.8331, 15.6779__22.8295, 16.6908__22.8290, 17.6904__22.8327, 18.7171__22.8212, 19.7553__22.7970, 20.7658__22.7924, 21.7891__22.8056, 22.8202__22.8127, 23.8549__22.8187, 24.8919__22.8200, 25.9289__22.8186, 26.9542__22.8183, 27.9736__22.8180, 28.9863__22.8140, 29.9926__22.8067, 30.9974__22.8034, 32.0000__22.8037, 
0.0000__22.0924, 0.9901__22.0879, 1.9782__22.0670, 2.9525__22.0404, 3.9258__22.0076, 4.8729__21.9601, 5.8121__21.9016, 6.7538__21.8506, 7.6987__21.8320, 8.6721__21.8335, 9.6562__21.8332, 10.6523__21.8320, 11.6608__21.8263, 12.6526__21.8246, 13.6599__21.8352, 14.6691__21.8343, 15.6833__21.8286, 16.6918__21.8222, 17.6999__21.8141, 18.7408__21.7982, 19.7681__21.7784, 20.7536__21.7735, 21.7802__21.7824, 22.8167__21.7877, 23.8543__21.7867, 24.8920__21.7857, 25.9260__21.7880, 26.9531__21.7907, 27.9730__21.7913, 28.9873__21.7933, 29.9984__21.7925, 30.9992__21.7876, 32.0000__21.7856, 
