0.0000__32.0000, 1.0019__32.0000, 2.0037__32.0000, 3.0052__32.0000, 4.0064__32.0000, 5.0075__32.0000, 6.0084__32.0000, 7.0092__32.0000, 8.0099__32.0000, 9.0104__32.0000, 10.0108__32.0000, 11.0111__32.0000, 12.0113__32.0000, 13.0115__32.0000, 14.0114__32.0000, 15.0113__32.0000, 16.0111__32.0000, 17.0108__32.0000, 18.0104__32.0000, 19.0099__32.0000, 20.0093__32.0000, 21.0087__32.0000, 22.0079__32.0000, 23.0072__32.0000, 24.0064__32.0000, 25.0057__32.0000, 26.0049__32.0000, 27.0041__32.0000, 28.0032__32.0000, 29.0024__32.0000, 30.0016__32.0000, 31.0008__32.0000, 32.0000__32.0000, 
0.0000__31.0023, 1.0019__31.0023, 2.0037__31.0022, 3.0052__31.0022, 4.0064__31.0022, 5.0075__31.0022, 6.0084__31.0022, 7.0092__31.0021, 8.0099__31.0021, 9.0104__31.0020, 10.0109__31.0020, 11.0112__31.0019, 12.0114__31.0018, 13.0115__31.0017, 14.0115__31.0016, 15.0114__31.0016, 16.0111__31.0015, 17.0108__31.0014, 18.0104__31.0014, 19.0099__31.0013, 20.0093__31.0012, 21.0087__31.0012, 22.0080__31.0012, 23.0072__31.0011, 24.0065__31.0011, 25.0057__31.0011, 26.0049__31.0011, 27.0041__31.0011, 28.0032__31.0010, 29.0024__31.0010, 30.0016__31.0010, 31.0008__31.0011, 32.0000__31.0011, 
0.0000__30.0045, 1.0020__30.0045, 2.0037__30.0045, 3.0052__30.0045, 4.0065__30.0044, 5.0075__30.0044, 6.0084__30.0043, 7.0093__30.0042, 8.0099__30.0041, 9.0105__30.0040, 10.0110__30.0039, 11.0113__30.0037, 12.0115__30.0036, 13.0116__30.0034, 14.0116__30.0033, 15.0115__30.0031, 16.0112__30.0030, 17.0109__30.0029, 18.0105__30.0027, 19.0100__30.0026, 20.0094__30.0025, 21.0087__30.0024, 22.0080__30.0023, 23.0073__30.0022, 24.0065__30.0022, 25.0057__30.0021, 26.0049__30.0021, 27.0041__30.0021, 28.0032__30.0021, 29.0024__30.0021, 30.0016__30.0021, 31.0008__30.0021, 32.0000__30.0021, 
0.0000__29.0067, 1.0020__29.0067, 2.0037__29.0067, 3.0052__29.0067, 4.0065__29.0066, 5.0076__29.0065, 6.0085__29.0064, 7.0094__29.0063, 8.0101__29.0061, 9.0107__29.0059, 10.0111__29.0057, 11.0115__29.0055, 12.0117__29.0053, 13.0118__29.0051, 14.0118__29.0049, 15.0116__29.0047, 16.0114__29.0045, 17.0111__29.0043, 18.0106__29.0041, 19.0101__29.0039, 20.0095__29.0037, 21.0089__29.0036, 22.0081__29.0034, 23.0074__29.0033, 24.0066__29.0032, 25.0058__29.0032, 26.0049__29.0031, 27.0041__29.0031, 28.0033__29.0030, 29.0024__29.0030, 30.0016__29.0030, 31.0008__29.0030, 32.0000__29.0030, 
0.0000__28.0089, 1.0020__28.0089, 2.0037__28.0089, 3.0053__28.0088, 4.0066__28.0087, 5.0077__28.0086, 6.0087__28.0085, 7.0095__28.0083, 8.0103__28.0080, 9.0109__28.0078, 10.0114__28.0075, 11.0117__28.0073, 12.0120__28.0070, 13.0121__28.0067, 14.0120__28.0064, 15.0119__28.0062, 16.0116__28.0059, 17.0113__28.0057, 18.0108__28.0054, 19.0103__28.0052, 20.0097__28.0050, 21.0090__28.0048, 22.0083__28.0046, 23.0075__28.0044, 24.0067__28.0043, 25.0058__28.0042, 26.0050__28.0041, 27.0041__28.0040, 28.0033__28.0040, 29.0024__28.0040, 30.0016__28.0040, 31.0008__28.0040, 32.0000__28.0040, 
0.0000__27.0112, 1.0020__27.0112, 2.0038__27.0111, 3.0054__27.0110, 4.0067__27.0109, 5.0079__27.0107, 6.0089__27.0104, 7.0098__27.0102, 8.0105__27.0099, 9.0112__27.0096, 10.0117__27.0093, 11.0120__27.0089, 12.0123__27.0086, 13.0123__27.0083, 14.0123__27.0080, 15.0121__27.0076, 16.0119__27.0073, 17.0115__27.0070, 18.0111__27.0067, 19.0106__27.0064, 20.0100__27.0062, 21.0093__27.0059, 22.0085__27.0057, 23.0077__27.0055, 24.0068__27.0053, 25.0060__27.0052, 26.0051__27.0051, 27.0042__27.0050, 28.0033__27.0049, 29.0025__27.0049, 30.0016__27.0049, 31.0008__27.0049, 32.0000__27.0049, 
0.0000__26.0137, 1.0021__26.0136, 2.0040__26.0135, 3.0055__26.0132, 4.0069__26.0130, 5.0082__26.0127, 6.0092__26.0123, 7.0101__26.0120, 8.0109__26.0116, 9.0115__26.0113, 10.0120__26.0109, 11.0124__26.0106, 12.0126__26.0102, 13.0127__26.0098, 14.0126__26.0094, 15.0125__26.0091, 16.0122__26.0087, 17.0119__26.0083, 18.0114__26.0080, 19.0109__26.0076, 20.0103__26.0073, 21.0095__26.0070, 22.0087__26.0068, 23.0079__26.0065, 24.0070__26.0063, 25.0061__26.0061, 26.0052__26.0060, 27.0043__26.0059, 28.0034__26.0058, 29.0025__26.0058, 30.0016__26.0057, 31.0008__26.0057, 32.0000__26.0057, 
0.0000__25.0161, 1.0023__25.0160, 2.0042__25.0157, 3.0058__25.0154, 4.0073__25.0150, 5.0085__25.0146, 6.0096__25.0142, 7.0105__25.0138, 8.0112__25.0133, 9.0119__25.0129, 10.0124__25.0125, 11.0128__25.0121, 12.0130__25.0117, 13.0131__25.0113, 14.0130__25.0108, 15.0129__25.0104, 16.0126__25.0100, 17.0122__25.0096, 18.0118__25.0092, 19.0113__25.0088, 20.0106__25.0084, 21.0098__25.0081, 22.0090__25.0078, 23.0081__25.0075, 24.0072__25.0073, 25.0063__25.0071, 26.0053__25.0069, 27.0044__25.0068, 28.0034__25.0067, 29.0026__25.0066, 30.0017__25.0065, 31.0008__25.0065, 32.0000__25.0065, 
0.0000__24.0184, 1.0025__24.0183, 2.0046__24.0180, 3.0063__24.0175, 4.0077__24.0170, 5.0090__24.0165, 6.0101__24.0160, 7.0109__24.0155, 8.0117__24.0150, 9.0123__24.0145, 10.0128__24.0140, 11.0132__24.0136, 12.0135__24.0131, 13.0136__24.0127, 14.0135__24.0122, 15.0133__24.0117, 16.0131__24.0112, 17.0127__24.0107, 18.0122__24.0103, 19.0117__24.0099, 20.0109__24.0095, 21.0101__24.0091, 22.0093__24.0088, 23.0084__24.0085, 24.0074__24.0082, 25.0065__24.0080, 26.0055__24.0078, 27.0045__24.0076, 28.0036__24.0075, 29.0026__24.0074, 30.0017__24.0073, 31.0008__24.0073, 32.0000__24.0073, 
0.0000__23.0202, 1.0027__23.0202, 2.0050__23.0200, 3.0068__23.0196, 4.0083__23.0190, 5.0096__23.0184, 6.0106__23.0178, 7.0115__23.0172, 8.0122__23.0166, 9.0128__23.0161, 10.0133__23.0156, 11.0137__23.0150, 12.0139__23.0145, 13.0140__23.0140, 14.0140__23.0135, 15.0138__23.0129, 16.0136__23.0124, 17.0132__23.0119, 18.0127__23.0113, 19.0121__23.0109, 20.0113__23.0105, 21.0105__23.0101, 22.0096__23.0097, 23.0087__23.0094, 24.0077__23.0091, 25.0067__23.0089, 26.0057__23.0086, 27.0047__23.0084, 28.0037__23.0083, 29.0027__23.0082, 30.0018__23.0081, 31.0009__23.0081, 32.0000__23.0080, 
0.0000__22.0217, 1.0027__22.0217, 2.0053__22.0216, 3.0073__22.0213, 4.0089__22.0208, 5.0102__22.0201, 6.0113__22.0195, 7.0121__22.0188, 8.0128__22.0182, 9.0134__22.0176, 10.0139__22.0170, 11.0143__22.0164, 12.0145__22.0158, 13.0146__22.0152, 14.0146__22.0146, 15.0144__22.0140, 16.0142__22.0135, 17.0137__22.0129, 18.0132__22.0123, 19.0125__22.0118, 20.0117__22.0113, 21.0109__22.0109, 22.0100__22.0106, 23.0090__22.0102, 24.0080__22.0099, 25.0070__22.0096, 26.0059__22.0094, 27.0048__22.0092, 28.0038__22.0091, 29.0028__22.0090, 30.0019__22.0089, 31.0009__22.0088, 32.0000__22.0088, 
