0.0000__64.0000, 0.6020__64.0000, 1.2059__64.0000, 2.4631__64.0000, 3.3253__64.0000, 4.1430__64.0000, 4.9273__64.0000, 5.8316__64.0000, 6.6255__64.0000, 7.4466__64.0000, 8.3632__64.0000, 9.4095__64.0000, 10.3720__64.0000, 11.3789__64.0000, 12.4858__64.0000, 13.5883__64.0000, 14.7248__64.0000, 15.7386__64.0000, 16.8539__64.0000, 17.8494__64.0000, 18.9506__64.0000, 19.8997__64.0000, 20.8782__64.0000, 21.8333__64.0000, 22.7423__64.0000, 24.0568__64.0000, 25.0306__64.0000, 26.1679__64.0000, 26.9949__64.0000, 28.7163__64.0000, 30.2330__64.0000, 31.0858__64.0000, 32.1393__64.0000, 33.0227__64.0000, 34.0123__64.0000, 34.8525__64.0000, 35.8306__64.0000, 36.7147__64.0000, 37.6776__64.0000, 38.6572__64.0000, 39.6446__64.0000, 40.5779__64.0000, 41.7900__64.0000, 42.5973__64.0000, 43.8570__64.0000, 44.7087__64.0000, 45.7737__64.0000, 46.7186__64.0000, 47.8882__64.0000, 49.4263__64.0000, 50.4180__64.0000, 51.2022__64.0000, 52.4367__64.0000, 53.4801__64.0000, 54.3116__64.0000, 55.5665__64.0000, 56.0925__64.0000, 57.4817__64.0000, 59.0767__64.0000, 60.0108__64.0000, 60.7657__64.0000, 61.5389__64.0000, 62.2781__64.0000, 63.1434__64.0000, 64.0000__64.0000, 
0.0000__63.4585, 0.5922__63.4631, 1.2584__63.3731, 2.4523__63.2549, 3.2887__63.3034, 4.1242__63.3581, 4.9376__63.3735, 5.8342__63.3682, 6.6326__63.3755, 7.4567__63.3679, 8.3634__63.3542, 9.4227__63.3482, 10.3908__63.3447, 11.3973__63.3390, 12.4613__63.3874, 13.7212__63.3579, 14.7078__63.3005, 15.7676__63.2907, 16.8130__63.2839, 17.8623__63.2923, 18.9204__63.2941, 19.9132__63.2846, 20.8423__63.2754, 21.8149__63.3074, 22.7986__63.2431, 23.9317__63.2996, 25.1241__63.4305, 26.2713__63.3238, 27.1201__63.0617, 28.6079__62.8937, 30.0934__63.1560, 31.1289__63.2535, 32.1235__63.2169, 33.0447__63.2226, 33.9007__63.3292, 34.9436__63.3390, 35.7929__63.3071, 36.7408__63.3067, 37.6946__63.2514, 38.6048__63.2927, 39.7081__63.3074, 40.6783__63.1346, 41.6963__63.1304, 42.6539__63.1481, 43.7220__63.1894, 44.7735__63.2725, 45.7508__63.2298, 46.7643__63.1734, 47.9346__63.0718, 49.3692__63.0750, 50.4187__63.1377, 51.2788__63.0753, 52.4429__62.9958, 53.3233__63.1353, 54.5625__63.0519, 55.4418__62.9700, 56.4413__62.8411, 57.6197__62.5264, 58.9847__62.7266, 59.9389__63.0117, 60.7399__63.1386, 61.4863__63.2084, 62.3064__63.2224, 63.1428__63.2121, 64.0000__63.2217, 
0.0000__62.9229, 0.5745__62.9074, 1.4383__62.7339, 2.3777__62.6009, 3.2241__62.6690, 4.0938__62.6990, 4.9382__62.7188, 5.8541__62.7132, 6.6221__62.7254, 7.4638__62.7316, 8.3893__62.6718, 9.4080__62.6363, 10.4003__62.6616, 11.4102__62.6934, 12.5472__62.5673, 13.7203__62.5713, 14.7277__62.6342, 15.7729__62.6143, 16.7751__62.6147, 17.8608__62.6249, 18.8986__62.6496, 19.9453__62.6668, 20.8409__62.6512, 21.8277__62.5786, 22.7749__62.6051, 23.9343__62.5289, 25.1955__62.3925, 26.3418__62.4904, 27.3172__62.3820, 28.5026__62.2279, 29.8804__62.3370, 31.1976__62.4012, 32.1019__62.4156, 32.9489__62.5449, 33.8885__62.5479, 34.8639__62.5850, 35.8404__62.6799, 36.7951__62.5763, 37.6956__62.5691, 38.6610__62.4485, 39.7221__62.3813, 40.7566__62.4521, 41.6487__62.4197, 42.6159__62.4519, 43.7075__62.4192, 44.6506__62.5020, 45.8725__62.5676, 46.7815__62.4302, 47.9874__62.4494, 49.4752__62.2849, 50.3831__62.2461, 51.3851__62.2445, 52.4677__62.2038, 53.3614__62.0769, 54.4634__62.2280, 55.6738__62.1822, 56.6962__61.9251, 57.8040__61.9772, 58.8734__62.0787, 59.8257__62.2424, 60.6562__62.3588, 61.4574__62.4011, 62.2883__62.4114, 63.0742__62.4952, 64.0000__62.5512, 
0.0000__62.3250, 0.6196__62.2091, 1.5266__62.1202, 2.3750__62.0914, 3.1799__62.0589, 4.0409__62.0620, 4.9185__62.0664, 5.8426__62.0908, 6.6186__62.1195, 7.4694__62.0817, 8.4071__62.0285, 9.3718__61.9785, 10.3394__61.9757, 11.4587__61.9305, 12.5542__61.9118, 13.6368__61.9479, 14.7558__61.9628, 15.7704__61.9601, 16.7907__61.9356, 17.8249__61.9387, 18.9583__61.9221, 19.9526__61.9231, 20.9205__61.9425, 21.8751__61.9164, 22.7694__61.7994, 24.0410__61.7121, 25.1089__61.8107, 26.4093__61.8136, 27.4572__61.6952, 28.4416__61.6093, 29.8751__61.5952, 31.1935__61.6283, 32.0458__61.7716, 32.9150__61.7062, 33.8680__61.7312, 34.7921__61.8179, 35.8930__61.8059, 36.7935__61.8999, 37.8018__61.7787, 38.7123__61.6551, 39.7286__61.6314, 40.7434__61.5886, 41.5456__61.7852, 42.7554__61.7611, 43.7292__61.6386, 44.6346__61.5128, 45.8956__61.4159, 46.9462__61.3806, 48.0108__61.0817, 49.4358__61.3409, 50.3128__61.5575, 51.5393__61.4576, 52.4861__61.3562, 53.3886__61.4545, 54.5354__61.2322, 55.7901__61.2099, 56.7564__61.3736, 57.8032__61.3508, 58.8003__61.4266, 59.7305__61.5107, 60.5916__61.5810, 61.4432__61.6244, 62.2393__61.6621, 63.0087__61.6336, 64.0000__61.6066, 
0.0000__61.6810, 0.6587__61.6380, 1.5478__61.5242, 2.3688__61.5459, 3.1898__61.5654, 3.9928__61.4952, 4.8973__61.4482, 5.7926__61.4525, 6.6171__61.4954, 7.5079__61.4652, 8.3914__61.4122, 9.3719__61.3628, 10.3160__61.2736, 11.4331__61.2681, 12.5217__61.2681, 13.6153__61.2391, 14.7992__61.2415, 15.7960__61.2610, 16.7986__61.2787, 17.8448__61.2202, 18.9867__61.1829, 19.9478__61.2161, 20.9603__61.2170, 21.9232__61.1947, 22.8872__61.0801, 23.9870__60.9480, 25.0771__60.8813, 26.4976__60.9528, 27.5972__61.0401, 28.5921__60.7955, 29.7449__60.6894, 31.1422__60.9147, 32.0218__60.9920, 32.9591__61.0160, 33.7825__60.9838, 34.8560__60.8973, 35.5487__61.1644, 37.0515__61.1843, 37.9389__60.9699, 38.7498__60.8986, 39.7597__60.8207, 40.6380__60.9602, 41.5791__60.8283, 42.8088__60.7402, 43.7014__60.8477, 44.8789__60.7485, 45.8450__60.6033, 47.1310__60.5233, 48.0844__60.4946, 49.1715__60.5246, 50.3789__60.5427, 51.4913__60.6297, 52.5584__60.7328, 53.3789__60.5091, 54.7516__60.5217, 55.6081__60.6648, 56.7915__60.7300, 57.7916__60.7236, 58.7393__60.7457, 59.6708__60.8016, 60.5463__60.8448, 61.3975__60.8796, 62.2366__60.8872, 63.0424__60.8290, 64.0000__60.7669, 
0.0000__61.1128, 0.6758__61.0030, 1.5246__60.9872, 2.3854__60.9915, 3.1956__60.9920, 4.0208__60.9878, 4.8626__60.9160, 5.7416__60.9052, 6.6306__60.8726, 7.4861__60.8529, 8.4266__60.7863, 9.3582__60.7182, 10.3206__60.7021, 11.3758__60.5981, 12.5405__60.5612, 13.6375__60.5311, 14.8101__60.5256, 15.8077__60.5852, 16.8211__60.5683, 17.8857__60.5223, 18.9785__60.5114, 19.9659__60.5119, 20.9841__60.4886, 21.9930__60.4675, 22.9867__60.3753, 24.0243__60.2117, 25.0870__60.0312, 26.4590__59.8960, 27.6004__60.0121, 28.7292__60.1818, 29.7230__60.0976, 31.0688__60.1056, 32.0156__60.2874, 32.9478__60.3039, 33.8648__60.2136, 34.6908__60.2626, 35.5769__59.9746, 37.1135__59.7998, 38.0192__60.1433, 38.8447__60.1524, 39.7297__60.1760, 40.5849__60.1061, 41.6313__60.1201, 42.8016__60.1116, 43.7358__59.9527, 44.8576__60.0051, 46.1705__59.8246, 47.0250__59.7611, 48.1767__59.8024, 49.2121__59.6595, 50.2018__59.7514, 51.5368__59.8274, 52.5188__59.8637, 53.5722__59.9238, 54.6010__59.9344, 55.6828__59.9227, 56.6672__59.9325, 57.8098__60.0309, 58.6950__60.0541, 59.6386__60.0874, 60.5136__60.1183, 61.3870__60.1233, 62.2408__60.1196, 63.0956__60.0677, 64.0000__60.0249, 
0.0000__60.5610, 0.7030__60.4998, 1.4885__60.3823, 2.4269__60.3800, 3.1582__60.4206, 4.0657__60.4307, 4.8581__60.4040, 5.7328__60.3278, 6.6093__60.3230, 7.5411__60.2432, 8.4264__60.1841, 9.3748__60.1444, 10.2891__60.0415, 11.3967__59.9352, 12.4906__59.8731, 13.7117__59.8327, 14.7627__59.8371, 15.8334__59.8770, 16.8528__59.8675, 17.9198__59.8044, 18.9536__59.8148, 20.0617__59.8087, 20.9738__59.7509, 22.1205__59.7059, 23.0751__59.6253, 24.0681__59.5917, 25.1991__59.3820, 26.3209__59.2654, 27.5405__59.3714, 28.6532__59.4061, 29.8485__59.3798, 30.9627__59.4089, 32.0090__59.5110, 32.9645__59.5272, 33.8904__59.5764, 34.7232__59.3177, 35.8544__58.9897, 36.9099__58.9969, 38.0076__59.2062, 38.8395__59.3674, 39.7111__59.3815, 40.6286__59.4051, 41.5014__59.3366, 42.9778__59.3313, 43.8364__59.1609, 44.9534__58.7981, 46.1527__58.9114, 47.0953__58.9717, 48.1842__58.8555, 49.1925__59.0097, 50.1953__58.8801, 51.4883__58.9331, 52.3645__59.2347, 53.5285__59.3188, 54.6694__59.2525, 55.5892__59.2770, 56.7042__59.3342, 57.7479__59.3243, 58.7168__59.3753, 59.5981__59.3700, 60.5141__59.3811, 61.3841__59.3760, 62.2604__59.3675, 63.1225__59.3512, 64.0000__59.3424, 
0.0000__60.0456, 0.6967__59.9798, 1.5131__59.8675, 2.3778__59.8577, 3.1781__59.8675, 4.0493__59.8655, 4.9049__59.8759, 5.7523__59.8220, 6.6043__59.7117, 7.6075__59.6328, 8.4261__59.5983, 9.3827__59.5568, 10.3293__59.4973, 11.3703__59.3451, 12.5238__59.1824, 13.6835__59.1331, 14.7813__59.1511, 15.8332__59.1570, 16.8966__59.1503, 17.9506__59.1204, 18.9839__59.0278, 20.1182__59.0192, 21.0608__58.9890, 22.1752__58.9005, 23.1453__58.9231, 24.1465__58.7781, 25.2452__58.7349, 26.2952__58.6664, 27.5912__58.4670, 28.5889__58.4542, 29.7345__58.6380, 30.9842__58.7545, 31.9305__58.7956, 33.1759__58.7109, 33.8738__58.4950, 35.0315__58.4577, 35.8598__58.3696, 36.8926__58.3572, 37.8838__58.4351, 38.7797__58.5530, 39.6910__58.6252, 40.5664__58.6505, 41.4967__58.5700, 43.0766__58.5295, 44.0934__58.3854, 45.0393__58.2277, 46.0601__58.1772, 47.2435__58.1068, 48.1049__58.1561, 49.1658__58.1134, 50.2821__58.1650, 51.2361__58.2905, 52.3955__58.2342, 53.2914__58.2249, 54.6244__58.5792, 55.5846__58.5686, 56.5741__58.4858, 57.8299__58.6105, 58.6658__58.6513, 59.6129__58.6864, 60.5078__58.6596, 61.4156__58.6419, 62.2649__58.6269, 63.1348__58.6232, 64.0000__58.6143, 
0.0000__59.5158, 0.6836__59.4632, 1.4916__59.3701, 2.3717__59.3339, 3.1843__59.3206, 4.0283__59.2671, 4.9700__59.2677, 5.7845__59.2401, 6.6751__59.1475, 7.5871__59.0719, 8.4689__59.0476, 9.3778__58.9605, 10.3934__58.8460, 11.4008__58.6921, 12.5452__58.5532, 13.6568__58.4712, 14.7854__58.4735, 15.8443__58.4672, 16.9641__58.3947, 17.9082__58.3853, 19.1127__58.3576, 20.0764__58.2899, 21.1640__58.2576, 22.1731__58.2036, 23.2041__58.1836, 24.2441__58.1659, 25.2823__58.0419, 26.4130__57.8897, 27.5870__57.8374, 28.6012__57.7689, 29.5595__57.5589, 31.0278__57.5853, 32.0579__57.4286, 33.1735__57.6797, 34.1766__57.7565, 35.0034__57.6333, 35.9402__57.6933, 36.8410__57.6507, 37.8313__57.7100, 38.7080__57.7653, 39.5546__57.8845, 40.5526__57.9498, 41.3880__57.8518, 43.3972__57.7279, 44.2395__57.6747, 45.1570__57.5391, 46.1944__57.3574, 47.1629__57.4440, 48.1662__57.4272, 49.0877__57.4384, 50.2157__57.5136, 51.2477__57.4172, 52.3427__57.4968, 53.3042__57.4584, 54.3637__57.3738, 55.7079__57.6779, 56.4730__57.7060, 57.7739__57.8661, 58.6945__57.9231, 59.5374__57.9103, 60.6029__57.9580, 61.4190__57.9030, 62.2878__57.8999, 63.1419__57.8702, 64.0000__57.8700, 
0.0000__59.0823, 0.6753__58.9982, 1.4794__58.8509, 2.3489__58.8116, 3.1927__58.8089, 4.0580__58.6516, 4.9813__58.6082, 5.8575__58.6396, 6.7090__58.5839, 7.6246__58.5172, 8.4805__58.4644, 9.4367__58.3501, 10.4335__58.2196, 11.4642__58.0946, 12.5409__57.9628, 13.6701__57.8761, 14.7774__57.8197, 15.8798__57.7745, 16.9690__57.7882, 17.9662__57.7022, 19.0884__57.5902, 20.1491__57.6329, 21.1734__57.5847, 22.2183__57.5348, 23.2329__57.4892, 24.3044__57.3750, 25.3398__57.3797, 26.5807__57.3054, 27.6369__57.1258, 28.6427__57.0580, 29.6840__56.7468, 30.9613__56.5239, 32.0517__56.7575, 33.1994__56.7115, 34.2426__56.7560, 34.9965__56.9681, 35.9420__56.9533, 36.8841__56.9500, 37.7577__56.9385, 38.6631__57.0490, 39.4665__57.0015, 40.3585__57.0458, 41.5511__56.8173, 43.5531__56.7403, 44.3731__56.9338, 45.3265__56.8180, 46.2137__56.7961, 47.1811__56.7192, 48.1323__56.7775, 49.1073__56.7465, 50.1171__56.7158, 51.3230__56.7818, 52.2148__56.7787, 53.3761__56.8230, 54.4034__56.7233, 55.3816__56.8562, 56.5675__56.9940, 57.6315__56.9635, 58.6092__57.2722, 59.6561__57.1903, 60.5710__57.0657, 61.4336__57.1918, 62.3200__57.1246, 63.1489__57.1235, 64.0000__57.1134, 
0.0000__58.5892, 0.6678__58.5043, 1.4856__58.3422, 2.3083__58.2617, 3.2625__58.2128, 4.0588__58.1249, 5.0248__58.0263, 5.8929__58.0192, 6.7677__58.0050, 7.6620__57.9473, 8.5233__57.8882, 9.4813__57.7524, 10.4910__57.6038, 11.5100__57.4760, 12.5734__57.3605, 13.6948__57.2618, 14.8006__57.1938, 15.9055__57.1509, 16.9674__57.1120, 18.0380__57.0783, 19.0835__56.9838, 20.1786__56.9436, 21.2295__56.9166, 22.2208__56.8803, 23.3547__56.7666, 24.2403__56.7228, 25.5815__56.4731, 26.6689__56.2663, 27.7638__56.3855, 28.6917__56.3276, 29.8430__56.0792, 30.9275__56.0173, 32.0519__55.9230, 33.2607__55.9594, 34.1153__56.1437, 35.0417__56.1172, 35.9363__56.0686, 36.8712__56.1143, 37.7355__56.2075, 38.5628__56.2561, 39.4606__56.3083, 40.1223__56.0957, 41.7073__55.6986, 43.5080__55.8700, 44.6509__56.0997, 45.3818__56.1071, 46.2478__56.0415, 47.1772__56.0765, 48.0647__56.0511, 49.0969__56.0316, 50.0921__56.0373, 51.2858__56.0546, 52.2373__56.1100, 53.3489__56.0591, 54.3931__56.1638, 55.3060__56.0763, 56.4900__55.9223, 57.5668__56.1295, 58.4016__56.0242, 59.8053__56.1320, 60.5070__56.3463, 61.5460__56.3207, 62.2869__56.3549, 63.1915__56.3601, 64.0000__56.3386, 
