Weight, Image, RMSE, MQE, AAR (height/width), AAR min/max of height, MSE, PSNR, SSIM
ALBEDO,TSK,0.004252,6.6e-05,1.012727,0.885417,793.994,19.1326,0.5833
EMISS,SMOIS,0.003998,6.2e-05,1.000025,0.993086,487.4135,21.2518,0.8593
SMOIS,LWUPB,0.005294,8.3e-05,1.008409,0.85523,849.5641,18.8388,0.6694
PBLH,U10,0.020227,0.000315,1.100928,0.724882,306.4175,23.2677,0.7498
PSFC,Q2,0.003464,5.4e-05,1.000663,0.971302,163.0142,26.0085,0.8324
ALBEDO,U10,0.004252,6.6e-05,1.012727,0.885417,233.1266,24.4549,0.7468
SH2O,ALBEDO,0.016023,0.00025,1.139146,0.671074,2740.8727,13.7519,0.497
SMOIS,ALBEDO,0.005294,8.3e-05,1.008409,0.85523,1441.3863,16.543,0.5292
EMISS,PSFC,0.003998,6.2e-05,1.000025,0.993086,191.7586,25.3033,0.8762
PBLH,EMISS,0.020227,0.000315,1.100928,0.724882,1131.291,17.5951,0.6576
