Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Average Aspect Ratio (height/width),Average Aspect Ratio min(height/width)/max(height/width), Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0016, 0.0002, 0.0019, 0.0009, 0.000463, 0.981257, 0.93697, 0.0009, 0.4118
0, 2, 0.0016, 0.0002, 0.0019, 0.0009, 0.000463, 0.981254, 0.937089, 0.0009, 0.315
0, 3, 0.0016, 0.0002, 0.0019, 0.0009, 0.000463, 0.981255, 0.937088, 0.0009, 0.3451
0, 4, 0.0016, 0.0002, 0.0019, 0.0009, 0.000463, 0.981255, 0.937088, 0.0009, 0.3174
0, 5, 0.0016, 0.0002, 0.0019, 0.0009, 0.000463, 0.981256, 0.937088, 0.0009, 0.3157
0, 6, 0.0016, 0.0002, 0.0019, 0.0009, 0.000463, 0.981256, 0.937088, 0.0009, 0.3091
0, 7, 0.0016, 0.0002, 0.0019, 0.0009, 0.000463, 0.981256, 0.937088, 0.0009, 0.3074
1, 1, 0.0994, -0.0285, 0.1389, 0.0347, 0.018991, 1.172879, 0.698664, 0.0242, 0.9071
1, 2, 0.0676, -0.0043, 0.0805, 0.0201, 0.01025, 1.187092, 0.707531, 0.0242, 0.8528
1, 3, 0.0458, -0.0028, 0.0542, 0.0136, 0.006894, 1.204965, 0.683143, 0.0242, 0.8716
1, 4, 0.0323, -0.0008, 0.0427, 0.0107, 0.005471, 1.219351, 0.672209, 0.0242, 0.8244
1, 5, 0.0248, -0.0018, 0.0378, 0.0095, 0.004896, 1.234722, 0.670116, 0.0242, 0.7933
1, 6, 0.0218, -0.0022, 0.0359, 0.009, 0.004673, 1.240644, 0.669696, 0.0242, 0.8472
2, 1, 0.2102, 0.0746, 0.2634, 0.0329, 0.015623, 1.191142, 0.644252, 0.0678, 2.1258
2, 2, 0.1444, 0.0521, 0.1742, 0.0218, 0.010639, 1.224757, 0.633149, 0.0678, 1.9489
2, 3, 0.1124, 0.0354, 0.1467, 0.0183, 0.009294, 1.256395, 0.618488, 0.0678, 1.8938
2, 4, 0.1039, 0.0288, 0.1409, 0.0176, 0.009187, 1.256958, 0.620968, 0.0678, 1.7538
2, 5, 0.0987, 0.0254, 0.136, 0.017, 0.008942, 1.209145, 0.629353, 0.0678, 1.7216
3, 1, 0.1653, 0.0523, 0.2407, 0.015, 0.007459, 1.303776, 0.604546, 0.299, 4.1837
3, 2, 0.1197, 0.0425, 0.1779, 0.0111, 0.006125, 1.322349, 0.605564, 0.299, 4.4045
3, 3, 0.1055, 0.0388, 0.1567, 0.0098, 0.005582, 1.345504, 0.602923, 0.299, 4.7856
3, 4, 0.102, 0.0381, 0.1516, 0.0095, 0.005484, 1.368388, 0.599464, 0.299, 4.263
4, 1, 0.1689, 0.0604, 0.2625, 0.0082, 0.003896, 1.404541, 0.591276, 1.138, 9.6171
4, 2, 0.1322, 0.0526, 0.2109, 0.0066, 0.003359, 1.41379, 0.590363, 1.138, 9.2711
4, 3, 0.1245, 0.051, 0.2031, 0.0063, 0.003268, 1.415302, 0.589501, 1.138, 9.4892
5, 1, 0.1607, 0.0646, 0.2684, 0.0042, 0.00191, 1.433943, 0.583459, 4.5308, 26.496
5, 2, 0.1306, 0.0578, 0.2324, 0.0036, 0.001736, 1.438514, 0.582041, 4.5308, 24.3524
6, 1, 0.1574, 0.0687, 0.2859, 0.0022, 0.000998, 1.462583, 0.575986, 18.2866, 94.5182
6, 2, 0.1363, 0.0651, 0.2684, 0.0021, 0.000941, 1.46117, 0.575057, 18.2866, 92.6889
6, 3, 0.1294, 0.0631, 0.2615, 0.002, 0.000923, 1.462285, 0.574714, 18.2866, 91.9518


Total Pre Processing Time(sec): 24.3473
Total Processing Time(sec): 417.2304

Image Processing Time : 10.2066
