Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Average Aspect Ratio (height/width),Average Aspect Ratio min(height/width)/max(height/width), Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0016, -0.0, 0.002, 0.001, 0.000489, 0.981257, 0.93697, 0.0, 4.3931
0, 2, 0.0016, -0.0, 0.002, 0.001, 0.000489, 0.981254, 0.937089, 0.0, 4.2598
0, 3, 0.0016, -0.0, 0.002, 0.001, 0.000489, 0.981255, 0.937088, 0.0, 4.3016
0, 4, 0.0016, -0.0, 0.002, 0.001, 0.000489, 0.981255, 0.937088, 0.0, 4.2506
0, 5, 0.0016, -0.0, 0.002, 0.001, 0.000489, 0.981256, 0.937088, 0.0, 4.021
0, 6, 0.0016, -0.0, 0.002, 0.001, 0.000489, 0.981256, 0.937088, 0.0, 4.1101
0, 7, 0.0016, -0.0, 0.002, 0.001, 0.000489, 0.981256, 0.937088, 0.0, 4.1155
1, 1, 0.0994, -0.0286, 0.1389, 0.0347, 0.018997, 1.172879, 0.698664, 0.014, 5.0987
1, 2, 0.0677, -0.0041, 0.0806, 0.0201, 0.010258, 1.187092, 0.707531, 0.014, 5.2866
1, 3, 0.0457, -0.0029, 0.0541, 0.0135, 0.006878, 1.204965, 0.683143, 0.014, 4.9884
1, 4, 0.0324, -0.0007, 0.0428, 0.0107, 0.005477, 1.219351, 0.672209, 0.014, 5.1964
1, 5, 0.0247, -0.0018, 0.0378, 0.0094, 0.004886, 1.234722, 0.670116, 0.014, 4.84
1, 6, 0.0217, -0.0022, 0.0358, 0.009, 0.00466, 1.240644, 0.669696, 0.014, 4.9696
2, 1, 0.2102, 0.0746, 0.2634, 0.0329, 0.015622, 1.191142, 0.644252, 0.0598, 7.4589
2, 2, 0.1444, 0.052, 0.1743, 0.0218, 0.01064, 1.224757, 0.633149, 0.0598, 6.9
2, 3, 0.1124, 0.0354, 0.1467, 0.0183, 0.009293, 1.256395, 0.618488, 0.0598, 6.8451
2, 4, 0.1039, 0.0288, 0.1409, 0.0176, 0.009186, 1.256958, 0.620968, 0.0598, 6.6289
2, 5, 0.0987, 0.0254, 0.1361, 0.017, 0.008944, 1.209145, 0.629353, 0.0598, 6.4757
3, 1, 0.1652, 0.0524, 0.2407, 0.015, 0.007459, 1.303776, 0.604546, 0.2433, 12.4068
3, 2, 0.1197, 0.0425, 0.1779, 0.0111, 0.006125, 1.322349, 0.605564, 0.2433, 12.4284
3, 3, 0.1055, 0.0388, 0.1567, 0.0098, 0.005582, 1.345504, 0.602923, 0.2433, 13.1979
3, 4, 0.102, 0.0381, 0.1516, 0.0095, 0.005483, 1.368388, 0.599464, 0.2433, 12.1382
4, 1, 0.1523, 0.0518, 0.2448, 0.0076, 0.003713, 1.450192, 0.581828, 0.9654, 30.21
4, 2, 0.1218, 0.0485, 0.2083, 0.0065, 0.003276, 1.4403, 0.584951, 0.9654, 30.0165
4, 3, 0.1143, 0.0486, 0.2011, 0.0063, 0.003126, 1.441843, 0.583456, 0.9654, 32.2332
5, 1, 0.1486, 0.056, 0.2444, 0.0038, 0.001857, 1.479162, 0.573775, 3.8745, 106.8414
5, 2, 0.1243, 0.0526, 0.2231, 0.0035, 0.001698, 1.48178, 0.572448, 3.8745, 104.1209
6, 1, 0.1445, 0.0564, 0.2491, 0.0019, 0.000944, 1.514969, 0.566856, 15.39, 423.8745
6, 2, 0.1239, 0.0554, 0.2323, 0.0018, 0.000885, 1.510931, 0.567611, 15.39, 384.5255
6, 3, 0.1192, 0.0549, 0.2332, 0.0018, 0.000881, 1.510736, 0.567846, 15.39, 378.0804


Total Pre Processing Time(sec): 20.547
Total Processing Time(sec): 1654.761

Image Processing Time : 10.3492
