Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE, Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0022, 0.0001, 0.0023, 0.0011, 0.0, 3.8278
0, 2, 0.0022, 0.0001, 0.0023, 0.0011, 0.0, 3.8892
0, 3, 0.0022, 0.0001, 0.0023, 0.0011, 0.0, 3.8885
0, 4, 0.0022, 0.0001, 0.0023, 0.0011, 0.0, 3.8807
0, 5, 0.0022, 0.0001, 0.0023, 0.0011, 0.0, 3.8786
0, 6, 0.0022, 0.0001, 0.0023, 0.0011, 0.0, 3.802
1, 1, 0.0585, 0.0055, 0.0728, 0.0182, 0.0302, 5.8697
1, 2, 0.0184, 0.0041, 0.0214, 0.0054, 0.0302, 5.8993
1, 3, 0.0087, 0.0001, 0.0096, 0.0024, 0.0302, 5.988
1, 4, 0.0045, 0.0016, 0.0054, 0.0013, 0.0302, 5.8732
1, 5, 0.0037, 0.0015, 0.0045, 0.0011, 0.0302, 5.9106
2, 1, 0.0727, 0.0119, 0.0947, 0.0118, 0.1205, 10.8368
2, 2, 0.0231, 0.004, 0.0272, 0.0034, 0.1205, 11.115
2, 3, 0.0133, 0.0029, 0.0157, 0.002, 0.1205, 9.9347
2, 4, 0.0105, 0.002, 0.0122, 0.0015, 0.1205, 9.8908
3, 1, 0.0324, 0.0045, 0.0427, 0.0027, 0.556, 23.0898
3, 2, 0.0164, 0.0035, 0.0201, 0.0013, 0.556, 22.3034
3, 3, 0.0123, 0.0028, 0.0152, 0.0009, 0.556, 23.6392
4, 1, 0.0425, 0.0066, 0.0617, 0.0019, 2.1102, 64.0733
4, 2, 0.0213, 0.0045, 0.0298, 0.0009, 2.1102, 60.7501
5, 1, 0.0398, 0.0063, 0.0604, 0.0009, 8.2478, 226.7017
5, 2, 0.0218, 0.0054, 0.0336, 0.0005, 8.2478, 205.1612
