Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE, Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0023, 0.0, 0.0025, 0.0012, 0.0016, 0.7302
0, 2, 0.0023, 0.0, 0.0025, 0.0012, 0.0016, 0.7045
0, 3, 0.0023, 0.0, 0.0025, 0.0012, 0.0016, 0.6048
0, 4, 0.0023, 0.0, 0.0025, 0.0012, 0.0016, 0.7061
0, 5, 0.0023, 0.0, 0.0025, 0.0012, 0.0016, 0.6056
0, 6, 0.0023, 0.0, 0.0025, 0.0012, 0.0016, 0.7084
0, 7, 0.0023, 0.0, 0.0025, 0.0012, 0.0016, 0.7059
0, 8, 0.0023, 0.0, 0.0025, 0.0012, 0.0016, 0.6077
1, 1, 0.003, -0.0, 0.004, 0.001, 0.0603, 1.9978
1, 2, 0.0019, 0.0006, 0.0023, 0.0006, 0.0603, 2.0956
1, 3, 0.0019, 0.0006, 0.0023, 0.0006, 0.0603, 2.0874
1, 4, 0.0019, 0.0006, 0.0023, 0.0006, 0.0603, 2.0969
1, 5, 0.0019, 0.0006, 0.0023, 0.0006, 0.0603, 2.0931
1, 6, 0.0019, 0.0006, 0.0023, 0.0006, 0.0603, 2.0977
1, 7, 0.0019, 0.0006, 0.0023, 0.0006, 0.0603, 2.0926
2, 1, 0.0042, -0.0008, 0.0049, 0.0006, 0.1155, 4.4455
2, 2, 0.0035, 0.0006, 0.0039, 0.0005, 0.1155, 4.6444
2, 3, 0.0034, 0.0011, 0.0037, 0.0005, 0.1155, 4.4534
2, 4, 0.0034, 0.0013, 0.0037, 0.0005, 0.1155, 4.4698
2, 5, 0.0033, 0.0016, 0.0036, 0.0004, 0.1155, 4.5618
2, 6, 0.0032, 0.0019, 0.0035, 0.0004, 0.1155, 4.4953
3, 1, 0.0063, 0.0, 0.008, 0.0005, 0.4916, 9.4005
3, 2, 0.0045, 0.0003, 0.0048, 0.0003, 0.4916, 9.3959
3, 3, 0.0043, 0.0006, 0.0046, 0.0003, 0.4916, 9.3102
3, 4, 0.004, 0.0014, 0.0042, 0.0003, 0.4916, 9.5223
3, 5, 0.0038, 0.0018, 0.004, 0.0003, 0.4916, 9.4992
4, 1, 0.0064, 0.0006, 0.0081, 0.0003, 1.9942, 44.3654
4, 2, 0.0044, 0.001, 0.0047, 0.0001, 1.9942, 26.7714
4, 3, 0.0042, 0.0015, 0.0044, 0.0001, 1.9942, 26.6675
4, 4, 0.0041, 0.0017, 0.0043, 0.0001, 1.9942, 26.6661
5, 1, 0.0066, 0.0011, 0.0098, 0.0002, 8.0084, 98.5933
5, 2, 0.005, 0.0016, 0.0058, 0.0001, 8.0084, 100.9096
5, 3, 0.0045, 0.0017, 0.0049, 0.0001, 8.0084, 93.4291
6, 1, 0.0093, 0.0013, 0.0184, 0.0001, 32.4276, 422.7041
6, 2, 0.0066, 0.0018, 0.01, 0.0001, 32.4276, 361.5761
7, 1, 0.0133, 0.0012, 0.0379, 0.0001, 130.3048, 1547.745
7, 2, 0.0096, 0.0019, 0.0241, 0.0001, 130.3048, 1372.1665
7, 3, 0.0082, 0.002, 0.0194, 0.0001, 130.3048, 1385.866


Total Pre Processing Time(sec): 173.4041
Total Processing Time(sec): 5774.9968
