Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0087, 0.0021, 0.0113, 0.0057, 0.002815, 0.001, 3.035
0, 2, 0.0016, 0.0, 0.002, 0.001, 0.000496, 0.001, 3.0177
0, 3, 0.0016, 0.0, 0.002, 0.001, 0.000496, 0.001, 2.9229
0, 4, 0.0016, 0.0, 0.002, 0.001, 0.000496, 0.001, 3.0172
0, 5, 0.0016, 0.0, 0.002, 0.001, 0.000496, 0.001, 2.9854
0, 6, 0.0016, 0.0, 0.002, 0.001, 0.000496, 0.001, 2.8847
1, 1, 0.0297, -0.0018, 0.0352, 0.0088, 0.004371, 0.0179, 4.1763
1, 2, 0.0065, -0.0011, 0.0083, 0.0021, 0.001037, 0.0179, 4.2234
1, 3, 0.0024, -0.0014, 0.0029, 0.0007, 0.000359, 0.0179, 4.1729
1, 4, 0.0024, -0.0014, 0.0029, 0.0007, 0.000359, 0.0179, 4.2081
1, 5, 0.0024, -0.0014, 0.0029, 0.0007, 0.000359, 0.0179, 4.2621
2, 1, 0.0321, 0.0017, 0.038, 0.0048, 0.002381, 0.0942, 7.1053
2, 2, 0.0153, 0.0001, 0.019, 0.0024, 0.001198, 0.0942, 7.8373
2, 3, 0.0114, 0.0003, 0.0137, 0.0017, 0.000858, 0.0942, 7.8621
2, 4, 0.0091, -0.0001, 0.011, 0.0014, 0.000689, 0.0942, 7.8105
3, 1, 0.0341, 0.0019, 0.0454, 0.0028, 0.001431, 0.3923, 18.8589
3, 2, 0.0134, 0.001, 0.0168, 0.001, 0.000526, 0.3923, 18.8202
3, 3, 0.0085, 0.0005, 0.0104, 0.0007, 0.000328, 0.3923, 19.2964
4, 1, 0.0445, 0.0026, 0.0611, 0.0019, 0.000967, 1.2588, 57.5206
4, 2, 0.0246, 0.002, 0.0332, 0.001, 0.000521, 1.2588, 58.3589
5, 1, 0.1111, 0.0035, 0.1738, 0.0027, 0.001432, 4.969, 200.4524
5, 2, 0.0713, 0.0063, 0.1162, 0.0018, 0.00092, 4.969, 180.545
5, 3, 0.0595, 0.0056, 0.1016, 0.0016, 0.000813, 4.969, 168.461


Total Pre Processing Time(sec): 6.7332
Total Processing Time(sec): 798.5676
