Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0102, -0.0003, 0.0131, 0.0065, 0.003257, 0.001, 3.1779
0, 2, 0.0021, -0.0, 0.0024, 0.0012, 0.000588, 0.001, 2.9785
0, 3, 0.0021, -0.0, 0.0024, 0.0012, 0.000588, 0.001, 3.1699
0, 4, 0.0021, -0.0, 0.0024, 0.0012, 0.000588, 0.001, 2.8991
0, 5, 0.0021, -0.0, 0.0024, 0.0012, 0.000588, 0.001, 2.8475
0, 6, 0.0021, -0.0, 0.0024, 0.0012, 0.000588, 0.001, 2.8535
1, 1, 0.0363, -0.004, 0.0433, 0.0108, 0.005371, 0.0174, 3.969
1, 2, 0.0097, -0.0013, 0.0114, 0.0028, 0.001419, 0.0174, 4.0334
1, 3, 0.0037, -0.0002, 0.0049, 0.0012, 0.000608, 0.0174, 4.275
1, 4, 0.0024, -0.0007, 0.0031, 0.0008, 0.000383, 0.0174, 4.1148
1, 5, 0.0024, -0.0007, 0.0031, 0.0008, 0.000383, 0.0174, 4.0533
2, 1, 0.086, -0.0018, 0.1245, 0.0156, 0.008053, 0.0699, 6.9535
2, 2, 0.0456, 0.0012, 0.0941, 0.0118, 0.005909, 0.0699, 7.0591
2, 3, 0.0385, 0.0015, 0.09, 0.0113, 0.005631, 0.0699, 6.9311
2, 4, 0.0341, 0.0013, 0.0886, 0.0111, 0.00554, 0.0699, 7.0898
3, 1, 0.1094, 0.008, 0.148, 0.0092, 0.004727, 0.309, 16.0659
3, 2, 0.0689, 0.0027, 0.0977, 0.0061, 0.003101, 0.309, 16.1508
3, 3, 0.0592, 0.0013, 0.0874, 0.0055, 0.002796, 0.309, 15.2297
4, 1, 0.1133, 0.019, 0.2009, 0.0063, 0.002865, 1.4042, 46.5898
4, 2, 0.0848, 0.0135, 0.1682, 0.0053, 0.002479, 1.4042, 49.7791
5, 1, 0.1258, 0.0296, 0.2684, 0.0042, 0.00172, 5.0399, 185.1752
5, 2, 0.1019, 0.0244, 0.2275, 0.0036, 0.001567, 5.0399, 172.9205
5, 3, 0.0943, 0.0237, 0.2203, 0.0034, 0.001524, 5.0399, 176.1445


Total Pre Processing Time(sec): 6.8414
Total Processing Time(sec): 751.3022
