Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.0016, -0.0, 0.0019, 0.001, 0.000483, 0.001, 3.102
0, 2, 0.0016, -0.0, 0.0019, 0.001, 0.000483, 0.001, 3.0712
0, 3, 0.0016, -0.0, 0.0019, 0.001, 0.000483, 0.001, 2.8684
0, 4, 0.0016, -0.0, 0.0019, 0.001, 0.000483, 0.001, 2.9592
0, 5, 0.0016, -0.0, 0.0019, 0.001, 0.000483, 0.001, 2.8495
0, 6, 0.0016, -0.0, 0.0019, 0.001, 0.000483, 0.001, 2.7934
1, 1, 0.0092, -0.0007, 0.0114, 0.0029, 0.001433, 0.0184, 4.287
1, 2, 0.0025, -0.0007, 0.0033, 0.0008, 0.000412, 0.0184, 4.1044
1, 3, 0.002, 0.0006, 0.0025, 0.0006, 0.000313, 0.0184, 4.2145
1, 4, 0.002, 0.0006, 0.0025, 0.0006, 0.000313, 0.0184, 4.2185
1, 5, 0.002, 0.0006, 0.0025, 0.0006, 0.000313, 0.0184, 4.2562
2, 1, 0.0128, 0.0007, 0.016, 0.002, 0.001008, 0.0779, 7.0576
2, 2, 0.0067, -0.0002, 0.0079, 0.001, 0.000491, 0.0779, 7.9826
2, 3, 0.0047, -0.0001, 0.0053, 0.0007, 0.000334, 0.0779, 7.7852
2, 4, 0.0044, -0.0002, 0.0049, 0.0006, 0.000309, 0.0779, 8.0099
3, 1, 0.0285, -0.0009, 0.0421, 0.0026, 0.001332, 0.3675, 19.717
3, 2, 0.0132, -0.0003, 0.0201, 0.0013, 0.000635, 0.3675, 17.4552
3, 3, 0.0085, -0.0003, 0.0135, 0.0008, 0.000426, 0.3675, 16.372
4, 1, 0.0498, -0.0016, 0.0853, 0.0027, 0.00129, 1.2792, 51.6912
4, 2, 0.0319, 0.0, 0.0615, 0.0019, 0.000856, 1.2792, 53.1166
5, 1, 0.0732, -0.0009, 0.1309, 0.002, 0.000965, 5.6807, 184.5105
5, 2, 0.0509, 0.0002, 0.1019, 0.0016, 0.000727, 5.6807, 181.6982
5, 3, 0.0423, 0.0002, 0.0947, 0.0015, 0.000693, 5.6807, 188.9036


Total Pre Processing Time(sec): 7.4247
Total Processing Time(sec): 790.4486
