Preprocess the data once at each stage
Stage, Iteration, |UV-EV|/EV, UV/EV - 1, RMSE, MQE = (((|UV-EV|/EV) ** 2) ** 0.5)/N, Updated MQE = (((|UV-EV|/(UV+EV)) ** 2) ** 0.5)/N, Pre processing Time(sec), Iteration Time(sec)
0, 1, 0.002, 0.0, 0.0021, 0.0011, 0.00053, 0.0015, 2.8778
0, 2, 0.002, 0.0, 0.0021, 0.0011, 0.00053, 0.0015, 2.8832
0, 3, 0.002, 0.0, 0.0021, 0.0011, 0.00053, 0.0015, 2.7597
0, 4, 0.002, 0.0, 0.0021, 0.0011, 0.00053, 0.0015, 2.9478
0, 5, 0.002, 0.0, 0.0021, 0.0011, 0.00053, 0.0015, 2.9011
0, 6, 0.002, 0.0, 0.0021, 0.0011, 0.00053, 0.0015, 2.8188
1, 1, 0.0047, -0.001, 0.0065, 0.0016, 0.000819, 0.0174, 4.3916
1, 2, 0.0028, -0.0, 0.0036, 0.0009, 0.000446, 0.0174, 4.1823
1, 3, 0.0025, -0.0014, 0.003, 0.0008, 0.000378, 0.0174, 4.1059
1, 4, 0.0025, -0.0014, 0.003, 0.0008, 0.000378, 0.0174, 4.3048
1, 5, 0.0025, -0.0014, 0.003, 0.0008, 0.000378, 0.0174, 4.2681
2, 1, 0.0119, 0.0002, 0.0152, 0.0019, 0.000957, 0.1002, 7.257
2, 2, 0.0048, -0.0006, 0.0059, 0.0007, 0.000369, 0.1002, 7.2049
2, 3, 0.0031, 0.0005, 0.004, 0.0005, 0.000249, 0.1002, 7.2188
2, 4, 0.0024, 0.0005, 0.0029, 0.0004, 0.00018, 0.1002, 7.3264
3, 1, 0.0182, 0.0008, 0.0251, 0.0016, 0.000787, 0.366, 17.056
3, 2, 0.0079, 0.0004, 0.0107, 0.0007, 0.000337, 0.366, 17.5614
3, 3, 0.0047, 0.0002, 0.0062, 0.0004, 0.000194, 0.366, 17.8297
4, 1, 0.0317, -0.0009, 0.0497, 0.0016, 0.000802, 1.3973, 56.6422
4, 2, 0.0148, 0.0002, 0.0209, 0.0007, 0.000328, 1.3973, 57.8266
5, 1, 0.0608, -0.0007, 0.1105, 0.0017, 0.000889, 5.1668, 200.7868
5, 2, 0.039, 0.0013, 0.0725, 0.0011, 0.000564, 5.1668, 186.3229
5, 3, 0.0316, 0.0012, 0.0617, 0.001, 0.000475, 5.1668, 182.0499


Total Pre Processing Time(sec): 7.0493
Total Processing Time(sec): 810.5729
