1,1513,517,2328,1974,336,14171,22363,2399,2295,627,646,2157,2308,801,450,1821,420,544,1989,1103,2203,4245,1702,877,444,1595,8018,8825,4277,1289,1121
1337,1,1763,59233,12810,730,8522,5278,13095,3381,3423,2506,1708,2174,1108,2382,5651,7093,5195,7647,4329,5674,4429,5095,4856,10701,6332,2194,12793,3593,14392,3897
574,1060,1,5334,2547,1,1525,1805,2252,1810,176,2021,1222,2867,1425,97,961,808,6759,439,359,283,1749,39,7854,749,2639,5383,15767,1087,1539,958
3715,26907,3471,1,25038,5935,24611,10233,27117,5190,4163,5202,3431,5169,11303,16774,11538,7487,6841,23768,12906,34278,13523,11410,4890,20548,16141,5413,40999,21162,33143,9348
3120,6765,1356,27014,1,1800,12385,4712,10652,2754,3035,6653,2195,2195,3420,2785,2661,4369,3774,3800,5166,8560,6273,5144,5180,4359,4840,2453,25212,6099,6675,3506
206,644,160,2807,370,1,6589,1531,697,534,1,0,227,716,992,12004,376,160,1601,142,3930,28542,1910,1171,400,579,3263,166,3698,1314,374,188
9389,5577,3028,30919,12061,11249,1,38800,28631,11833,3466,3376,9762,6403,18907,18212,19169,7614,8820,4681,27892,63722,23270,22946,6123,3231,28507,12023,31625,28232,6176,7202
15270,6218,2055,12052,4981,2216,47035,1,12025,3319,1079,5213,2226,6379,4027,2834,5249,2591,4008,349,7389,15395,12684,9472,2285,718,5967,15224,19969,11256,2649,3504
1682,4159,2591,16046,5172,1860,10513,4420,1,16998,8837,1212,2985,1053,2681,2998,10793,5286,16147,2565,3698,6377,3923,6736,686,962,3090,5086,11642,4127,4846,12274
1216,948,852,10096,1692,413,9027,4224,29526,1,1825,1590,11298,1223,1093,957,8377,1400,1288,919,2836,1551,3293,10940,1695,668,1341,5122,10543,1867,2782,3757
817,2346,693,2625,2257,150,3945,2475,12997,1390,1,2895,467,327,579,288,629,6834,4510,874,205,306,1827,991,478,707,1418,1152,3315,774,1405,3011
276,1404,1225,6511,5871,412,2661,2490,2840,1433,2119,1,168,580,623,417,378,679,21605,785,408,2196,1165,2044,6508,333,674,788,9814,1029,801,317
2851,333,342,4466,614,799,6318,2654,5333,10192,558,1068,1,1205,1413,555,1602,577,1643,215,730,2115,3228,19493,1345,368,1543,11642,6677,2453,1428,1599
2830,520,3289,5534,1575,407,4404,3382,1829,327,472,581,443,1,756,350,2003,84,975,237,522,1854,1931,983,912,265,883,1733,17674,2073,623,319
644,1689,410,8994,2182,1726,7755,6343,2615,1887,383,451,899,394,1,2845,1371,731,253,1351,6361,13538,9437,2818,1094,187,12297,977,6890,23315,1839,901
212,1030,207,12745,1857,9140,11499,3694,2301,1134,332,692,930,948,2696,1,2747,1814,2519,1363,6872,22782,3216,1791,197,556,5212,957,4603,3083,1672,1098
3669,4948,825,10874,3001,783,14479,5794,13913,9171,1968,1465,3957,1651,1472,1770,1,1175,4244,1631,1360,7337,3614,12303,1027,2248,3398,3703,7033,3539,1572,3485
491,2587,634,5518,4221,932,3512,2247,7297,2505,5870,669,360,378,934,1280,4664,1,1745,997,1144,3274,1737,2704,301,875,1249,2212,5529,1552,3333,20555
2518,2820,6560,10918,4275,425,6630,2818,22767,2088,5678,22093,1587,1915,1871,2025,2518,1672,1,2203,1686,1528,2806,4309,6239,1382,2590,2320,14820,2795,3120,3784
191,5508,551,47513,8518,693,5825,1241,2737,862,340,245,539,444,1364,838,2023,1687,2488,1,764,2280,4154,2342,368,3501,1758,1022,5346,1147,5203,381
169,898,175,7968,1099,5324,9038,3094,2517,884,22,1250,312,297,4817,2599,1676,894,761,237,1,57235,3151,1828,327,809,22129,715,6591,5750,1135,1013
1849,3826,1209,24982,3104,17340,28145,11328,6879,2657,2050,1381,1216,1416,8499,14775,3088,1973,4014,2273,34953,1,12000,7863,2015,1658,25006,4072,10058,10677,5529,1269
4526,5624,747,22469,4021,5780,33594,16892,6013,4392,978,1590,1531,3491,10899,7605,5404,2769,4394,1758,11559,27031,1,11359,1260,1778,12542,8416,14655,27833,5896,1895
2487,3143,683,11286,3209,2478,15843,6133,9676,10007,1687,2169,15435,823,4416,3030,11424,1362,2515,847,3252,13157,7847,1,936,854,15666,6127,12108,5224,2960,2011
1133,1931,6835,7174,3474,99,4233,2164,1959,1303,1301,8159,1363,2393,982,248,257,1083,3209,801,231,1930,1483,1143,1,841,611,2337,32430,921,2018,509
179,6938,526,50109,3185,355,3266,1308,4110,750,549,1298,129,1461,1384,822,1642,930,1637,2802,475,2491,955,874,1121,1,1138,1115,7049,3566,26150,1370
1416,3266,292,10995,2786,3937,17094,5249,5047,3667,592,449,2136,1050,19880,6074,3312,1630,936,1341,39487,40272,8950,11234,679,1325,1,2249,7226,8417,3199,1696
9523,2522,5843,7879,1823,2013,19470,16865,12376,4745,334,1796,13138,2614,1497,1109,6535,978,3819,854,1209,5413,8892,5934,2680,881,4677,1,12904,11339,1789,1426
10235,14875,14222,63174,20023,2363,33740,16182,26214,9510,6086,11649,6561,28700,9793,5502,7030,8715,13881,7599,7460,20664,13288,13300,20573,3725,12684,11630,1,15436,14646,7443
2341,2587,1184,14509,4644,3368,17864,8708,6515,1565,1535,2771,2765,2705,25578,3493,2991,2010,2657,1691,8992,12614,26277,4754,3453,511,13350,4121,15596,1,5488,961
1605,11733,1074,52484,8473,1310,10311,5375,8848,1171,867,2249,394,2401,2623,3690,3834,3192,2985,4398,3702,6217,6893,3520,3507,28013,4611,1295,14096,7976,1,2106
757,1702,601,4741,2101,282,5505,1797,26963,2274,3018,443,881,1047,597,654,4993,19873,2204,410,1351,1337,2253,2174,643,708,2136,1682,5375,1671,2531,1
