0.0000__16.0000, 0.5713__16.0000, 1.4088__16.0000, 2.3930__16.0000, 3.4143__16.0000, 4.5217__16.0000, 5.6499__16.0000, 6.5840__16.0000, 7.4641__16.0000, 8.4815__16.0000, 9.5875__16.0000, 10.6265__16.0000, 11.7103__16.0000, 12.6847__16.0000, 13.7948__16.0000, 14.8272__16.0000, 16.0000__16.0000, 
0.0000__14.5678, 0.5720__14.5862, 1.4289__14.6203, 2.3228__14.6386, 3.4112__14.7278, 4.5159__14.7321, 5.5998__14.7683, 6.5736__14.8120, 7.4583__14.8384, 8.5069__14.8299, 9.5400__14.8472, 10.6425__14.8724, 11.6643__14.9042, 12.7438__14.9025, 13.7542__14.8879, 14.8758__14.8929, 16.0000__14.8486, 
0.0000__13.1973, 0.5894__13.2154, 1.4329__13.2936, 2.2801__13.3421, 3.3725__13.4281, 4.4798__13.4921, 5.5362__13.5414, 6.5102__13.6055, 7.4838__13.6452, 8.4616__13.6899, 9.5594__13.7140, 10.5812__13.7411, 11.6928__13.7648, 12.7335__13.7582, 13.8363__13.7166, 14.8409__13.6754, 16.0000__13.7598, 
0.0000__11.8689, 0.6626__11.8480, 1.3848__11.9151, 2.2950__12.0416, 3.3420__12.0854, 4.3544__12.1533, 5.4520__12.2837, 6.4235__12.3471, 7.4437__12.4596, 8.4705__12.4674, 9.4638__12.4925, 10.5543__12.5847, 11.6878__12.6007, 12.7621__12.5517, 13.7846__12.5757, 14.8545__12.6434, 16.0000__12.5579, 
0.0000__10.1156, 0.5710__10.2682, 1.3501__10.5969, 2.2449__10.6070, 3.2049__10.7569, 4.2660__10.8692, 5.2910__10.9762, 6.3248__11.1026, 7.3306__11.1829, 8.4063__11.3394, 9.4224__11.4255, 10.5399__11.4641, 11.6592__11.4870, 12.7181__11.5507, 13.7505__11.6209, 14.9097__11.5786, 16.0000__11.6055, 
0.0000__8.6488, 0.4716__8.7930, 1.3115__9.2745, 2.1626__9.3917, 3.1115__9.4597, 4.0311__9.5407, 5.1513__9.7832, 6.1693__9.8503, 7.2064__10.0111, 8.2745__10.1224, 9.3895__10.2322, 10.4766__10.3098, 11.6114__10.3708, 12.6360__10.4243, 13.7758__10.4361, 14.8636__10.4987, 16.0000__10.5095, 
0.0000__7.3187, 0.4454__7.4969, 1.2569__8.0405, 2.0913__8.1199, 3.0354__8.3699, 4.0030__8.5118, 5.0297__8.5624, 6.0707__8.7444, 7.1344__8.8458, 8.1938__8.9261, 9.2630__9.0319, 10.3932__9.1330, 11.4692__9.2604, 12.6552__9.3429, 13.7079__9.3662, 14.8679__9.3815, 16.0000__9.3722, 
0.0000__6.1633, 0.5016__6.2402, 1.1911__6.5946, 1.9482__6.8178, 2.8845__7.0719, 3.9543__7.3074, 4.9449__7.4140, 5.9455__7.4811, 7.0234__7.6398, 8.0645__7.7548, 9.1557__7.8769, 10.2543__8.0174, 11.3835__8.1191, 12.5457__8.2606, 13.7276__8.3334, 14.8519__8.3211, 16.0000__8.3458, 
0.0000__4.6090, 0.4362__4.7693, 1.1412__5.0469, 1.8227__5.6341, 2.7944__5.8369, 3.7821__5.9690, 4.8025__6.1487, 5.8371__6.3118, 6.8433__6.4118, 7.9077__6.5860, 8.9963__6.7544, 10.1429__6.8849, 11.2611__7.0059, 12.4289__7.1159, 13.6613__7.2232, 14.8480__7.2710, 16.0000__7.2345, 
0.0000__2.9711, 0.3823__2.8766, 0.7056__3.1995, 1.7795__4.3738, 2.6506__4.6233, 3.6571__4.7736, 4.6517__4.8516, 5.6189__5.0292, 6.6764__5.2830, 7.7694__5.4944, 8.8927__5.6511, 9.9955__5.7800, 11.1496__5.9436, 12.3463__6.0690, 13.5669__6.1638, 14.8205__6.2175, 16.0000__6.2521, 
0.0000__2.1390, 0.3839__2.2303, 0.7822__2.2696, 1.5331__2.8141, 2.6005__3.5324, 3.4764__3.4292, 4.3482__3.5861, 5.4491__3.8634, 6.4888__4.0687, 7.6091__4.3209, 8.7250__4.5187, 9.8334__4.6833, 11.0133__4.8603, 12.2352__5.0211, 13.5034__5.1242, 14.7491__5.1968, 16.0000__5.2279, 
