0.0000__16.0000, 0.5176__16.0000, 1.2724__16.0000, 2.1007__16.0000, 3.1882__16.0000, 4.6958__16.0000, 6.6282__16.0000, 7.8694__16.0000, 9.7023__16.0000, 10.6011__16.0000, 11.5119__16.0000, 12.3246__16.0000, 13.1804__16.0000, 14.3724__16.0000, 14.8634__16.0000, 15.5345__16.0000, 16.0000__16.0000, 
0.0000__15.0780, 0.5980__14.9936, 1.1086__15.0082, 2.0954__15.1238, 3.0783__15.2520, 4.6529__15.3995, 6.4913__15.7376, 7.8410__15.8306, 9.5174__15.8609, 10.6743__15.7987, 11.4882__15.6744, 12.3432__15.6599, 13.2694__15.5651, 14.2530__15.7290, 14.9708__15.7391, 15.5278__15.6906, 16.0000__15.7005, 
0.0000__14.0261, 0.5596__14.1362, 1.0893__14.1366, 1.7964__14.1471, 2.9151__14.4134, 4.3482__14.7158, 6.1547__15.1983, 7.5398__15.4743, 9.0168__15.3735, 10.6668__15.3721, 11.4384__15.3612, 12.4510__15.2596, 13.3411__15.2881, 14.1256__15.2752, 15.0066__15.4899, 15.6231__15.5908, 16.0000__15.5620, 
0.0000__13.2646, 0.5197__13.1963, 1.1257__13.1997, 1.4664__13.3412, 2.5441__13.5152, 3.9580__13.8618, 5.7381__14.2647, 7.3051__14.6109, 9.0535__14.7575, 10.6230__15.0458, 11.4608__14.8276, 12.3912__14.8157, 13.3065__14.9077, 14.0980__14.9392, 14.8312__14.9354, 15.5590__15.1049, 16.0000__15.2874, 
0.0000__12.1541, 0.5307__12.2057, 0.9402__12.3627, 1.3878__12.4642, 2.0160__12.5260, 3.7655__12.7752, 5.3209__13.0742, 7.1054__13.4617, 8.8482__13.8616, 10.4717__14.3689, 11.6637__14.4255, 12.2290__14.1274, 13.1149__14.0455, 13.7843__14.0007, 14.8211__14.2761, 15.4267__14.4604, 16.0000__14.4132, 
0.0000__11.3231, 0.4170__11.3497, 0.7929__11.3779, 1.2532__11.5031, 1.9037__11.5892, 3.4424__11.3940, 5.1205__11.6630, 6.6747__11.9558, 8.4124__12.4901, 10.1046__12.9235, 11.6615__13.5491, 12.3205__13.4346, 13.1555__13.4195, 13.8072__13.0441, 14.5833__13.1796, 15.4451__13.5759, 16.0000__13.7070, 
0.0000__10.4794, 0.3282__10.4928, 0.6945__10.5784, 1.1935__10.4976, 2.0307__10.2485, 3.1145__10.1322, 4.7660__10.2142, 6.2969__10.5717, 7.8195__10.9302, 9.9741__11.4725, 11.3857__12.2869, 12.3728__12.4012, 13.2855__12.7709, 13.8747__12.6523, 14.6055__12.5789, 15.3448__12.5686, 16.0000__12.6266, 
0.0000__9.9606, 0.2358__9.9404, 0.7322__9.6914, 1.3239__9.4722, 1.9701__9.3394, 2.9408__9.0443, 4.2789__8.8451, 5.8985__9.0818, 7.4651__9.3974, 9.3834__9.8783, 11.1677__10.5544, 12.1770__10.9697, 13.1019__11.5253, 13.6703__11.3162, 14.5020__11.3536, 15.3664__11.6262, 16.0000__11.6578, 
0.0000__9.2274, 0.3140__9.1043, 0.8638__8.8854, 1.3899__8.7782, 2.1305__8.3708, 2.8761__8.0171, 3.8175__7.7701, 5.3359__7.7188, 7.1782__7.9591, 8.8160__8.2711, 10.8518__8.9830, 12.0309__9.2875, 12.8750__9.5650, 13.5332__9.5900, 14.2057__9.4800, 15.3135__9.8154, 16.0000__10.0763, 
0.0000__8.5749, 0.3886__8.5536, 0.9272__8.2627, 1.5190__7.8723, 2.3471__7.5643, 2.8499__7.3650, 3.6959__7.0548, 4.9978__6.7325, 6.6789__6.6428, 8.4280__6.8841, 10.3291__7.2377, 12.0311__7.9840, 12.8374__8.4762, 13.4089__8.4788, 14.3403__8.2383, 15.1569__8.0828, 16.0000__8.1204, 
0.0000__8.0094, 0.5502__7.8254, 1.1394__7.6072, 1.6194__7.5706, 2.2098__7.1584, 2.7043__6.9105, 3.6662__6.4716, 4.7670__6.1003, 6.3148__5.8675, 8.2864__5.7682, 9.9925__5.7766, 11.5429__6.0801, 12.4807__6.4118, 13.2918__6.3774, 14.3559__6.4584, 15.2015__6.6757, 16.0000__6.6548, 
0.0000__6.8724, 0.8349__7.0388, 1.5579__6.9000, 2.0292__6.7531, 2.3420__6.7660, 2.7436__6.6510, 3.5261__6.2342, 4.5566__5.7771, 6.1737__5.2598, 8.1310__4.9566, 9.7791__5.0209, 11.4754__5.2062, 12.4527__5.1294, 13.6541__4.9533, 14.2654__4.8013, 15.1265__4.7700, 16.0000__4.8543, 
0.0000__5.3373, 1.1031__5.2885, 1.8743__5.8212, 2.2760__6.2299, 2.6154__6.2522, 3.2992__6.0175, 3.8093__5.8553, 4.5514__5.5710, 5.9886__5.0223, 7.8665__4.6351, 9.7340__4.5411, 11.3739__4.5288, 12.9114__4.4853, 13.8835__4.4472, 14.7182__4.1944, 15.2858__3.8463, 16.0000__3.7512, 
0.0000__3.6285, 1.0995__3.9201, 1.7279__4.0414, 2.6070__4.1616, 3.2555__4.5763, 4.0855__4.6661, 4.7279__4.8748, 5.3876__4.8474, 6.3983__4.5630, 7.9983__4.2744, 9.7971__4.2510, 11.4738__4.0599, 13.0137__3.9383, 13.9198__3.6717, 15.0064__3.3979, 15.6088__3.1677, 16.0000__3.0264, 
0.0000__2.4105, 0.9116__2.4553, 1.7380__2.6565, 2.3368__2.7460, 3.0873__2.7290, 4.1407__2.6876, 5.2384__2.9245, 6.1164__3.2952, 7.0424__3.4844, 8.3280__3.5034, 9.9892__3.3293, 11.6216__3.0982, 12.9719__2.9427, 14.1695__2.6447, 15.2125__2.3944, 15.7619__2.3094, 16.0000__2.3128, 
0.0000__1.2048, 0.8702__1.2210, 1.5811__1.2509, 2.2764__1.3563, 2.9850__1.4177, 3.9207__1.3523, 4.8819__1.4521, 5.9078__1.6061, 7.0088__1.7440, 8.3929__1.8631, 10.1728__2.1051, 11.8348__2.0064, 13.2524__1.6001, 14.3110__1.3196, 15.4352__1.3328, 15.7424__1.3694, 16.0000__1.3636, 
0.0000__0.0000, 0.8632__0.0000, 1.5549__0.0000, 2.1611__0.0000, 3.0316__0.0000, 3.8678__0.0000, 4.7773__0.0000, 5.8492__0.0000, 6.8768__0.0000, 8.2751__0.0000, 9.9388__0.0000, 11.9812__0.0000, 13.4579__0.0000, 14.4076__0.0000, 15.4039__0.0000, 15.6906__0.0000, 16.0000__0.0000
