0.0000__16.0000, 1.1279__16.0000, 2.2575__16.0000, 3.3973__16.0000, 4.6507__16.0000, 5.9407__16.0000, 7.2512__16.0000, 8.6246__16.0000, 10.1555__16.0000, 11.3886__16.0000, 12.6547__16.0000, 13.5093__16.0000, 14.2980__16.0000, 14.9641__16.0000, 15.4036__16.0000, 15.7165__16.0000, 16.0000__16.0000, 
0.0000__15.3451, 1.1546__15.3246, 2.2033__15.3553, 3.3984__15.4055, 4.5881__15.4550, 5.9201__15.4972, 7.2394__15.4789, 8.5930__15.4777, 10.0653__15.5382, 11.3712__15.5526, 12.6054__15.5763, 13.4869__15.5971, 14.2752__15.6186, 14.9496__15.6704, 15.4133__15.6973, 15.7161__15.6986, 16.0000__15.7014, 
0.0000__14.6744, 1.1444__14.7355, 2.1788__14.7291, 3.3021__14.7575, 4.4764__14.8131, 5.7959__14.8345, 7.1613__14.8847, 8.4257__14.8908, 9.8104__14.9021, 11.1678__14.9607, 12.4009__15.0578, 13.3598__15.0904, 14.1763__15.1475, 14.8766__15.2547, 15.4030__15.3781, 15.7269__15.4056, 16.0000__15.3977, 
0.0000__14.0748, 1.1045__14.0746, 2.1839__14.0873, 3.2021__14.0514, 4.3917__14.0033, 5.6648__14.0330, 6.9872__14.0869, 8.2866__14.0994, 9.6923__14.2034, 10.9585__14.2861, 12.2511__14.3924, 13.3010__14.5186, 14.0748__14.6278, 14.7527__14.7372, 15.3055__14.8671, 15.7097__14.9811, 16.0000__15.0096, 
0.0000__13.4446, 1.1291__13.4441, 2.1507__13.4231, 3.2307__13.3420, 4.3431__13.2470, 5.6380__13.2155, 6.9115__13.2271, 8.1946__13.2587, 9.4639__13.3324, 10.8050__13.4349, 12.1358__13.6786, 13.1458__13.8599, 13.9157__13.9043, 14.6291__14.0182, 15.2141__14.2138, 15.6591__14.3693, 16.0000__14.3943, 
0.0000__12.7145, 1.1263__12.7741, 2.2016__12.7580, 3.2382__12.6544, 4.3825__12.5017, 5.6349__12.3991, 6.9125__12.3954, 8.1524__12.3964, 9.3734__12.4238, 10.6606__12.5582, 11.8949__12.7730, 12.9021__12.9029, 13.9073__13.1149, 14.5316__13.2318, 15.1292__13.3966, 15.6158__13.5746, 16.0000__13.6139, 
0.0000__12.0217, 1.1355__12.0224, 2.2332__12.0635, 3.2962__11.9686, 4.4725__11.7537, 5.6793__11.6272, 6.9450__11.5830, 8.1696__11.5849, 9.3582__11.5641, 10.5394__11.6294, 11.7358__11.8164, 12.8848__11.9842, 13.9011__12.3673, 14.5124__12.4434, 15.0817__12.5334, 15.5723__12.6876, 16.0000__12.7145, 
0.0000__11.3027, 1.1511__11.3318, 2.2387__11.3050, 3.3782__11.1751, 4.5862__11.0577, 5.7828__10.8922, 6.9856__10.7898, 8.2023__10.7462, 9.3825__10.7503, 10.4673__10.7336, 11.6026__10.7696, 12.8297__11.0735, 13.7977__11.4238, 14.4869__11.5505, 15.0770__11.6776, 15.5691__11.7609, 16.0000__11.7637, 
0.0000__10.6095, 1.1473__10.5982, 2.2758__10.5118, 3.4718__10.3323, 4.6735__10.1985, 5.8748__10.1021, 7.0670__9.9843, 8.2538__9.9143, 9.3914__9.8809, 10.4468__9.8160, 11.5615__9.8298, 12.6508__10.0037, 13.6840__10.3328, 14.4314__10.5082, 15.1120__10.7347, 15.5924__10.9188, 16.0000__10.9625, 
0.0000__9.9481, 1.1457__9.9076, 2.4086__9.6515, 3.5727__9.4002, 4.7708__9.2878, 5.9223__9.1678, 7.1327__9.0970, 8.3302__9.0363, 9.4505__9.0014, 10.4832__8.8893, 11.4805__8.8282, 12.5530__8.8957, 13.5330__9.0700, 14.4371__9.3712, 15.0769__9.7827, 15.6203__10.0749, 16.0000__10.1050, 
0.0000__8.9837, 1.2383__8.7823, 2.5095__8.7540, 3.8448__8.7023, 4.8859__8.4601, 6.0123__8.3077, 7.2180__8.1752, 8.4257__8.1425, 9.5567__8.1190, 10.6103__8.0741, 11.5543__7.9013, 12.6055__7.9175, 13.5896__8.1030, 14.3882__8.3639, 15.0193__8.5148, 15.5771__8.8665, 16.0000__9.0043, 
