0.0000__16.0000, 0.9514__16.0000, 1.8607__16.0000, 2.7710__16.0000, 3.8281__16.0000, 4.8672__16.0000, 5.7704__16.0000, 6.9678__16.0000, 8.1793__16.0000, 9.0744__16.0000, 9.8375__16.0000, 10.9901__16.0000, 11.9195__16.0000, 13.2104__16.0000, 14.1538__16.0000, 15.2470__16.0000, 16.0000__16.0000, 
0.0000__15.4800, 0.9435__15.4924, 1.8719__15.4924, 2.7647__15.4659, 3.8446__15.4356, 4.8541__15.4417, 5.8320__15.3835, 6.9559__15.2888, 8.2133__15.2941, 8.9559__15.4039, 10.0325__15.3256, 10.8543__15.2533, 12.1027__15.1967, 13.0727__15.1741, 14.2569__15.2282, 15.1810__15.2274, 16.0000__15.2988, 
0.0000__15.0377, 0.9334__15.0387, 1.8824__15.0367, 2.8009__14.9550, 3.8398__14.8694, 4.8974__14.8214, 5.8970__14.7337, 7.0659__14.5902, 8.0954__14.6316, 9.0993__14.5148, 9.8166__14.6572, 11.2231__14.5917, 11.9589__14.3919, 13.1470__14.4896, 14.1335__14.5459, 15.2509__14.6576, 16.0000__14.5391, 
0.0000__14.6096, 0.9389__14.5925, 1.9078__14.5518, 2.8667__14.4800, 3.8752__14.3497, 4.9736__14.2527, 5.9948__14.0852, 7.1465__13.9870, 8.1879__13.8487, 9.0565__14.0034, 9.9530__13.6674, 11.2148__13.6491, 11.9736__13.8619, 12.9962__13.8128, 14.1960__13.8107, 15.2252__13.7121, 16.0000__13.9356, 
0.0000__14.1721, 0.9540__14.1469, 1.9675__14.0825, 2.9330__13.9584, 3.9553__13.8067, 5.0678__13.6709, 6.1559__13.5060, 7.2589__13.3450, 8.2823__13.3870, 9.0248__13.0305, 10.2014__12.9275, 10.9839__13.0298, 11.8970__13.1827, 13.2097__12.9694, 14.2641__12.5843, 15.0925__12.7908, 16.0000__12.6982, 
0.0000__13.6326, 0.9708__13.6074, 2.0447__13.5929, 3.0215__13.5091, 4.0885__13.2425, 5.1758__13.0225, 6.3189__12.8620, 7.4021__12.7910, 8.3262__12.6122, 9.3786__12.4518, 10.1206__12.3800, 10.9754__12.3740, 11.8072__11.9268, 13.6103__11.8510, 14.2492__12.0334, 15.1675__11.9047, 16.0000__11.9242, 
0.0000__13.1169, 0.9990__13.0525, 2.0846__13.0480, 3.1458__12.9426, 4.2540__12.7082, 5.3633__12.4427, 6.4520__12.2036, 7.5495__12.0408, 8.6238__11.9353, 9.4536__11.8593, 10.2401__11.7127, 10.9015__11.1977, 12.3137__10.7438, 13.2697__10.9568, 14.3470__11.1454, 15.1681__11.2616, 16.0000__11.2799, 
0.0000__12.6983, 1.0269__12.6069, 2.1340__12.4707, 3.3049__12.2698, 4.4109__12.0344, 5.5965__11.8388, 6.6371__11.5234, 7.7933__11.3209, 8.7924__11.2986, 9.6303__11.1973, 10.3185__10.7934, 11.3634__10.3007, 12.4369__10.2025, 13.2652__10.0658, 14.2102__10.0329, 14.9770__10.1843, 16.0000__10.3309, 
0.0000__12.3247, 1.0562__12.1719, 2.2589__11.9018, 3.4949__11.5909, 4.6093__11.3359, 5.7906__11.1781, 6.9194__10.8348, 8.0002__10.6644, 9.0112__10.5931, 9.7864__10.3445, 10.7106__9.9653, 11.6376__9.5881, 12.5761__9.4723, 13.4028__9.2639, 14.1745__9.1803, 14.8569__8.9110, 16.0000__8.5711, 
0.0000__11.8008, 1.0585__11.6017, 2.5289__11.2256, 3.6818__11.0150, 4.9101__10.7123, 6.0180__10.4460, 7.1646__10.2094, 8.2817__10.0122, 9.2496__9.8715, 10.1114__9.5071, 10.9907__9.1550, 11.9289__8.8595, 12.7617__8.6258, 13.5454__8.4152, 14.2657__8.2378, 15.0727__7.9780, 16.0000__7.8868, 
0.0000__11.0556, 1.2443__10.4587, 2.6945__10.3581, 3.9266__10.3758, 5.2496__10.1151, 6.2904__9.8242, 7.4096__9.4511, 8.5482__9.2222, 9.5298__9.0577, 10.4451__8.7395, 11.3271__8.3902, 12.2209__8.0973, 13.0622__7.9210, 13.7622__7.6587, 14.4999__7.4209, 15.2043__7.2009, 16.0000__7.1091, 
0.0000__9.3849, 1.4089__9.3052, 2.9199__9.4838, 4.2011__9.2893, 5.4980__9.3963, 6.5678__9.0263, 7.7116__8.6039, 8.8273__8.4055, 9.8475__8.2355, 10.7624__7.9527, 11.6958__7.6267, 12.5395__7.3512, 13.3145__7.1327, 14.0475__6.8796, 14.7062__6.6737, 15.3551__6.4763, 16.0000__6.4067, 
0.0000__7.5577, 1.5248__7.4406, 3.1550__8.1498, 4.4185__8.2948, 5.6605__8.4391, 6.8572__8.1006, 8.0654__7.7863, 9.1455__7.6326, 10.1116__7.4281, 11.1759__7.1625, 12.0100__6.8009, 12.8184__6.5124, 13.5898__6.2250, 14.2829__6.0007, 14.9326__5.8494, 15.4714__5.6991, 16.0000__5.6643, 
0.0000__5.6917, 1.5436__5.8001, 2.9315__6.1276, 4.3141__6.2746, 5.5010__6.2985, 6.9291__6.3816, 8.2145__6.6260, 9.2908__6.5474, 10.2759__6.1107, 11.3194__6.0642, 12.3403__5.9628, 13.1385__5.5585, 13.8777__5.2525, 14.5480__5.0003, 15.1061__4.8935, 15.5941__4.8198, 16.0000__4.7591, 
0.0000__3.9072, 1.4196__3.9349, 2.8067__4.0824, 4.0656__4.1805, 5.4378__4.1950, 6.7745__4.5955, 7.9235__4.6430, 9.0958__4.6018, 10.3573__4.8659, 11.2135__4.4825, 12.2797__4.2308, 13.2292__4.1501, 14.2058__4.0571, 14.7654__3.8380, 15.2409__3.6449, 15.6823__3.6674, 16.0000__3.6734, 
0.0000__1.9770, 1.3666__1.9988, 2.6971__2.0300, 4.0321__2.0828, 5.3003__2.1905, 6.4959__2.2707, 7.7161__2.4213, 8.7765__2.4612, 9.8633__2.3965, 11.1870__2.5215, 12.2153__2.5988, 13.2200__2.4483, 14.3138__2.5786, 14.9343__2.4143, 15.4979__2.2177, 15.7673__2.1066, 16.0000__2.0525, 
0.0000__0.0000, 1.3460__0.0000, 2.6890__0.0000, 3.9789__0.0000, 5.2340__0.0000, 6.4580__0.0000, 7.5415__0.0000, 8.6924__0.0000, 9.8206__0.0000, 10.7059__0.0000, 11.7940__0.0000, 12.9009__0.0000, 13.7279__0.0000, 14.8964__0.0000, 15.6592__0.0000, 15.8536__0.0000, 16.0000__0.0000
