0.0000__16.0000, 0.7992__16.0000, 1.6459__16.0000, 2.5853__16.0000, 3.6789__16.0000, 4.7447__16.0000, 5.6792__16.0000, 6.8410__16.0000, 8.0179__16.0000, 8.9897__16.0000, 9.8577__16.0000, 10.9781__16.0000, 11.9352__16.0000, 13.1780__16.0000, 14.1123__16.0000, 15.1957__16.0000, 16.0000__16.0000, 
0.0000__15.3894, 0.8003__15.3837, 1.6504__15.3601, 2.5741__15.3354, 3.6935__15.3098, 4.7322__15.3163, 5.7309__15.2817, 6.8287__15.2104, 8.0459__15.2003, 8.8980__15.2792, 10.0016__15.2276, 10.8671__15.1853, 12.0816__15.1492, 13.0642__15.1356, 14.1936__15.1742, 15.1305__15.1774, 16.0000__15.2470, 
0.0000__14.8432, 0.7927__14.8382, 1.6697__14.7960, 2.5854__14.6967, 3.6973__14.6182, 4.7573__14.5886, 5.7852__14.5455, 6.9129__14.4357, 7.9687__14.4401, 9.0086__14.3487, 9.8089__14.4785, 11.1399__14.4407, 11.9663__14.2951, 13.1180__14.3780, 14.0934__14.4274, 15.1721__14.5098, 16.0000__14.4111, 
0.0000__14.3150, 0.8049__14.2749, 1.7138__14.1979, 2.6443__14.1105, 3.7163__13.9861, 4.8022__13.9308, 5.8519__13.8189, 6.9865__13.7370, 8.0436__13.6067, 8.9620__13.7168, 9.8843__13.4995, 11.1138__13.4813, 11.9932__13.6671, 12.9900__13.6453, 14.1425__13.6518, 15.1496__13.5501, 16.0000__13.7228, 
0.0000__13.7550, 0.8355__13.7173, 1.7633__13.6256, 2.7257__13.4890, 3.7649__13.3456, 4.8772__13.2474, 5.9719__13.1358, 7.0768__12.9994, 8.1228__13.0098, 8.9612__12.7655, 10.0880__12.6969, 10.9223__12.7487, 11.8894__12.8972, 13.1585__12.7656, 14.1965__12.4798, 15.0620__12.6419, 16.0000__12.5612, 
0.0000__13.0917, 0.8530__13.0629, 1.8404__12.9991, 2.8196__12.9122, 3.8611__12.7085, 4.9645__12.5223, 6.0882__12.3989, 7.2015__12.3278, 8.1898__12.1779, 9.2296__12.0954, 10.0031__11.9989, 10.9069__11.9901, 11.8200__11.6916, 13.4587__11.6456, 14.1627__11.8219, 15.1021__11.7182, 16.0000__11.7532, 
0.0000__12.5171, 0.8586__12.4371, 1.8891__12.3362, 2.9403__12.2336, 3.9939__12.0589, 5.1053__11.8446, 6.1935__11.6478, 7.3224__11.5194, 8.4088__11.4384, 9.2795__11.3531, 10.1260__11.2446, 10.8951__10.8784, 12.1976__10.5631, 13.1386__10.7079, 14.2197__10.8725, 15.0880__10.9772, 16.0000__10.9781, 
0.0000__12.0634, 0.8691__11.9320, 1.9508__11.6857, 3.0598__11.5284, 4.1546__11.3353, 5.2752__11.1473, 6.3522__10.9041, 7.4969__10.7325, 8.5350__10.6886, 9.4325__10.5847, 10.2427__10.2963, 11.2570__10.0014, 12.2596__9.9102, 13.1052__9.7953, 14.0791__9.7667, 14.9455__9.8928, 16.0000__10.0176, 
0.0000__11.6233, 0.9124__11.4053, 2.0417__11.0895, 3.2234__10.8235, 4.3233__10.6021, 5.4508__10.4337, 6.5708__10.1685, 7.6643__10.0004, 8.6985__9.8878, 9.5868__9.6905, 10.5408__9.4710, 11.4432__9.2205, 12.3725__9.1045, 13.2105__8.9439, 14.0542__8.8275, 14.8408__8.6515, 16.0000__8.4357, 
0.0000__10.9946, 0.9430__10.8061, 2.2794__10.4279, 3.3879__10.1845, 4.5548__9.9497, 5.6559__9.6737, 6.7723__9.4588, 7.8849__9.2644, 8.9035__9.1171, 9.8326__8.8722, 10.7511__8.6464, 11.6667__8.4333, 12.5077__8.2304, 13.3601__8.0533, 14.1540__7.8955, 15.0100__7.6948, 16.0000__7.6099, 
0.0000__10.2320, 1.1225__9.7160, 2.4577__9.5816, 3.6148__9.5183, 4.8302__9.2504, 5.8784__8.9688, 6.9873__8.6524, 8.1052__8.4339, 9.1261__8.2844, 10.0833__8.0610, 10.9881__7.8441, 11.8884__7.6412, 12.7461__7.4431, 13.5268__7.2443, 14.3411__7.0687, 15.1317__6.8947, 16.0000__6.8125, 
