0.0000__16.0000, 1.0015__16.0000, 2.0000__16.0000, 3.0016__16.0000, 4.0144__16.0000, 5.0292__16.0000, 6.0448__16.0000, 7.0674__16.0000, 8.0961__16.0000, 9.1160__16.0000, 10.1352__16.0000, 11.1413__16.0000, 12.1457__16.0000, 13.1408__16.0000, 14.1108__16.0000, 15.0543__16.0000, 16.0000__16.0000, 
0.0000__15.0120, 1.0006__15.0128, 1.9979__15.0155, 3.0008__15.0182, 4.0118__15.0215, 5.0282__15.0250, 6.0450__15.0256, 7.0658__15.0266, 8.0933__15.0306, 9.1149__15.0338, 10.1332__15.0365, 11.1399__15.0392, 12.1424__15.0434, 13.1371__15.0505, 14.1122__15.0534, 15.0591__15.0478, 16.0000__15.0432, 
0.0000__14.0269, 0.9993__14.0275, 1.9951__14.0284, 2.9972__14.0312, 4.0068__14.0359, 5.0246__14.0409, 6.0436__14.0450, 7.0631__14.0475, 8.0888__14.0503, 9.1104__14.0555, 10.1281__14.0616, 11.1360__14.0667, 12.1343__14.0736, 13.1268__14.0849, 14.1078__14.0973, 15.0647__14.1021, 16.0000__14.1013, 
0.0000__13.0431, 0.9977__13.0441, 1.9965__13.0431, 2.9952__13.0405, 4.0017__13.0424, 5.0190__13.0477, 6.0391__13.0530, 7.0594__13.0577, 8.0827__13.0644, 9.1034__13.0722, 10.1223__13.0783, 11.1291__13.0854, 12.1235__13.0954, 13.1141__13.1066, 14.0963__13.1177, 15.0597__13.1293, 16.0000__13.1352, 
0.0000__12.0631, 1.0005__12.0590, 1.9974__12.0557, 2.9941__12.0581, 3.9990__12.0595, 5.0152__12.0605, 6.0353__12.0624, 7.0544__12.0655, 8.0749__12.0710, 9.0958__12.0781, 10.1153__12.0864, 11.1193__12.0963, 12.1159__12.1024, 13.1038__12.1080, 14.0847__12.1193, 15.0493__12.1305, 16.0000__12.1351, 
0.0000__11.0875, 1.0065__11.0858, 2.0009__11.0796, 2.9939__11.0727, 3.9973__11.0714, 5.0142__11.0724, 6.0345__11.0724, 7.0512__11.0731, 8.0697__11.0757, 9.0884__11.0810, 10.1055__11.0904, 11.1116__11.0981, 12.1132__11.1021, 13.0955__11.1082, 14.0746__11.1164, 15.0424__11.1234, 16.0000__11.1264, 
0.0000__10.1123, 1.0091__10.1118, 2.0065__10.1111, 3.0030__10.1033, 4.0011__10.0901, 5.0138__10.0841, 6.0341__10.0844, 7.0524__10.0824, 8.0678__10.0801, 9.0817__10.0833, 10.0963__10.0904, 11.1072__10.0964, 12.1084__10.1024, 13.0903__10.1065, 14.0690__10.1093, 15.0379__10.1134, 16.0000__10.1154, 
0.0000__9.1398, 1.0103__9.1395, 2.0080__9.1374, 3.0143__9.1320, 4.0132__9.1213, 5.0207__9.1071, 6.0374__9.0960, 7.0559__9.0909, 8.0705__9.0866, 9.0780__9.0842, 10.0907__9.0865, 11.1018__9.0917, 12.1031__9.0972, 13.0904__9.0986, 14.0661__9.0997, 15.0366__9.1009, 16.0000__9.1006, 
0.0000__8.1657, 1.0127__8.1644, 2.0170__8.1533, 3.0195__8.1416, 4.0253__8.1342, 5.0345__8.1220, 6.0471__8.1097, 7.0630__8.0980, 8.0762__8.0896, 9.0799__8.0845, 10.0883__8.0829, 11.0978__8.0846, 12.1020__8.0850, 13.0874__8.0892, 14.0651__8.0935, 15.0360__8.0951, 16.0000__8.0967, 
0.0000__7.1989, 1.0174__7.1964, 2.0427__7.1776, 3.0340__7.1473, 4.0315__7.1321, 5.0446__7.1272, 6.0585__7.1179, 7.0753__7.1067, 8.0841__7.0964, 9.0859__7.0883, 10.0892__7.0832, 11.0997__7.0792, 12.0998__7.0809, 13.0824__7.0848, 14.0626__7.0880, 15.0340__7.0914, 16.0000__7.0921, 
0.0000__6.2020, 1.0264__6.1954, 2.0597__6.1939, 3.0642__6.1828, 4.0462__6.1532, 5.0494__6.1369, 6.0688__6.1302, 7.0850__6.1221, 8.0930__6.1156, 9.0963__6.1052, 10.0974__6.0919, 11.1038__6.0847, 12.0993__6.0810, 13.0831__6.0771, 14.0595__6.0761, 15.0302__6.0795, 16.0000__6.0827, 
