0.0000__32.0000, 0.8327__32.0000, 1.7505__32.0000, 2.6786__32.0000, 3.6756__32.0000, 4.6189__32.0000, 5.6076__32.0000, 6.6372__32.0000, 7.6317__32.0000, 8.6814__32.0000, 9.7218__32.0000, 10.7774__32.0000, 11.7941__32.0000, 12.6961__32.0000, 13.5872__32.0000, 14.3647__32.0000, 15.2774__32.0000, 16.2317__32.0000, 17.2384__32.0000, 18.2415__32.0000, 19.2729__32.0000, 20.2827__32.0000, 21.3495__32.0000, 22.3992__32.0000, 23.4538__32.0000, 24.4446__32.0000, 25.5017__32.0000, 26.5497__32.0000, 27.6720__32.0000, 28.5854__32.0000, 29.7495__32.0000, 30.8799__32.0000, 32.0000__32.0000, 
0.0000__30.7636, 0.8521__30.7491, 1.7466__30.7391, 2.7015__30.7213, 3.6525__30.7063, 4.5921__30.7381, 5.6089__30.7555, 6.6051__30.7809, 7.6352__30.8105, 8.6663__30.8207, 9.7206__30.8366, 10.7595__30.8511, 11.7939__30.8625, 12.6832__30.8695, 13.5733__30.8942, 14.3822__30.9000, 15.2779__30.8935, 16.2483__30.8841, 17.2084__30.8971, 18.2639__30.9010, 19.2402__30.9141, 20.3100__30.9241, 21.3361__30.9001, 22.3834__30.9020, 23.4202__30.9269, 24.4266__30.9654, 25.5090__30.9775, 26.5600__30.9674, 27.6253__31.0146, 28.6538__31.0197, 29.7614__30.9526, 30.8939__30.9350, 32.0000__30.9224, 
0.0000__29.5335, 0.8683__29.5397, 1.7614__29.5351, 2.7163__29.5294, 3.6479__29.5234, 4.5924__29.4918, 5.5637__29.5178, 6.5677__29.5800, 7.6102__29.6139, 8.6405__29.6464, 9.6951__29.6823, 10.7499__29.6952, 11.7481__29.7162, 12.6710__29.7496, 13.5391__29.7572, 14.4090__29.7712, 15.2755__29.7605, 16.2419__29.7943, 17.2344__29.7610, 18.1675__29.7733, 19.2373__29.8590, 20.2934__29.8630, 21.3529__29.8713, 22.3256__29.8830, 23.3889__29.9405, 24.4500__29.9192, 25.4869__29.9072, 26.5798__29.9297, 27.6093__29.8961, 28.7065__29.8849, 29.7853__29.8870, 30.8999__29.8778, 32.0000__29.8848, 
0.0000__28.3080, 0.8649__28.3298, 1.7823__28.3521, 2.7377__28.3359, 3.6883__28.2988, 4.6098__28.2507, 5.4906__28.2740, 6.5102__28.3697, 7.5689__28.4368, 8.6006__28.4719, 9.6416__28.5231, 10.7207__28.5763, 11.6839__28.6190, 12.6626__28.6466, 13.5294__28.6399, 14.4099__28.6360, 15.2639__28.6362, 16.1924__28.6407, 17.1977__28.7433, 18.1500__28.7851, 19.2292__28.7715, 20.2957__28.7915, 21.3060__28.8240, 22.3237__28.8853, 23.3980__28.8578, 24.4737__28.8731, 25.5227__28.8318, 26.5638__28.7891, 27.6412__28.8022, 28.6888__28.7913, 29.7917__28.7937, 30.8907__28.8049, 32.0000__28.8077, 
0.0000__26.9249, 0.8251__27.0057, 1.8162__27.0352, 2.6980__27.0405, 3.7180__27.0613, 4.5707__27.0329, 5.4476__27.0889, 6.4301__27.1671, 7.4952__27.2602, 8.5561__27.3260, 9.5754__27.3695, 10.6404__27.4499, 11.6483__27.5016, 12.6331__27.5180, 13.5089__27.5427, 14.4011__27.5671, 15.2578__27.5741, 16.1565__27.6023, 17.1263__27.6200, 18.1838__27.6538, 19.1996__27.6837, 20.2741__27.7162, 21.2369__27.7563, 22.3445__27.7850, 23.4154__27.7992, 24.4776__27.7741, 25.5558__27.7876, 26.5929__27.7800, 27.6534__27.7275, 28.7013__27.7028, 29.7709__27.7036, 30.8781__27.7287, 32.0000__27.7378, 
0.0000__25.6142, 0.7755__25.6775, 1.7804__25.8212, 2.7100__25.8011, 3.6292__25.7599, 4.4967__25.8481, 5.3885__25.9347, 6.3807__26.0365, 7.4149__26.0881, 8.4807__26.1644, 9.5078__26.2455, 10.5564__26.3142, 11.5967__26.3806, 12.5820__26.4299, 13.4899__26.4451, 14.3584__26.4705, 15.2673__26.5175, 16.1489__26.5270, 17.1518__26.5456, 18.1342__26.5428, 19.1656__26.5833, 20.2204__26.6456, 21.2397__26.6844, 22.3328__26.7058, 23.4325__26.6994, 24.5082__26.6741, 25.5195__26.6571, 26.6167__26.6802, 27.6794__26.6899, 28.7228__26.6613, 29.7449__26.6595, 30.8791__26.6714, 32.0000__26.6660, 
0.0000__24.4695, 0.8027__24.4668, 1.6621__24.5407, 2.7092__24.6434, 3.5390__24.6358, 4.4110__24.6799, 5.3170__24.8157, 6.3468__24.9101, 7.3552__24.9518, 8.3817__25.0133, 9.4271__25.0998, 10.4730__25.1953, 11.5365__25.2709, 12.5249__25.2972, 13.4599__25.3515, 14.3379__25.3660, 15.2354__25.3993, 16.1768__25.4334, 17.1219__25.4274, 18.1104__25.4606, 19.1047__25.4475, 20.1169__25.5219, 21.2316__25.6047, 22.3254__25.5989, 23.4303__25.5952, 24.4838__25.6114, 25.5513__25.5938, 26.5680__25.5541, 27.6284__25.6311, 28.7371__25.6797, 29.7873__25.6277, 30.8563__25.6016, 32.0000__25.6361, 
0.0000__23.3281, 0.8002__23.4033, 1.6704__23.4507, 2.5863__23.4630, 3.4989__23.5302, 4.3398__23.5735, 5.2605__23.6910, 6.2900__23.7963, 7.3194__23.8760, 8.3212__23.9076, 9.3516__23.9705, 10.3826__24.0567, 11.4814__24.1209, 12.4402__24.1539, 13.4000__24.2163, 14.3178__24.2585, 15.1984__24.2825, 16.1412__24.3388, 17.0938__24.4089, 18.1142__24.3873, 18.9909__24.4319, 20.0843__24.5251, 21.2068__24.5246, 22.3152__24.5595, 23.4066__24.5840, 24.4940__24.5724, 25.5629__24.5195, 26.4623__24.5974, 27.6259__24.6478, 28.7104__24.6124, 29.8114__24.6576, 30.8771__24.6394, 32.0000__24.5997, 
0.0000__22.1081, 0.7568__22.1476, 1.6411__22.2960, 2.5286__22.3744, 3.4085__22.3780, 4.2708__22.4985, 5.2598__22.6030, 6.2115__22.6254, 7.2690__22.7379, 8.2759__22.8018, 9.2897__22.8588, 10.3200__22.9444, 11.4096__23.0285, 12.3931__23.0553, 13.3416__23.0651, 14.2397__23.1114, 15.1397__23.1977, 16.0918__23.2796, 17.0691__23.2920, 18.0480__23.4115, 19.0139__23.4630, 20.1196__23.4422, 21.1808__23.4776, 22.2894__23.5008, 23.3812__23.5307, 24.5104__23.5253, 25.4535__23.6218, 26.4982__23.6627, 27.6372__23.6336, 28.7099__23.6777, 29.8128__23.6421, 30.9004__23.6389, 32.0000__23.6574, 
0.0000__20.9640, 0.7500__20.9827, 1.5394__21.0522, 2.4394__21.2201, 3.3371__21.3471, 4.2210__21.3975, 5.2189__21.4422, 6.1477__21.4928, 7.1763__21.5621, 8.2241__21.6317, 9.1950__21.6983, 10.2559__21.8091, 11.3142__21.8769, 12.3287__21.8967, 13.2338__21.9484, 14.1497__22.0340, 15.0575__22.1048, 16.0387__22.1643, 16.9904__22.2509, 17.9822__22.3151, 19.0731__22.3426, 20.0722__22.3652, 21.1501__22.3960, 22.2469__22.4359, 23.3556__22.4675, 24.4287__22.5553, 25.4430__22.5708, 26.5554__22.5632, 27.6021__22.5885, 28.7100__22.5804, 29.8213__22.6153, 30.9096__22.6034, 32.0000__22.5723, 
0.0000__19.8830, 0.7432__19.8946, 1.4952__19.9682, 2.3384__20.0529, 3.2217__20.1837, 4.1997__20.3791, 5.1719__20.4696, 6.1845__20.4739, 7.1042__20.3986, 8.0764__20.4278, 9.0855__20.5368, 10.1104__20.6662, 11.2197__20.7482, 12.1631__20.7871, 13.0923__20.8774, 14.0267__20.9971, 15.0126__21.0946, 15.9860__21.1407, 16.9343__21.1751, 17.9774__21.2310, 19.0108__21.2865, 20.0575__21.3206, 21.1198__21.3346, 22.1769__21.3641, 23.2970__21.4512, 24.3972__21.4417, 25.4405__21.4472, 26.4965__21.5057, 27.6048__21.5339, 28.7074__21.5446, 29.7961__21.5375, 30.9062__21.5740, 32.0000__21.6020, 
