0.0000__32.0000, 0.9543__32.0000, 2.0426__32.0000, 3.0382__32.0000, 4.0305__32.0000, 5.0555__32.0000, 6.1064__32.0000, 7.1183__32.0000, 8.1547__32.0000, 9.1509__32.0000, 10.1640__32.0000, 11.1482__32.0000, 12.1422__32.0000, 13.1979__32.0000, 14.1684__32.0000, 15.3743__32.0000, 16.3288__32.0000, 17.2936__32.0000, 18.2238__32.0000, 19.1849__32.0000, 20.1310__32.0000, 21.1566__32.0000, 22.1216__32.0000, 23.1203__32.0000, 24.1059__32.0000, 25.1779__32.0000, 26.1677__32.0000, 27.1762__32.0000, 28.0989__32.0000, 29.2742__32.0000, 30.1591__32.0000, 31.0765__32.0000, 32.0000__32.0000, 
0.0000__31.1749, 0.9808__31.1441, 2.0241__31.1348, 3.0387__31.1556, 4.0306__31.1525, 5.0605__31.1445, 6.0930__31.1525, 7.1354__31.1494, 8.1514__31.1374, 9.1468__31.1453, 10.1605__31.1512, 11.1622__31.1406, 12.1354__31.1251, 13.2069__31.1251, 14.2116__31.0709, 15.3341__31.0815, 16.3378__31.1174, 17.2583__31.1444, 18.2544__31.1462, 19.1637__31.1260, 20.1766__31.1050, 21.1146__31.0991, 22.1363__31.1218, 23.1048__31.1152, 24.1328__31.0961, 25.1892__31.0635, 26.1671__31.0576, 27.1731__31.0674, 28.1709__31.0098, 29.2107__31.0202, 30.1591__31.0834, 31.0644__31.0900, 32.0000__31.1017, 
0.0000__30.3020, 0.9979__30.3115, 2.0153__30.3110, 3.0325__30.3103, 4.0355__30.3117, 5.0652__30.3035, 6.0931__30.2882, 7.1403__30.2885, 8.1543__30.2979, 9.1438__30.2894, 10.1668__30.2755, 11.1692__30.2725, 12.1779__30.2330, 13.1862__30.2132, 14.2788__30.2162, 15.2900__30.2072, 16.3199__30.2463, 17.2602__30.2253, 18.1962__30.2794, 19.2522__30.2598, 20.1651__30.1983, 21.1294__30.2045, 22.1013__30.1928, 23.1597__30.1765, 24.1584__30.1145, 25.1699__30.1543, 26.1995__30.1633, 27.1722__30.1366, 28.2074__30.1645, 29.1695__30.1768, 30.1485__30.1769, 31.0586__30.1807, 32.0000__30.1710, 
0.0000__29.4780, 0.9895__29.4712, 2.0133__29.4777, 3.0337__29.4841, 4.0449__29.4679, 5.0732__29.4516, 6.1070__29.4429, 7.1333__29.4393, 8.1561__29.4416, 9.1573__29.4316, 10.1746__29.4210, 11.1874__29.3921, 12.2148__29.3706, 13.2092__29.3164, 14.2580__29.3116, 15.2759__29.3626, 16.3028__29.3626, 17.2769__29.3755, 18.1969__29.2712, 19.2555__29.2837, 20.1648__29.3464, 21.1391__29.3355, 22.1434__29.2830, 23.1878__29.2247, 24.1679__29.2573, 25.1495__29.2300, 26.1708__29.2733, 27.1953__29.3099, 28.1733__29.2960, 29.1857__29.3071, 30.1411__29.3062, 31.0725__29.2965, 32.0000__29.2891, 
0.0000__28.6376, 0.9870__28.6393, 2.0029__28.6373, 3.0348__28.6408, 4.0651__28.6345, 5.0830__28.6176, 6.1159__28.6063, 7.1419__28.5948, 8.1574__28.5871, 9.1725__28.5731, 10.1920__28.5439, 11.2244__28.5207, 12.2408__28.4927, 13.2460__28.4766, 14.2648__28.4392, 15.2440__28.3978, 16.3013__28.4223, 17.2973__28.4085, 18.2656__28.4217, 19.1968__28.4282, 20.1675__28.4582, 21.1092__28.4733, 22.2612__28.4064, 23.1923__28.3572, 24.1608__28.3435, 25.1552__28.3700, 26.1346__28.3443, 27.1750__28.3567, 28.1593__28.4041, 29.1724__28.4216, 30.1602__28.4238, 31.0862__28.4045, 32.0000__28.3976, 
0.0000__27.8212, 0.9733__27.8188, 2.0058__27.8144, 3.0344__27.8015, 4.0780__27.7966, 5.0972__27.7886, 6.1260__27.7760, 7.1547__27.7685, 8.1719__27.7496, 9.1941__27.7197, 10.2234__27.6898, 11.2491__27.6594, 12.2635__27.6492, 13.2892__27.5963, 14.2986__27.5642, 15.2835__27.5408, 16.3024__27.4919, 17.3115__27.5238, 18.2422__27.5302, 19.2080__27.5362, 20.0838__27.5402, 21.1433__27.5037, 22.3377__27.4689, 23.2077__27.4748, 24.1569__27.4769, 25.1257__27.4862, 26.1711__27.4981, 27.1471__27.4833, 28.1421__27.4741, 29.1406__27.4887, 30.1936__27.5003, 31.0938__27.4982, 32.0000__27.5022, 
0.0000__27.0275, 0.9723__27.0064, 1.9949__26.9880, 3.0540__26.9832, 4.0866__26.9657, 5.1051__26.9596, 6.1389__26.9464, 7.1657__26.9293, 8.1947__26.9111, 9.2286__26.8780, 10.2520__26.8423, 11.2779__26.8157, 12.2912__26.7615, 13.3343__26.7470, 14.3187__26.7186, 15.3302__26.6691, 16.3269__26.6539, 17.2998__26.6348, 18.2485__26.6378, 19.1873__26.6489, 20.0902__26.5815, 21.2671__26.4208, 22.2775__26.4841, 23.2051__26.5936, 24.1296__26.6011, 25.1293__26.5946, 26.1393__26.6087, 27.1635__26.6293, 28.1806__26.5711, 29.1371__26.5022, 30.1524__26.5570, 31.1214__26.5993, 32.0000__26.5736, 
0.0000__26.2397, 0.9714__26.2273, 2.0095__26.1807, 3.0615__26.1515, 4.1041__26.1594, 5.1106__26.1399, 6.1535__26.1232, 7.1838__26.1037, 8.2222__26.0688, 9.2655__26.0409, 10.2808__26.0133, 11.3252__25.9718, 12.3424__25.9365, 13.3441__25.9062, 14.3789__25.8708, 15.3606__25.8329, 16.3593__25.7947, 17.3150__25.7839, 18.2725__25.7394, 19.1222__25.7265, 20.3010__25.5920, 21.2799__25.5731, 22.2172__25.6459, 23.1509__25.6651, 24.1178__25.7017, 25.1144__25.7117, 26.0805__25.7214, 27.2775__25.6142, 28.1819__25.5789, 29.1729__25.6050, 30.1218__25.5474, 31.1074__25.5793, 32.0000__25.6448, 
0.0000__25.4512, 0.9860__25.4101, 2.0369__25.3666, 3.0768__25.3505, 4.1140__25.3386, 5.1282__25.3198, 6.1677__25.2841, 7.2103__25.2511, 8.2518__25.2232, 9.2892__25.2084, 10.3216__25.1684, 11.3651__25.1411, 12.3751__25.1148, 13.3895__25.0591, 14.4054__25.0254, 15.4200__24.9876, 16.3853__24.9496, 17.3468__24.8975, 18.2964__24.8753, 19.2243__24.6783, 20.3441__24.6711, 21.2507__24.7428, 22.1912__24.7600, 23.1150__24.8147, 24.0791__24.8402, 25.0534__24.8684, 26.2618__24.6363, 27.2994__24.5687, 28.1965__24.5993, 29.1841__24.5381, 30.1293__24.5880, 31.0766__24.5987, 32.0000__24.5840, 
0.0000__24.5477, 0.9943__24.5437, 2.0598__24.5373, 3.0888__24.5357, 4.1333__24.5312, 5.1507__24.4916, 6.2008__24.4485, 7.2329__24.4194, 8.2810__24.3941, 9.3136__24.3576, 10.3586__24.3289, 11.3914__24.3036, 12.4217__24.2628, 13.4254__24.2200, 14.4580__24.1666, 15.4533__24.1303, 16.4351__24.0797, 17.4017__24.0105, 18.3532__23.9188, 19.3812__23.8680, 20.2990__23.8516, 21.2522__23.8640, 22.1492__23.8699, 23.0552__23.8915, 23.9618__23.9507, 25.1638__23.7832, 26.4819__23.7061, 27.2914__23.6845, 28.2570__23.6372, 29.1870__23.6588, 30.1080__23.6364, 31.0646__23.6595, 32.0000__23.6990, 
0.0000__23.7770, 1.0007__23.7359, 2.0477__23.7233, 3.1263__23.7265, 4.1402__23.7126, 5.1911__23.6945, 6.2297__23.6599, 7.2808__23.6109, 8.3054__23.5558, 9.3483__23.5210, 10.3803__23.4776, 11.4330__23.4412, 12.4644__23.4128, 13.4551__23.3602, 14.5057__23.3286, 15.5199__23.2523, 16.4972__23.1649, 17.4648__23.1047, 18.4499__23.0454, 19.3973__23.0017, 20.3308__22.9879, 21.2374__22.9441, 22.1317__22.9498, 22.9784__22.9367, 23.9244__22.7344, 25.3982__22.5830, 26.4624__22.6591, 27.3639__22.7292, 28.2450__22.7081, 29.1738__22.7162, 30.1216__22.7416, 31.0438__22.7197, 32.0000__22.6971, 
