0.0000__64.0000, 0.9801__64.0000, 1.9630__64.0000, 2.9638__64.0000, 3.9550__64.0000, 4.9462__64.0000, 5.9413__64.0000, 6.9383__64.0000, 7.9356__64.0000, 8.9300__64.0000, 9.9273__64.0000, 10.9265__64.0000, 11.9276__64.0000, 12.9292__64.0000, 13.9313__64.0000, 14.9341__64.0000, 15.9358__64.0000, 16.9371__64.0000, 17.9381__64.0000, 18.9390__64.0000, 19.9405__64.0000, 20.9409__64.0000, 21.9411__64.0000, 22.9410__64.0000, 23.9409__64.0000, 24.9461__64.0000, 25.9480__64.0000, 26.9494__64.0000, 27.9469__64.0000, 28.9601__64.0000, 29.9707__64.0000, 30.9704__64.0000, 31.9719__64.0000, 32.9722__64.0000, 33.9727__64.0000, 34.9728__64.0000, 35.9730__64.0000, 36.9730__64.0000, 37.9732__64.0000, 38.9735__64.0000, 39.9748__64.0000, 40.9752__64.0000, 41.9790__64.0000, 42.9783__64.0000, 43.9824__64.0000, 44.9818__64.0000, 45.9821__64.0000, 46.9822__64.0000, 47.9855__64.0000, 48.9950__64.0000, 49.9954__64.0000, 50.9926__64.0000, 51.9973__64.0000, 52.9975__64.0000, 53.9985__64.0000, 55.0003__64.0000, 55.9957__64.0000, 57.0026__64.0000, 58.0157__64.0000, 59.0135__64.0000, 60.0090__64.0000, 61.0053__64.0000, 62.0027__64.0000, 63.0013__64.0000, 64.0000__64.0000, 
0.0000__63.0134, 0.9803__63.0135, 1.9650__63.0114, 2.9637__63.0093, 3.9545__63.0102, 4.9459__63.0109, 5.9420__63.0104, 6.9392__63.0088, 7.9361__63.0075, 8.9300__63.0071, 9.9276__63.0067, 10.9264__63.0065, 11.9274__63.0068, 12.9288__63.0074, 13.9310__63.0081, 14.9350__63.0074, 15.9360__63.0067, 16.9372__63.0066, 17.9383__63.0064, 18.9392__63.0060, 19.9405__63.0059, 20.9411__63.0057, 21.9412__63.0055, 22.9411__63.0053, 23.9411__63.0048, 24.9447__63.0057, 25.9484__63.0069, 26.9515__63.0049, 27.9498__63.0003, 28.9590__62.9981, 29.9682__63.0017, 30.9706__63.0039, 31.9720__63.0034, 32.9719__63.0037, 33.9719__63.0048, 34.9731__63.0054, 35.9732__63.0050, 36.9732__63.0046, 37.9731__63.0044, 38.9730__63.0048, 39.9755__63.0047, 40.9764__63.0029, 41.9783__63.0024, 42.9784__63.0030, 43.9815__63.0036, 44.9818__63.0047, 45.9828__63.0042, 46.9830__63.0028, 47.9863__63.0013, 48.9945__63.0008, 49.9952__63.0015, 50.9937__63.0007, 51.9969__62.9998, 52.9967__63.0011, 53.9998__63.0008, 55.0009__62.9994, 55.9994__62.9955, 57.0042__62.9904, 58.0121__62.9925, 59.0110__62.9983, 60.0079__63.0013, 61.0048__63.0026, 62.0028__63.0028, 63.0012__63.0030, 64.0000__63.0032, 
0.0000__62.0241, 0.9810__62.0236, 1.9693__62.0207, 2.9633__62.0184, 3.9534__62.0195, 4.9462__62.0195, 5.9433__62.0183, 6.9407__62.0171, 7.9365__62.0168, 8.9313__62.0153, 9.9280__62.0140, 10.9266__62.0133, 11.9266__62.0136, 12.9287__62.0139, 13.9316__62.0126, 14.9351__62.0126, 15.9361__62.0133, 16.9373__62.0132, 17.9385__62.0129, 18.9396__62.0126, 19.9407__62.0122, 20.9414__62.0118, 21.9416__62.0112, 22.9415__62.0105, 23.9412__62.0104, 24.9447__62.0093, 25.9492__62.0076, 26.9533__62.0073, 27.9539__62.0059, 28.9577__62.0045, 29.9650__62.0059, 30.9710__62.0066, 31.9715__62.0067, 32.9707__62.0079, 33.9712__62.0087, 34.9725__62.0095, 35.9736__62.0103, 36.9739__62.0096, 37.9735__62.0086, 38.9734__62.0074, 39.9759__62.0068, 40.9776__62.0071, 41.9774__62.0075, 42.9786__62.0078, 43.9802__62.0078, 44.9803__62.0093, 45.9842__62.0100, 46.9841__62.0085, 47.9875__62.0078, 48.9963__62.0057, 49.9950__62.0040, 50.9953__62.0034, 51.9969__62.0023, 52.9961__62.0018, 53.9996__62.0028, 55.0034__62.0022, 56.0040__61.9992, 57.0056__61.9981, 58.0074__61.9995, 59.0074__62.0021, 60.0060__62.0041, 61.0042__62.0051, 62.0024__62.0057, 63.0001__62.0070, 64.0000__62.0080, 
0.0000__61.0303, 0.9818__61.0300, 1.9718__61.0295, 2.9631__61.0292, 3.9533__61.0288, 4.9474__61.0277, 5.9445__61.0263, 6.9416__61.0253, 7.9371__61.0242, 8.9332__61.0229, 9.9288__61.0216, 10.9273__61.0207, 11.9260__61.0205, 12.9294__61.0200, 13.9323__61.0198, 14.9342__61.0201, 15.9361__61.0202, 16.9376__61.0199, 17.9388__61.0195, 18.9399__61.0193, 19.9415__61.0186, 20.9420__61.0177, 21.9425__61.0168, 22.9424__61.0157, 23.9419__61.0141, 24.9458__61.0136, 25.9487__61.0148, 26.9543__61.0150, 27.9563__61.0125, 28.9575__61.0110, 29.9643__61.0110, 30.9713__61.0110, 31.9708__61.0113, 32.9702__61.0112, 33.9704__61.0116, 34.9716__61.0124, 35.9728__61.0138, 36.9749__61.0144, 37.9750__61.0123, 38.9746__61.0109, 39.9759__61.0102, 40.9767__61.0107, 41.9757__61.0128, 42.9799__61.0129, 43.9807__61.0111, 44.9806__61.0089, 45.9850__61.0072, 46.9867__61.0051, 47.9884__61.0021, 48.9953__61.0045, 49.9946__61.0081, 50.9971__61.0073, 51.9975__61.0060, 52.9964__61.0058, 54.0002__61.0038, 55.0041__61.0032, 56.0046__61.0048, 57.0053__61.0051, 58.0059__61.0057, 59.0058__61.0067, 60.0049__61.0076, 61.0036__61.0083, 62.0017__61.0088, 62.9992__61.0090, 64.0000__61.0090, 
0.0000__60.0404, 0.9823__60.0398, 1.9714__60.0395, 2.9633__60.0400, 3.9544__60.0392, 4.9490__60.0376, 5.9462__60.0355, 6.9428__60.0336, 7.9388__60.0317, 8.9342__60.0301, 9.9299__60.0289, 10.9276__60.0282, 11.9264__60.0277, 12.9296__60.0276, 13.9320__60.0278, 14.9342__60.0277, 15.9363__60.0273, 16.9381__60.0268, 17.9395__60.0261, 18.9405__60.0250, 19.9423__60.0242, 20.9429__60.0235, 21.9435__60.0225, 22.9439__60.0211, 23.9438__60.0190, 24.9457__60.0174, 25.9473__60.0173, 26.9552__60.0181, 27.9586__60.0177, 28.9597__60.0147, 29.9637__60.0131, 30.9704__60.0149, 31.9706__60.0159, 32.9707__60.0156, 33.9700__60.0150, 34.9703__60.0154, 35.9685__60.0196, 36.9780__60.0208, 37.9779__60.0164, 38.9757__60.0141, 39.9760__60.0136, 40.9753__60.0145, 41.9756__60.0141, 42.9808__60.0130, 43.9811__60.0137, 44.9836__60.0131, 45.9862__60.0106, 46.9891__60.0091, 47.9893__60.0083, 48.9914__60.0084, 49.9938__60.0096, 50.9976__60.0103, 51.9982__60.0104, 52.9976__60.0089, 54.0014__60.0084, 55.0019__60.0101, 56.0039__60.0113, 57.0054__60.0112, 58.0053__60.0111, 59.0052__60.0115, 60.0044__60.0118, 61.0032__60.0121, 62.0016__60.0121, 62.9997__60.0115, 64.0000__60.0110, 
0.0000__59.0522, 0.9839__59.0508, 1.9704__59.0499, 2.9636__59.0504, 3.9556__59.0495, 4.9507__59.0481, 5.9484__59.0462, 6.9447__59.0440, 7.9408__59.0421, 8.9359__59.0398, 9.9314__59.0375, 10.9276__59.0366, 11.9268__59.0365, 12.9294__59.0362, 13.9321__59.0359, 14.9347__59.0354, 15.9369__59.0347, 16.9388__59.0339, 17.9404__59.0329, 18.9418__59.0317, 19.9429__59.0308, 20.9441__59.0297, 21.9446__59.0284, 22.9459__59.0269, 23.9463__59.0244, 24.9473__59.0217, 25.9485__59.0189, 26.9546__59.0173, 27.9586__59.0184, 28.9614__59.0199, 29.9634__59.0198, 30.9690__59.0197, 31.9704__59.0206, 32.9714__59.0204, 33.9709__59.0194, 34.9693__59.0189, 35.9679__59.0160, 36.9791__59.0143, 37.9791__59.0170, 38.9764__59.0176, 39.9756__59.0178, 40.9748__59.0181, 41.9763__59.0188, 42.9812__59.0185, 43.9808__59.0171, 44.9846__59.0170, 45.9894__59.0152, 46.9891__59.0135, 47.9906__59.0131, 48.9914__59.0119, 49.9924__59.0127, 50.9974__59.0136, 51.9980__59.0140, 52.9985__59.0150, 54.0005__59.0152, 55.0013__59.0150, 56.0033__59.0151, 57.0054__59.0158, 58.0052__59.0159, 59.0049__59.0160, 60.0042__59.0161, 61.0032__59.0160, 62.0019__59.0158, 63.0005__59.0151, 64.0000__59.0146, 
0.0000__58.0620, 0.9851__58.0621, 1.9703__58.0615, 2.9630__58.0616, 3.9574__58.0614, 4.9526__58.0588, 5.9506__58.0566, 6.9467__58.0545, 7.9423__58.0533, 8.9392__58.0503, 9.9328__58.0479, 10.9280__58.0468, 11.9272__58.0459, 12.9299__58.0451, 13.9327__58.0443, 14.9355__58.0434, 15.9379__58.0423, 16.9399__58.0411, 17.9416__58.0398, 18.9430__58.0384, 19.9439__58.0372, 20.9458__58.0358, 21.9459__58.0339, 22.9482__58.0321, 23.9487__58.0299, 24.9495__58.0282, 25.9517__58.0257, 26.9541__58.0242, 27.9573__58.0248, 28.9606__58.0250, 29.9644__58.0251, 30.9684__58.0249, 31.9700__58.0254, 32.9722__58.0249, 33.9719__58.0238, 34.9721__58.0208, 35.9728__58.0164, 36.9759__58.0161, 37.9769__58.0189, 38.9757__58.0207, 39.9749__58.0218, 40.9744__58.0227, 41.9751__58.0235, 42.9836__58.0228, 43.9833__58.0189, 44.9857__58.0151, 45.9899__58.0154, 46.9897__58.0160, 47.9910__58.0154, 48.9916__58.0162, 49.9921__58.0153, 50.9959__58.0163, 51.9957__58.0197, 52.9978__58.0216, 54.0012__58.0215, 55.0012__58.0212, 56.0028__58.0217, 57.0055__58.0214, 58.0054__58.0209, 59.0049__58.0208, 60.0044__58.0205, 61.0035__58.0201, 62.0023__58.0197, 63.0011__58.0193, 64.0000__58.0191, 
0.0000__57.0765, 0.9852__57.0761, 1.9720__57.0745, 2.9631__57.0723, 3.9588__57.0709, 4.9552__57.0690, 5.9524__57.0669, 6.9483__57.0656, 7.9442__57.0636, 8.9425__57.0613, 9.9340__57.0594, 10.9295__57.0574, 11.9282__57.0556, 12.9309__57.0543, 13.9338__57.0529, 14.9367__57.0514, 15.9393__57.0499, 16.9413__57.0483, 17.9430__57.0468, 18.9446__57.0451, 19.9456__57.0429, 20.9476__57.0408, 21.9477__57.0389, 22.9501__57.0369, 23.9505__57.0354, 24.9515__57.0332, 25.9540__57.0313, 26.9550__57.0294, 27.9584__57.0267, 28.9596__57.0262, 29.9625__57.0291, 30.9685__57.0313, 31.9702__57.0306, 32.9751__57.0284, 33.9739__57.0246, 34.9754__57.0228, 35.9745__57.0219, 36.9742__57.0220, 37.9749__57.0231, 38.9742__57.0247, 39.9736__57.0263, 40.9735__57.0277, 41.9744__57.0288, 42.9866__57.0274, 43.9875__57.0237, 44.9877__57.0212, 45.9889__57.0200, 46.9908__57.0193, 47.9905__57.0191, 48.9912__57.0193, 49.9926__57.0200, 50.9932__57.0210, 51.9948__57.0210, 52.9956__57.0219, 54.0003__57.0252, 55.0020__57.0257, 56.0023__57.0251, 57.0061__57.0256, 58.0054__57.0256, 59.0051__57.0257, 60.0051__57.0251, 61.0040__57.0242, 62.0028__57.0236, 63.0014__57.0232, 64.0000__57.0231, 
0.0000__56.0908, 0.9865__56.0900, 1.9743__56.0880, 2.9654__56.0853, 3.9612__56.0820, 4.9572__56.0792, 5.9536__56.0779, 6.9497__56.0767, 7.9461__56.0752, 8.9443__56.0740, 9.9364__56.0718, 10.9319__56.0688, 11.9302__56.0659, 12.9325__56.0636, 13.9356__56.0615, 14.9385__56.0595, 15.9410__56.0576, 16.9431__56.0556, 17.9448__56.0536, 18.9463__56.0518, 19.9484__56.0498, 20.9494__56.0472, 21.9502__56.0449, 22.9515__56.0429, 23.9522__56.0415, 24.9537__56.0399, 25.9558__56.0376, 26.9581__56.0347, 27.9604__56.0320, 28.9600__56.0298, 29.9605__56.0277, 30.9692__56.0268, 31.9711__56.0259, 32.9761__56.0267, 33.9765__56.0274, 34.9756__56.0262, 35.9747__56.0266, 36.9738__56.0266, 37.9737__56.0272, 38.9726__56.0285, 39.9712__56.0306, 40.9717__56.0335, 41.9735__56.0355, 42.9912__56.0332, 43.9908__56.0285, 44.9899__56.0254, 45.9901__56.0235, 46.9906__56.0235, 47.9904__56.0239, 48.9905__56.0245, 49.9919__56.0251, 50.9934__56.0245, 51.9950__56.0244, 52.9949__56.0239, 53.9976__56.0236, 55.0016__56.0263, 56.0012__56.0283, 57.0055__56.0294, 58.0053__56.0302, 59.0051__56.0300, 60.0062__56.0292, 61.0048__56.0282, 62.0034__56.0274, 63.0017__56.0269, 64.0000__56.0267, 
0.0000__55.1003, 0.9872__55.1005, 1.9761__55.1000, 2.9683__55.0977, 3.9645__55.0946, 4.9593__55.0916, 5.9551__55.0892, 6.9515__55.0871, 7.9475__55.0850, 8.9454__55.0840, 9.9391__55.0825, 10.9352__55.0792, 11.9329__55.0758, 12.9349__55.0727, 13.9378__55.0701, 14.9406__55.0678, 15.9432__55.0654, 16.9453__55.0630, 17.9471__55.0605, 18.9485__55.0578, 19.9508__55.0554, 20.9516__55.0535, 21.9524__55.0512, 22.9532__55.0492, 23.9540__55.0471, 24.9551__55.0455, 25.9578__55.0446, 26.9616__55.0421, 27.9635__55.0381, 28.9634__55.0343, 29.9639__55.0298, 30.9692__55.0272, 31.9711__55.0283, 32.9748__55.0281, 33.9767__55.0282, 34.9747__55.0299, 35.9744__55.0307, 36.9740__55.0308, 37.9729__55.0309, 38.9713__55.0318, 39.9692__55.0326, 40.9682__55.0353, 41.9744__55.0362, 42.9950__55.0335, 43.9942__55.0314, 44.9921__55.0289, 45.9908__55.0281, 46.9902__55.0279, 47.9899__55.0285, 48.9900__55.0290, 49.9914__55.0294, 50.9942__55.0297, 51.9943__55.0297, 52.9964__55.0296, 53.9971__55.0290, 54.9979__55.0307, 56.0007__55.0323, 57.0040__55.0327, 58.0040__55.0353, 59.0074__55.0344, 60.0071__55.0320, 61.0058__55.0315, 62.0040__55.0307, 63.0021__55.0303, 64.0000__55.0300, 
0.0000__54.1123, 0.9864__54.1128, 1.9772__54.1127, 2.9710__54.1106, 3.9675__54.1078, 4.9625__54.1045, 5.9578__54.1010, 6.9540__54.0980, 7.9493__54.0955, 8.9461__54.0941, 9.9417__54.0926, 10.9387__54.0897, 11.9366__54.0857, 12.9378__54.0819, 13.9404__54.0789, 14.9433__54.0760, 15.9458__54.0731, 16.9479__54.0703, 17.9497__54.0676, 18.9513__54.0648, 19.9528__54.0622, 20.9539__54.0598, 21.9547__54.0574, 22.9552__54.0552, 23.9565__54.0529, 24.9560__54.0508, 25.9611__54.0474, 26.9648__54.0430, 27.9664__54.0415, 28.9667__54.0395, 29.9680__54.0365, 30.9694__54.0347, 31.9715__54.0331, 32.9754__54.0321, 33.9753__54.0328, 34.9743__54.0328, 35.9740__54.0325, 36.9737__54.0331, 37.9722__54.0341, 38.9704__54.0350, 39.9687__54.0356, 40.9651__54.0363, 41.9770__54.0358, 42.9957__54.0345, 43.9975__54.0330, 44.9932__54.0312, 45.9908__54.0311, 46.9899__54.0318, 47.9890__54.0326, 48.9897__54.0335, 49.9907__54.0342, 50.9941__54.0347, 51.9944__54.0345, 52.9964__54.0344, 53.9973__54.0348, 54.9972__54.0334, 56.0007__54.0323, 57.0031__54.0328, 58.0024__54.0327, 59.0091__54.0334, 60.0072__54.0343, 61.0067__54.0338, 62.0042__54.0335, 63.0025__54.0332, 64.0000__54.0330, 
