0.0000__64.0000, 0.7597__64.0000, 1.1645__64.0000, 1.7839__64.0000, 2.4832__64.0000, 3.0151__64.0000, 3.5922__64.0000, 4.2082__64.0000, 4.6679__64.0000, 5.5846__64.0000, 6.5665__64.0000, 7.2454__64.0000, 8.1778__64.0000, 9.2995__64.0000, 10.3917__64.0000, 11.5972__64.0000, 12.7922__64.0000, 13.9269__64.0000, 15.4954__64.0000, 17.1868__64.0000, 18.8083__64.0000, 20.4996__64.0000, 22.3168__64.0000, 24.2499__64.0000, 26.6329__64.0000, 28.4347__64.0000, 30.1167__64.0000, 31.1253__64.0000, 32.1241__64.0000, 33.7339__64.0000, 35.6942__64.0000, 37.0695__64.0000, 38.2978__64.0000, 39.4438__64.0000, 40.5742__64.0000, 41.4362__64.0000, 42.4068__64.0000, 43.3540__64.0000, 44.4127__64.0000, 45.2139__64.0000, 46.0442__64.0000, 46.7379__64.0000, 47.8907__64.0000, 48.3747__64.0000, 49.8162__64.0000, 50.3164__64.0000, 51.1316__64.0000, 51.6391__64.0000, 52.6700__64.0000, 54.3551__64.0000, 55.3245__64.0000, 55.6285__64.0000, 56.7929__64.0000, 57.4125__64.0000, 57.8700__64.0000, 58.1637__64.0000, 58.2705__64.0000, 59.4049__64.0000, 60.9054__64.0000, 61.4496__64.0000, 61.9564__64.0000, 62.4274__64.0000, 62.6295__64.0000, 63.2101__64.0000, 64.0000__64.0000, 
0.0000__62.9896, 0.8023__62.9361, 1.1589__62.9005, 1.7053__62.9095, 2.4197__62.9888, 3.0059__63.0637, 3.6331__63.1111, 4.2554__63.1705, 4.7655__63.2066, 5.7280__63.1716, 6.5961__63.2246, 7.3963__63.2715, 8.3231__63.2228, 9.3463__63.2130, 10.4057__63.2133, 11.5601__63.2194, 12.7461__63.3090, 13.9776__63.3677, 15.5277__63.3829, 17.1552__63.4937, 18.9017__63.4162, 20.3635__63.4330, 22.3237__63.5522, 24.2075__63.6298, 26.6276__63.7771, 28.2885__63.8549, 29.8946__63.9060, 31.0968__63.9248, 32.1624__63.8229, 33.6521__63.7991, 35.3952__63.8990, 37.1087__63.8757, 38.3594__63.8123, 39.5424__63.8118, 40.5553__63.7821, 41.5167__63.7873, 42.4241__63.7529, 43.3857__63.7544, 44.4037__63.7113, 45.1339__63.7299, 46.0417__63.7780, 46.8748__63.6482, 47.7045__63.7286, 48.5789__63.6737, 49.5944__63.6445, 50.4077__63.6832, 51.1033__63.6377, 51.8842__63.6069, 52.8247__63.5227, 54.3786__63.5489, 55.2592__63.7261, 55.8101__63.6831, 56.9409__63.5551, 57.4381__63.5124, 58.0602__63.5781, 58.3525__63.4614, 58.5981__63.3981, 59.9231__63.1480, 61.0335__63.5141, 61.5946__63.6800, 62.0220__63.6482, 62.3223__63.6912, 62.6992__63.6972, 63.2477__63.5317, 64.0000__63.4769, 
0.0000__61.8660, 0.8107__61.9259, 1.2277__61.8055, 1.4439__61.7737, 2.2199__61.9559, 2.9601__61.9919, 3.6039__62.0764, 4.3700__62.1134, 4.8554__62.0822, 5.6822__62.2270, 6.6613__62.3340, 7.6180__62.3322, 8.5452__62.3451, 9.4033__62.3675, 10.3946__62.3863, 11.4016__62.4512, 12.6359__62.5610, 14.0148__62.6432, 15.5520__62.7708, 17.1746__62.8482, 18.9814__62.9236, 20.2250__62.9510, 22.2362__63.0604, 24.1125__63.2734, 26.5336__63.5877, 28.0982__63.6798, 29.5797__63.6688, 31.0891__63.7729, 32.2711__63.6709, 33.4974__63.6768, 35.1374__63.6653, 37.2438__63.7202, 38.5772__63.7030, 39.7685__63.6366, 40.7043__63.5795, 41.6454__63.5156, 42.5293__63.5785, 43.5149__63.4824, 44.3654__63.4558, 45.1379__63.4386, 46.0988__63.4023, 46.9661__63.4238, 47.6584__63.3974, 48.7007__63.4075, 49.3803__63.2574, 50.1382__63.3587, 51.0709__63.3401, 51.8175__63.2124, 52.8221__63.3319, 54.4736__63.2450, 55.1606__63.3396, 56.1588__63.3034, 57.2184__63.2997, 57.7283__63.1655, 58.3486__63.2731, 59.1716__63.1568, 59.9284__63.0568, 60.7098__63.3201, 61.3410__63.4929, 61.8067__63.5327, 62.0978__63.5481, 62.3427__63.4659, 62.7383__63.3154, 63.3291__63.2397, 64.0000__63.1887, 
0.0000__61.1037, 0.7735__61.0831, 1.2117__61.1716, 1.4232__61.2016, 2.0927__61.0108, 2.8006__61.0724, 3.5784__61.1326, 4.3451__61.2286, 4.9195__61.3523, 5.6934__61.2972, 6.7475__61.2693, 7.6666__61.3314, 8.5586__61.4485, 9.4404__61.4955, 10.2667__61.5992, 11.2621__61.7317, 12.5040__61.8076, 13.9628__61.8883, 15.4485__62.0108, 17.2150__62.1471, 18.8448__62.4131, 20.2405__62.5062, 21.9702__62.4689, 23.9393__62.8165, 26.1466__63.3075, 27.9876__63.4931, 29.3703__63.5234, 31.0722__63.6149, 32.2327__63.5870, 33.1540__63.5293, 35.0955__63.5045, 37.2923__63.6294, 38.8062__63.5818, 39.9965__63.5408, 40.8926__63.3582, 41.7425__63.3647, 42.6368__63.3142, 43.6282__63.3118, 44.4801__63.2346, 45.2761__63.1473, 46.2136__63.1899, 46.9059__63.0680, 47.5136__63.1407, 48.4194__63.0335, 49.2118__62.8995, 49.6966__62.8602, 50.8166__62.6331, 51.7199__62.7648, 52.7739__62.5178, 54.3728__62.8453, 55.0240__63.1248, 56.3341__62.9426, 57.2679__63.0237, 57.8906__63.1308, 58.8051__62.9232, 59.8297__62.9607, 60.6193__63.2313, 61.1449__63.3759, 61.5868__63.4001, 61.8720__63.4295, 62.1380__63.3223, 62.4037__63.2298, 62.8341__63.0584, 63.3124__62.8709, 64.0000__62.8904, 
0.0000__60.2436, 0.7837__60.2811, 1.2010__60.2484, 1.6759__60.1505, 2.0988__60.0873, 2.5898__60.0727, 3.5483__60.1404, 4.2981__60.0508, 4.9690__60.0562, 5.8028__60.1727, 6.7179__60.2691, 7.6043__60.3445, 8.3965__60.4394, 9.3432__60.6041, 10.1741__60.7514, 11.1626__60.9054, 12.4203__61.0412, 13.8174__61.1613, 15.2885__61.2415, 16.9623__61.4585, 18.6581__61.8376, 20.2243__62.0778, 21.7666__62.0876, 23.6857__62.2711, 25.7522__62.7767, 27.8196__63.2503, 29.0512__63.2311, 30.9251__63.4217, 32.0466__63.4386, 32.9924__63.2517, 34.5358__63.1021, 36.7768__63.4476, 38.3874__63.4510, 39.8340__63.5192, 40.9053__63.1877, 41.6647__63.1248, 42.4254__63.1164, 43.4478__63.0699, 44.6496__62.9802, 45.3272__62.9018, 46.2141__62.8513, 46.6785__62.8310, 47.2147__62.7184, 48.2416__62.5012, 48.9974__62.5132, 49.9922__62.3836, 51.0506__62.3891, 52.2575__62.4045, 53.2814__62.4424, 54.1248__62.5205, 54.9728__62.5968, 56.1815__62.5573, 57.0313__62.7001, 57.8478__62.7079, 59.3470__62.7962, 60.1632__63.0114, 60.7619__63.1664, 61.2600__63.2492, 61.5991__63.2822, 61.9192__63.2562, 62.1861__63.1559, 62.4444__62.9986, 62.9233__62.8158, 63.3601__62.7173, 64.0000__62.5447, 
0.0000__59.3060, 0.8647__59.2436, 1.2660__59.2729, 1.6766__59.3864, 2.2318__59.4448, 2.8263__59.2345, 3.4773__58.9626, 3.9580__58.9984, 4.6622__59.1351, 5.5174__59.2139, 6.6279__59.2011, 7.3523__59.2772, 8.0819__59.4817, 9.0499__59.6568, 10.0485__59.8659, 11.0408__60.0477, 12.2789__60.2469, 13.6080__60.4673, 15.0984__60.6261, 16.5870__60.7942, 18.4565__61.1287, 20.0870__61.5852, 21.6229__61.7074, 23.4490__61.7697, 25.4309__62.3068, 27.4559__62.9534, 28.9743__62.9835, 30.6615__63.1502, 31.8768__63.2634, 32.8505__63.1865, 34.1072__62.9846, 35.7966__62.8142, 37.5038__63.0149, 38.9504__62.9824, 40.5444__63.0418, 41.2773__62.8835, 41.9614__62.5890, 43.2934__62.5708, 44.7299__62.7510, 45.3881__62.6863, 46.0469__62.5350, 46.4275__62.3626, 47.1196__62.2308, 48.2106__62.2074, 49.1319__61.9675, 50.1225__62.1037, 51.6992__62.1359, 52.4135__62.2067, 53.4330__62.1974, 54.1062__62.1040, 54.8250__62.2058, 56.2337__62.2718, 56.8748__62.2707, 58.0049__62.4849, 59.3563__62.6390, 60.1284__62.8663, 60.6997__62.9300, 61.2900__63.0716, 61.5605__63.0875, 61.9445__63.0602, 62.1948__63.0124, 62.5422__62.8099, 62.9523__62.6981, 63.4588__62.5184, 64.0000__62.4646, 
0.0000__58.1997, 0.9248__58.1963, 1.1477__58.2643, 1.5889__58.2823, 2.4769__58.2193, 3.2541__58.1304, 3.4988__58.1315, 3.6945__58.1210, 4.1197__58.1456, 5.2871__58.2775, 6.4008__58.2967, 7.0516__58.5085, 7.7921__58.6163, 8.7347__58.7236, 9.7518__58.9374, 10.8765__59.1976, 12.0794__59.4317, 13.4568__59.6583, 14.9174__59.9050, 16.3517__60.1375, 18.1159__60.3953, 19.8937__60.9385, 21.4597__61.3026, 23.2375__61.3836, 24.9953__61.7463, 27.0490__62.3370, 28.8997__62.6766, 30.3271__62.9652, 31.4833__63.1063, 32.4767__62.8294, 33.6602__62.5450, 35.1104__62.4008, 36.6998__62.4262, 38.3031__62.5119, 39.6553__62.4341, 40.8876__62.3614, 42.0824__62.2380, 43.5072__62.2877, 44.7385__62.5313, 45.4259__62.4466, 45.9108__62.1816, 46.3963__61.9024, 46.9200__61.7551, 48.4096__61.7277, 49.1922__61.6258, 50.4239__61.5368, 51.6868__61.7422, 52.5517__61.9005, 53.3020__61.7210, 54.0978__61.8885, 54.8885__61.7941, 56.2162__61.9509, 56.7864__62.0715, 57.9184__62.1708, 59.2288__62.3736, 59.9519__62.6216, 60.5853__62.7442, 61.1979__62.8713, 61.5831__62.9227, 61.9206__62.9172, 62.2353__62.8408, 62.6147__62.6702, 62.9863__62.5984, 63.4845__62.4358, 64.0000__62.3843, 
0.0000__57.2672, 0.9284__57.3359, 1.2141__57.2926, 1.6470__57.1138, 2.3512__56.9406, 2.8969__57.0758, 3.2468__57.2730, 3.5950__57.3957, 3.8930__57.5074, 5.3038__57.4841, 6.2433__57.3817, 6.7358__57.5082, 7.6144__57.6854, 8.4739__57.8569, 9.4934__58.0551, 10.6153__58.2772, 11.9006__58.5311, 13.2729__58.7834, 14.7124__59.0847, 16.1736__59.3943, 17.7635__59.6634, 19.5911__60.1426, 21.2817__60.6968, 22.9388__60.9829, 24.7077__61.1813, 26.6558__61.6524, 28.7672__62.4142, 29.9161__62.6319, 30.9508__62.4941, 31.9993__62.2801, 33.2722__62.0621, 34.7416__61.8581, 36.1487__61.7881, 37.8167__61.8645, 39.2218__61.8821, 40.8310__61.7793, 42.3849__62.0333, 43.7776__62.2149, 44.6848__62.2017, 45.2639__62.0462, 45.9706__61.8162, 46.3980__61.5820, 47.0346__61.2917, 48.5468__61.3709, 49.4673__61.2879, 50.8765__61.4408, 51.6654__61.5797, 52.7108__61.4842, 53.2649__61.5005, 54.0249__61.3877, 55.0053__61.4101, 55.8893__61.5464, 56.8056__61.5988, 57.6046__61.6800, 58.8828__62.1136, 59.6725__62.2996, 60.4062__62.4218, 61.0570__62.5810, 61.5496__62.7040, 61.8508__62.7282, 62.3125__62.6352, 62.6590__62.5618, 63.0595__62.4459, 63.5085__62.3524, 64.0000__62.2963, 
0.0000__56.3212, 0.9290__56.4282, 1.4617__56.4219, 1.7135__56.3743, 2.0548__56.3824, 2.4291__56.4214, 2.8258__56.4759, 3.4102__56.6837, 4.3133__56.6828, 5.4875__56.4736, 6.3131__56.4844, 6.4969__56.6259, 7.3045__56.7545, 8.1207__56.9167, 9.1528__57.1478, 10.3631__57.3865, 11.6301__57.6069, 12.9777__57.8870, 14.4166__58.1899, 15.9341__58.5392, 17.4485__58.8755, 19.2326__59.2059, 21.0340__59.8473, 22.6398__60.2645, 24.4496__60.5042, 26.2932__60.9603, 28.5038__62.1051, 29.7685__62.3980, 30.3727__62.1192, 31.5781__61.7349, 33.1185__61.4132, 34.4299__61.3669, 36.1652__61.1640, 37.3195__61.1476, 39.4057__61.3812, 41.2556__61.5451, 42.4742__61.8473, 43.9511__61.8489, 44.4387__61.8976, 45.2698__61.6815, 45.8490__61.3900, 46.4351__61.0797, 47.0738__60.9082, 48.7786__61.0611, 49.9455__61.1250, 51.0633__61.2313, 52.0080__61.2705, 52.6807__61.2644, 53.3376__61.1196, 54.0793__61.0903, 54.9904__61.1780, 55.8065__61.0629, 56.6671__61.1627, 57.4848__61.2938, 58.3291__61.3264, 59.4455__61.7592, 60.1247__62.0540, 60.8856__62.2471, 61.4235__62.3622, 61.7864__62.3257, 62.3026__62.3647, 62.6904__62.4124, 63.1114__62.3276, 63.5380__62.2586, 64.0000__62.2235, 
0.0000__55.2301, 0.8364__55.2863, 1.4203__55.5701, 1.7309__55.7454, 1.9735__55.7771, 2.2739__55.8118, 2.9152__55.8746, 3.7228__55.5134, 4.5392__55.4173, 5.3028__55.5516, 6.0947__55.6163, 6.3421__55.7633, 6.8653__55.8499, 7.6921__56.0943, 8.7523__56.2451, 9.9991__56.4480, 11.2968__56.7462, 12.5955__57.0396, 14.0116__57.3261, 15.5341__57.6599, 17.1147__58.0186, 18.8066__58.3255, 20.6495__58.8250, 22.4030__59.3952, 24.0859__59.7025, 25.9935__60.2188, 28.0666__61.4156, 29.6244__62.1996, 30.1589__61.8688, 31.2355__60.9296, 32.9235__60.8530, 34.3732__60.7503, 36.2127__60.8286, 37.4115__60.6932, 39.7198__60.9789, 41.5455__61.4692, 42.6564__61.4529, 43.7724__61.5143, 44.1815__61.3899, 45.0522__61.1619, 45.8367__60.9803, 46.3489__60.5721, 47.1727__60.2729, 48.8538__60.7426, 50.2533__60.9913, 51.1935__60.9811, 52.1177__61.0448, 52.7448__60.9369, 53.3924__60.7748, 54.1217__60.7356, 54.9260__60.7387, 55.9178__60.7548, 56.5291__60.7780, 57.4397__60.9850, 58.2901__61.0024, 59.0793__61.1329, 59.8924__61.5137, 60.6171__61.7542, 61.2948__61.9584, 61.7724__61.9901, 62.1952__62.0941, 62.7368__62.2003, 63.1428__62.1830, 63.5761__62.1299, 64.0000__62.0835, 
0.0000__54.4336, 0.6301__54.5630, 1.2247__54.7133, 1.7453__54.7893, 2.0006__54.9519, 2.3103__54.9761, 3.4015__54.7530, 4.0568__54.7531, 4.3872__54.7233, 4.7501__54.7006, 5.3513__54.8263, 5.9451__54.9935, 6.5823__55.0277, 7.2394__55.0944, 8.3798__55.3453, 9.5912__55.5849, 10.9411__55.8338, 12.2238__56.1762, 13.6034__56.5104, 15.0456__56.8200, 16.6680__57.1681, 18.3528__57.4725, 20.1803__57.8154, 22.0714__58.3835, 23.7448__58.8525, 25.6742__59.3665, 27.5149__60.5389, 28.9862__61.2271, 29.8422__60.7344, 31.0763__60.1805, 32.7075__60.0759, 34.4250__60.0688, 36.0022__60.1305, 37.6912__60.2125, 40.1065__60.6833, 41.6617__61.1233, 42.8820__61.2147, 43.4152__60.9840, 43.7891__60.6516, 44.8473__60.5546, 45.7857__60.3885, 46.4545__60.1741, 47.2631__59.8248, 48.7446__60.1664, 50.1966__60.6306, 51.3389__60.7149, 52.0276__60.7221, 52.8588__60.6344, 53.4900__60.5117, 54.1501__60.4386, 54.9669__60.3588, 55.9707__60.4903, 56.5702__60.4986, 57.4310__60.4690, 58.2297__60.7444, 58.8829__60.8156, 59.6188__60.7693, 60.3363__61.0563, 61.0683__61.3799, 61.7279__61.5997, 62.0967__61.6728, 62.7669__61.7882, 63.1616__61.9095, 63.6192__61.9743, 64.0000__61.9863, 
