0.0000__64.0000, 0.9518__64.0000, 1.9112__64.0000, 2.8802__64.0000, 3.8518__64.0000, 4.8302__64.0000, 5.7996__64.0000, 6.7650__64.0000, 7.7253__64.0000, 8.6853__64.0000, 9.6576__64.0000, 10.6330__64.0000, 11.6099__64.0000, 12.5903__64.0000, 13.5802__64.0000, 14.5720__64.0000, 15.5636__64.0000, 16.5499__64.0000, 17.5492__64.0000, 18.5453__64.0000, 19.5416__64.0000, 20.5396__64.0000, 21.5421__64.0000, 22.5428__64.0000, 23.5366__64.0000, 24.5320__64.0000, 25.5203__64.0000, 26.5172__64.0000, 27.5196__64.0000, 28.5334__64.0000, 29.5464__64.0000, 30.5548__64.0000, 31.5627__64.0000, 32.5642__64.0000, 33.5668__64.0000, 34.5679__64.0000, 35.5698__64.0000, 36.5723__64.0000, 37.5772__64.0000, 38.5818__64.0000, 39.5893__64.0000, 40.5970__64.0000, 41.6132__64.0000, 42.6249__64.0000, 43.6454__64.0000, 44.6550__64.0000, 45.6605__64.0000, 46.6718__64.0000, 47.6841__64.0000, 48.6956__64.0000, 49.7073__64.0000, 50.7211__64.0000, 51.7350__64.0000, 52.7513__64.0000, 53.7696__64.0000, 54.7862__64.0000, 55.8037__64.0000, 56.8253__64.0000, 57.8467__64.0000, 58.8655__64.0000, 59.8853__64.0000, 60.9066__64.0000, 61.9402__64.0000, 62.9723__64.0000, 64.0000__64.0000, 
0.0000__62.9833, 0.9537__62.9819, 1.9115__62.9798, 2.8806__62.9789, 3.8523__62.9779, 4.8266__62.9806, 5.8007__62.9827, 6.7659__62.9812, 7.7238__62.9816, 8.6867__62.9816, 9.6574__62.9805, 10.6327__62.9805, 11.6095__62.9809, 12.5899__62.9811, 13.5768__62.9837, 14.5736__62.9855, 15.5617__62.9866, 16.5520__62.9872, 17.5502__62.9851, 18.5454__62.9851, 19.5438__62.9835, 20.5411__62.9807, 21.5425__62.9792, 22.5422__62.9795, 23.5357__62.9804, 24.5296__62.9835, 25.5222__62.9838, 26.5167__62.9823, 27.5193__62.9828, 28.5327__62.9832, 29.5454__62.9847, 30.5554__62.9848, 31.5620__62.9848, 32.5649__62.9846, 33.5674__62.9830, 34.5673__62.9825, 35.5688__62.9834, 36.5714__62.9842, 37.5768__62.9851, 38.5803__62.9866, 39.5881__62.9892, 40.5962__62.9908, 41.6110__62.9938, 42.6275__62.9943, 43.6453__62.9927, 44.6590__62.9899, 45.6638__62.9836, 46.6719__62.9803, 47.6830__62.9807, 48.6959__62.9808, 49.7078__62.9799, 50.7210__62.9792, 51.7359__62.9783, 52.7523__62.9766, 53.7701__62.9754, 54.7871__62.9739, 55.8045__62.9718, 56.8247__62.9712, 57.8452__62.9726, 58.8647__62.9750, 59.8853__62.9764, 60.9093__62.9740, 61.9422__62.9697, 62.9734__62.9671, 64.0000__62.9662, 
0.0000__61.9653, 0.9549__61.9658, 1.9151__61.9634, 2.8817__61.9601, 3.8523__61.9605, 4.8242__61.9604, 5.7995__61.9617, 6.7645__61.9656, 7.7261__61.9647, 8.6857__61.9632, 9.6584__61.9634, 10.6304__61.9638, 11.6077__61.9665, 12.5884__61.9681, 13.5779__61.9648, 14.5692__61.9654, 15.5607__61.9699, 16.5555__61.9681, 17.5522__61.9664, 18.5488__61.9628, 19.5457__61.9601, 20.5439__61.9577, 21.5409__61.9578, 22.5413__61.9597, 23.5328__61.9621, 24.5261__61.9649, 25.5231__61.9664, 26.5145__61.9677, 27.5186__61.9686, 28.5315__61.9687, 29.5439__61.9696, 30.5558__61.9701, 31.5614__61.9701, 32.5659__61.9694, 33.5670__61.9690, 34.5660__61.9695, 35.5670__61.9702, 36.5714__61.9698, 37.5719__61.9723, 38.5772__61.9776, 39.5847__61.9811, 40.5956__61.9835, 41.6102__61.9832, 42.6319__61.9811, 43.6493__61.9755, 44.6624__61.9723, 45.6685__61.9708, 46.6735__61.9679, 47.6844__61.9645, 48.6972__61.9616, 49.7087__61.9601, 50.7234__61.9574, 51.7373__61.9543, 52.7530__61.9535, 53.7711__61.9525, 54.7898__61.9499, 55.8067__61.9468, 56.8253__61.9441, 57.8449__61.9420, 58.8608__61.9433, 59.8858__61.9457, 60.9153__61.9415, 61.9458__61.9362, 62.9747__61.9343, 64.0000__61.9341, 
0.0000__60.9363, 0.9541__60.9375, 1.9195__60.9362, 2.8809__60.9352, 3.8490__60.9397, 4.8254__60.9418, 5.7951__60.9432, 6.7619__60.9456, 7.7258__60.9482, 8.6856__60.9490, 9.6570__60.9494, 10.6257__60.9536, 11.6045__60.9580, 12.5922__60.9558, 13.5782__60.9534, 14.5673__60.9531, 15.5625__60.9486, 16.5580__60.9454, 17.5530__60.9435, 18.5527__60.9420, 19.5484__60.9369, 20.5430__60.9338, 21.5356__60.9357, 22.5331__60.9439, 23.5286__60.9520, 24.5230__60.9563, 25.5208__60.9605, 26.5166__60.9599, 27.5207__60.9552, 28.5298__60.9544, 29.5437__60.9552, 30.5543__60.9565, 31.5612__60.9577, 32.5643__60.9593, 33.5667__60.9604, 34.5661__60.9592, 35.5654__60.9589, 36.5681__60.9622, 37.5670__60.9664, 38.5741__60.9695, 39.5830__60.9716, 40.5975__60.9710, 41.6130__60.9691, 42.6365__60.9652, 43.6553__60.9596, 44.6633__60.9558, 45.6713__60.9532, 46.6770__60.9495, 47.6870__60.9465, 48.6994__60.9446, 49.7113__60.9414, 50.7264__60.9383, 51.7387__60.9362, 52.7542__60.9341, 53.7740__60.9306, 54.7921__60.9278, 55.8094__60.9256, 56.8278__60.9224, 57.8469__60.9197, 58.8615__60.9158, 59.8881__60.9110, 60.9203__60.9077, 61.9485__60.9049, 62.9741__60.9047, 64.0000__60.9060, 
0.0000__59.9167, 0.9508__59.9195, 1.9222__59.9213, 2.8778__59.9208, 3.8418__59.9255, 4.8241__59.9310, 5.7916__59.9328, 6.7593__59.9349, 7.7230__59.9359, 8.6837__59.9374, 9.6511__59.9430, 10.6215__59.9486, 11.6044__59.9494, 12.5945__59.9496, 13.5815__59.9466, 14.5730__59.9391, 15.5671__59.9325, 16.5605__59.9269, 17.5531__59.9229, 18.5496__59.9250, 19.5510__59.9282, 20.5419__59.9256, 21.5293__59.9261, 22.5250__59.9291, 23.5214__59.9352, 24.5203__59.9418, 25.5200__59.9439, 26.5213__59.9432, 27.5238__59.9410, 28.5299__59.9384, 29.5398__59.9408, 30.5521__59.9450, 31.5588__59.9482, 32.5636__59.9497, 33.5666__59.9496, 34.5650__59.9513, 35.5631__59.9537, 36.5656__59.9553, 37.5662__59.9552, 38.5719__59.9560, 39.5862__59.9545, 40.5958__59.9548, 41.6175__59.9555, 42.6417__59.9501, 43.6581__59.9460, 44.6658__59.9431, 45.6742__59.9394, 46.6809__59.9352, 47.6898__59.9304, 48.7010__59.9273, 49.7146__59.9250, 50.7282__59.9224, 51.7418__59.9194, 52.7573__59.9152, 53.7770__59.9129, 54.7943__59.9105, 55.8130__59.9070, 56.8323__59.9026, 57.8505__59.8978, 58.8702__59.8907, 59.8950__59.8805, 60.9235__59.8739, 61.9488__59.8726, 62.9712__59.8750, 64.0000__59.8770, 
0.0000__58.9080, 0.9458__58.9102, 1.9183__58.9182, 2.8798__58.9178, 3.8356__58.9151, 4.8164__58.9247, 5.7905__58.9309, 6.7575__58.9300, 7.7223__58.9300, 8.6798__58.9308, 9.6428__58.9373, 10.6213__58.9416, 11.6063__58.9397, 12.5964__58.9377, 13.5899__58.9318, 14.5795__58.9242, 15.5710__58.9198, 16.5619__58.9184, 17.5544__58.9164, 18.5432__58.9165, 19.5476__58.9216, 20.5444__58.9242, 21.5287__58.9201, 22.5213__58.9201, 23.5157__58.9232, 24.5175__58.9253, 25.5203__58.9263, 26.5225__58.9261, 27.5246__58.9267, 28.5304__58.9278, 29.5358__58.9282, 30.5478__58.9315, 31.5553__58.9362, 32.5620__58.9401, 33.5648__58.9437, 34.5642__58.9453, 35.5640__58.9435, 36.5647__58.9427, 37.5674__58.9433, 38.5749__58.9395, 39.5838__58.9392, 40.5947__58.9404, 41.6157__58.9419, 42.6467__58.9421, 43.6603__58.9371, 44.6692__58.9336, 45.6784__58.9289, 46.6854__58.9239, 47.6942__58.9191, 48.7037__58.9146, 49.7180__58.9102, 50.7313__58.9055, 51.7452__58.9017, 52.7619__58.8979, 53.7802__58.8921, 54.7991__58.8862, 55.8180__58.8803, 56.8370__58.8754, 57.8583__58.8687, 58.8805__58.8582, 59.9013__58.8514, 60.9246__58.8501, 61.9478__58.8507, 62.9708__58.8499, 64.0000__58.8486, 
0.0000__57.9211, 0.9447__57.9209, 1.9148__57.9187, 2.8876__57.9127, 3.8273__57.9142, 4.8048__57.9253, 5.7903__57.9297, 6.7591__57.9290, 7.7224__57.9255, 8.6738__57.9307, 9.6386__57.9363, 10.6244__57.9343, 11.6106__57.9295, 12.6007__57.9232, 13.5950__57.9191, 14.5837__57.9159, 15.5719__57.9133, 16.5627__57.9113, 17.5547__57.9111, 18.5424__57.9104, 19.5419__57.9122, 20.5446__57.9166, 21.5344__57.9160, 22.5201__57.9111, 23.5135__57.9115, 24.5178__57.9120, 25.5212__57.9086, 26.5216__57.9075, 27.5226__57.9093, 28.5275__57.9132, 29.5349__57.9165, 30.5424__57.9198, 31.5512__57.9245, 32.5583__57.9286, 33.5623__57.9315, 34.5647__57.9330, 35.5665__57.9320, 36.5636__57.9305, 37.5658__57.9321, 38.5747__57.9359, 39.5810__57.9376, 40.5948__57.9375, 41.6131__57.9377, 42.6515__57.9352, 43.6642__57.9297, 44.6739__57.9240, 45.6827__57.9193, 46.6905__57.9146, 47.6988__57.9091, 48.7090__57.9033, 49.7217__57.8985, 50.7363__57.8943, 51.7494__57.8884, 52.7677__57.8821, 53.7884__57.8736, 54.8047__57.8657, 55.8245__57.8589, 56.8435__57.8505, 57.8661__57.8427, 58.8868__57.8375, 59.9046__57.8333, 60.9252__57.8302, 61.9478__57.8291, 62.9737__57.8274, 64.0000__57.8255, 
0.0000__56.9140, 0.9452__56.9157, 1.9135__56.9208, 2.8851__56.9333, 3.8261__56.9358, 4.8061__56.9234, 5.7875__56.9223, 6.7609__56.9236, 7.7219__56.9245, 8.6655__56.9286, 9.6418__56.9301, 10.6286__56.9265, 11.6165__56.9220, 12.6057__56.9175, 13.5985__56.9121, 14.5862__56.9077, 15.5741__56.9046, 16.5639__56.9026, 17.5536__56.9032, 18.5448__56.9024, 19.5384__56.9018, 20.5412__56.9052, 21.5366__56.9077, 22.5238__56.9077, 23.5143__56.9039, 24.5216__56.8995, 25.5259__56.8922, 26.5175__56.8889, 27.5175__56.8934, 28.5227__56.8975, 29.5304__56.9030, 30.5382__56.9084, 31.5463__56.9132, 32.5549__56.9177, 33.5598__56.9215, 34.5644__56.9230, 35.5665__56.9235, 36.5619__56.9257, 37.5619__56.9284, 38.5704__56.9315, 39.5810__56.9338, 40.5944__56.9357, 41.6169__56.9338, 42.6559__56.9286, 43.6694__56.9238, 44.6796__56.9182, 45.6875__56.9117, 46.6953__56.9062, 47.7043__56.9011, 48.7144__56.8954, 49.7260__56.8903, 50.7419__56.8848, 51.7574__56.8773, 52.7749__56.8686, 53.7963__56.8617, 54.8132__56.8527, 55.8331__56.8422, 56.8513__56.8336, 57.8723__56.8265, 58.8906__56.8209, 59.9088__56.8166, 60.9285__56.8123, 61.9503__56.8084, 62.9759__56.8058, 64.0000__56.8055, 
0.0000__55.9023, 0.9373__55.9087, 1.9035__55.9210, 2.8748__55.9273, 3.8396__55.9239, 4.8116__55.9192, 5.7850__55.9194, 6.7600__55.9208, 7.7189__55.9214, 8.6614__55.9249, 9.6454__55.9259, 10.6338__55.9205, 11.6206__55.9155, 12.6112__55.9097, 13.6031__55.9041, 14.5898__55.9003, 15.5774__55.8962, 16.5639__55.8943, 17.5527__55.8945, 18.5460__55.8948, 19.5382__55.8936, 20.5369__55.8942, 21.5348__55.8977, 22.5256__55.8982, 23.5205__55.8950, 24.5250__55.8900, 25.5289__55.8888, 26.5174__55.8859, 27.5142__55.8813, 28.5168__55.8834, 29.5232__55.8892, 30.5331__55.8951, 31.5413__55.9000, 32.5494__55.9062, 33.5572__55.9102, 34.5621__55.9133, 35.5629__55.9181, 36.5594__55.9210, 37.5590__55.9235, 38.5672__55.9270, 39.5792__55.9309, 40.5956__55.9315, 41.6228__55.9282, 42.6611__55.9230, 43.6740__55.9176, 44.6852__55.9128, 45.6936__55.9076, 46.7007__55.9017, 47.7108__55.8947, 48.7202__55.8878, 49.7318__55.8815, 50.7487__55.8751, 51.7659__55.8677, 52.7839__55.8589, 53.8038__55.8497, 54.8244__55.8393, 55.8419__55.8293, 56.8600__55.8201, 57.8790__55.8115, 58.8960__55.8046, 59.9142__55.7982, 60.9328__55.7932, 61.9540__55.7898, 62.9768__55.7880, 64.0000__55.7874, 
0.0000__54.9270, 0.9339__54.9236, 1.9021__54.9159, 2.8737__54.9143, 3.8463__54.9133, 4.8097__54.9105, 5.7817__54.9134, 6.7532__54.9224, 7.7159__54.9328, 8.6626__54.9325, 9.6518__54.9247, 10.6397__54.9189, 11.6277__54.9116, 12.6198__54.9016, 13.6066__54.8937, 14.5920__54.8910, 15.5796__54.8897, 16.5641__54.8886, 17.5531__54.8877, 18.5450__54.8884, 19.5403__54.8880, 20.5345__54.8871, 21.5318__54.8891, 22.5282__54.8892, 23.5226__54.8876, 24.5281__54.8864, 25.5275__54.8847, 26.5228__54.8824, 27.5171__54.8775, 28.5122__54.8752, 29.5174__54.8773, 30.5241__54.8838, 31.5358__54.8915, 32.5435__54.8952, 33.5527__54.9005, 34.5574__54.9052, 35.5573__54.9097, 36.5552__54.9169, 37.5562__54.9223, 38.5648__54.9254, 39.5792__54.9258, 40.5998__54.9234, 41.6283__54.9187, 42.6648__54.9155, 43.6796__54.9118, 44.6902__54.9061, 45.6992__54.9015, 46.7076__54.8954, 47.7180__54.8888, 48.7279__54.8811, 49.7396__54.8721, 50.7544__54.8651, 51.7745__54.8583, 52.7925__54.8502, 53.8145__54.8404, 54.8354__54.8286, 55.8519__54.8174, 56.8701__54.8066, 57.8870__54.7972, 58.9039__54.7882, 59.9203__54.7808, 60.9373__54.7757, 61.9571__54.7717, 62.9778__54.7694, 64.0000__54.7690, 
0.0000__53.9252, 0.9458__53.9184, 1.9068__53.9116, 2.8726__53.9119, 3.8476__53.9127, 4.8125__53.9079, 5.7697__53.9114, 6.7406__53.9262, 7.7101__53.9358, 8.6765__53.9309, 9.6604__53.9203, 10.6484__53.9103, 11.6362__53.9010, 12.6272__53.8950, 13.6113__53.8894, 14.5944__53.8837, 15.5798__53.8811, 16.5646__53.8809, 17.5538__53.8805, 18.5448__53.8795, 19.5401__53.8802, 20.5335__53.8816, 21.5296__53.8829, 22.5296__53.8837, 23.5239__53.8823, 24.5283__53.8819, 25.5310__53.8793, 26.5256__53.8744, 27.5183__53.8734, 28.5097__53.8750, 29.5132__53.8782, 30.5180__53.8809, 31.5304__53.8839, 32.5400__53.8880, 33.5466__53.8908, 34.5502__53.8975, 35.5504__53.9064, 36.5488__53.9128, 37.5531__53.9192, 38.5671__53.9196, 39.5827__53.9165, 40.6045__53.9138, 41.6352__53.9086, 42.6668__53.9033, 43.6844__53.9001, 44.6942__53.8974, 45.7033__53.8945, 46.7141__53.8904, 47.7256__53.8831, 48.7356__53.8755, 49.7478__53.8689, 50.7634__53.8588, 51.7811__53.8504, 52.8020__53.8430, 53.8272__53.8312, 54.8473__53.8180, 55.8642__53.8047, 56.8804__53.7924, 57.8957__53.7832, 58.9130__53.7744, 59.9268__53.7662, 60.9427__53.7592, 61.9608__53.7541, 62.9802__53.7507, 64.0000__53.7487, 
