0.0000__64.0000, 1.2213__64.0000, 2.3241__64.0000, 3.3956__64.0000, 4.5217__64.0000, 5.6370__64.0000, 6.7527__64.0000, 7.9055__64.0000, 8.9672__64.0000, 10.1441__64.0000, 11.3566__64.0000, 12.5221__64.0000, 13.6204__64.0000, 14.8637__64.0000, 16.1489__64.0000, 17.4157__64.0000, 18.7147__64.0000, 19.9852__64.0000, 21.3003__64.0000, 22.5874__64.0000, 23.8306__64.0000, 25.1335__64.0000, 26.3900__64.0000, 27.6722__64.0000, 28.9932__64.0000, 30.3513__64.0000, 31.7357__64.0000, 33.2266__64.0000, 34.8019__64.0000, 36.4478__64.0000, 38.0733__64.0000, 39.5644__64.0000, 41.0141__64.0000, 42.2792__64.0000, 43.5410__64.0000, 44.7694__64.0000, 46.0210__64.0000, 47.2136__64.0000, 48.4382__64.0000, 49.6762__64.0000, 50.8516__64.0000, 51.8160__64.0000, 52.7382__64.0000, 53.4788__64.0000, 54.3204__64.0000, 55.0303__64.0000, 55.7936__64.0000, 56.5288__64.0000, 57.2640__64.0000, 58.0352__64.0000, 58.5954__64.0000, 59.1244__64.0000, 59.6381__64.0000, 60.0991__64.0000, 60.5151__64.0000, 60.8977__64.0000, 61.2028__64.0000, 61.6768__64.0000, 62.2390__64.0000, 62.5580__64.0000, 62.8547__64.0000, 63.1437__64.0000, 63.3638__64.0000, 63.6535__64.0000, 64.0000__64.0000, 
0.0000__63.3371, 1.2205__63.3372, 2.3285__63.3400, 3.4018__63.3291, 4.5206__63.3189, 5.6312__63.3285, 6.7587__63.3327, 7.8868__63.3517, 8.9616__63.3695, 10.1363__63.3750, 11.3257__63.4047, 12.4948__63.4387, 13.6217__63.4261, 14.8633__63.4097, 16.1150__63.4436, 17.4023__63.4776, 18.6803__63.4973, 19.9594__63.5133, 21.2738__63.5118, 22.5619__63.5128, 23.8273__63.5028, 25.1356__63.4921, 26.4170__63.4826, 27.6956__63.4703, 29.0140__63.4716, 30.3573__63.4820, 31.7404__63.4892, 33.2007__63.4999, 34.7473__63.5256, 36.3812__63.5444, 37.9941__63.5770, 39.5293__63.5736, 40.9403__63.5728, 42.2203__63.5693, 43.4050__63.5756, 44.6892__63.5871, 45.9200__63.5831, 47.1388__63.5943, 48.3774__63.5859, 49.6064__63.5920, 50.7972__63.6183, 51.8168__63.6074, 52.7014__63.6125, 53.4977__63.6157, 54.2984__63.6110, 55.0428__63.6147, 55.7855__63.6116, 56.5366__63.6175, 57.2786__63.6114, 58.0241__63.6258, 58.6198__63.6367, 59.1567__63.6346, 59.7005__63.6360, 60.1587__63.6392, 60.6447__63.6566, 61.0260__63.6380, 61.3962__63.6208, 61.8399__63.5752, 62.2711__63.6297, 62.5854__63.6823, 62.8688__63.6836, 63.1275__63.6966, 63.3857__63.6858, 63.6687__63.6505, 64.0000__63.6386, 
0.0000__62.6792, 1.2454__62.6609, 2.3178__62.6653, 3.4232__62.6725, 4.5323__62.6403, 5.6188__62.6438, 6.7525__62.6759, 7.8760__62.7026, 8.9528__62.7093, 10.0971__62.7400, 11.2750__62.7848, 12.4430__62.8115, 13.6336__62.8129, 14.8380__62.8312, 16.0752__62.8807, 17.3442__62.9263, 18.5961__62.9758, 19.8833__62.9995, 21.2059__63.0087, 22.5085__63.0038, 23.8042__62.9903, 25.1311__62.9854, 26.4621__62.9800, 27.7556__62.9630, 29.0602__62.9629, 30.4005__62.9671, 31.7482__62.9716, 33.1303__62.9995, 34.6211__63.0314, 36.2086__63.0659, 37.8012__63.1114, 39.3700__63.1290, 40.7592__63.1326, 42.0217__63.1486, 43.2401__63.1217, 44.4703__63.1100, 45.7244__63.1444, 46.9789__63.1506, 48.2424__63.1629, 49.5102__63.1738, 50.7137__63.1868, 51.7823__63.2090, 52.6374__63.2088, 53.4334__63.2131, 54.2000__63.2124, 54.9252__63.2313, 55.6926__63.2326, 56.4365__63.2301, 57.2089__63.2763, 58.0397__63.2625, 58.6401__63.2707, 59.2423__63.2906, 59.8158__63.3018, 60.3246__63.3038, 60.8343__63.3618, 61.3169__63.3703, 61.7061__63.3651, 62.0495__63.4014, 62.3306__63.4163, 62.6297__63.4243, 62.8820__63.4215, 63.1281__63.4058, 63.4064__63.3918, 63.6906__63.3777, 64.0000__63.3682, 
0.0000__61.9550, 1.2785__61.9775, 2.2783__62.0157, 3.4554__62.0284, 4.5597__61.9981, 5.6045__61.9918, 6.7314__62.0184, 7.8387__62.0772, 8.9403__62.1199, 10.0623__62.1201, 11.2370__62.1416, 12.4126__62.1766, 13.6172__62.2184, 14.8143__62.2578, 16.0405__62.3058, 17.2563__62.3708, 18.4967__62.4165, 19.7882__62.4389, 21.1074__62.4665, 22.4540__62.4825, 23.7648__62.4673, 25.1025__62.4629, 26.4791__62.4706, 27.7835__62.4739, 29.1041__62.4694, 30.4183__62.4641, 31.7109__62.4777, 33.0279__62.4964, 34.4700__62.5148, 35.9756__62.5523, 37.5408__62.6057, 39.0918__62.6379, 40.5109__62.6803, 41.8301__62.6605, 43.0969__62.6433, 44.2578__62.6554, 45.5433__62.6565, 46.8021__62.6998, 48.1444__62.7114, 49.4142__62.7330, 50.6074__62.7726, 51.6390__62.7850, 52.4557__62.8145, 53.2281__62.8045, 53.9880__62.7931, 54.7008__62.7945, 55.5263__62.8010, 56.3313__62.8135, 57.1166__62.7991, 58.0010__62.8730, 58.6073__62.9339, 59.2792__62.9521, 59.8700__62.9784, 60.4077__63.0225, 60.9331__63.0509, 61.4281__63.1095, 61.7996__63.1324, 62.0870__63.1441, 62.3627__63.1565, 62.6414__63.1517, 62.8836__63.1345, 63.1306__63.1098, 63.4061__63.0862, 63.6971__63.0615, 64.0000__63.0514, 
0.0000__61.2799, 1.2738__61.3281, 2.2839__61.3232, 3.4334__61.3376, 4.6042__61.3735, 5.5905__61.3469, 6.7042__61.3653, 7.7844__61.4112, 8.8942__61.4562, 10.0387__61.4882, 11.1990__61.5133, 12.3852__61.5597, 13.5725__61.6281, 14.7945__61.6924, 15.9753__61.7568, 17.1664__61.8141, 18.4094__61.8426, 19.7032__61.8675, 21.0148__61.8927, 22.3806__61.9326, 23.7405__61.9444, 25.0681__61.9279, 26.4240__61.9479, 27.7384__61.9638, 29.0637__61.9565, 30.3670__61.9419, 31.6130__61.9337, 32.9201__61.9457, 34.3062__61.9741, 35.7645__62.0045, 37.2564__62.0441, 38.7718__62.1022, 40.2098__62.1364, 41.5963__62.1634, 42.8269__62.1744, 44.0502__62.1496, 45.3095__62.1758, 46.6585__62.2201, 48.0358__62.2419, 49.2750__62.2725, 50.4075__62.2961, 51.3738__62.3398, 52.2125__62.3486, 53.0192__62.3283, 53.8041__62.3555, 54.6348__62.3671, 55.4793__62.3642, 56.3429__62.4021, 57.0833__62.4294, 57.8440__62.4701, 58.5382__62.5417, 59.2152__62.5853, 59.8666__62.6507, 60.4057__62.6914, 60.9749__62.7478, 61.4073__62.8072, 61.8026__62.8648, 62.0839__62.8730, 62.3608__62.8584, 62.6313__62.8581, 62.8757__62.8411, 63.1248__62.8138, 63.4193__62.7848, 63.7132__62.7667, 64.0000__62.7571, 
0.0000__60.6275, 1.2858__60.6591, 2.3009__60.6660, 3.3977__60.6601, 4.6098__60.7456, 5.6310__60.7416, 6.6785__60.7106, 7.7315__60.7685, 8.8439__60.8226, 9.9941__60.8527, 11.1727__60.8861, 12.3313__60.9404, 13.5061__61.0211, 14.7288__61.1123, 15.8801__61.1840, 17.0643__61.2193, 18.3234__61.2484, 19.6105__61.2911, 20.9386__61.3222, 22.2731__61.3604, 23.6896__61.4094, 25.0138__61.4120, 26.3053__61.4051, 27.6286__61.4128, 28.9748__61.4041, 30.2963__61.3952, 31.5507__61.3857, 32.8417__61.3823, 34.1738__61.4059, 35.5918__61.4452, 37.0060__61.4801, 38.4498__61.5059, 39.8453__61.5439, 41.1804__61.5660, 42.4905__61.5825, 43.7830__61.6111, 45.1098__61.6343, 46.5644__61.6862, 47.9164__61.7543, 49.1363__61.8054, 50.1792__61.8345, 51.1484__61.8441, 52.0233__61.8587, 52.8663__61.8580, 53.6708__61.8589, 54.5308__61.9178, 55.4519__61.9473, 56.2242__61.9781, 57.0006__62.0286, 57.7234__62.0421, 58.4106__62.1272, 59.1780__62.2165, 59.8458__62.3018, 60.4313__62.3828, 60.9685__62.4520, 61.4043__62.5126, 61.7740__62.5560, 62.0974__62.5801, 62.3486__62.5782, 62.6148__62.5665, 62.8628__62.5340, 63.1333__62.4860, 63.4240__62.4727, 63.7225__62.4860, 64.0000__62.4960, 
0.0000__59.9887, 1.3365__60.0338, 2.2884__60.0479, 3.4066__59.9987, 4.5547__60.0544, 5.6963__60.1433, 6.6523__60.1800, 7.6841__60.1843, 8.7782__60.1867, 9.9616__60.2080, 11.1270__60.2510, 12.2724__60.3268, 13.4217__60.3982, 14.6268__60.4991, 15.7585__60.5729, 16.9572__60.5960, 18.1990__60.6366, 19.4908__60.6783, 20.8120__60.7096, 22.1413__60.7477, 23.5396__60.8062, 24.8952__60.8366, 26.1577__60.8131, 27.4960__60.8027, 28.8817__60.8212, 30.2322__60.8241, 31.4961__60.8192, 32.7454__60.8254, 34.0388__60.8327, 35.4113__60.8449, 36.7936__60.8642, 38.1558__60.8862, 39.5054__60.9089, 40.8580__60.9232, 42.2180__60.9665, 43.6308__61.0332, 45.0740__61.0830, 46.4153__61.1786, 47.7453__61.2462, 48.8794__61.2896, 49.9579__61.3178, 50.9290__61.3344, 51.8435__61.3606, 52.7403__61.3493, 53.5201__61.3710, 54.3948__61.3764, 55.2899__61.4401, 56.1043__61.5190, 56.8764__61.5550, 57.6245__61.6489, 58.3525__61.7045, 59.1363__61.8013, 59.7709__61.9538, 60.4102__62.0729, 60.9399__62.1443, 61.3698__62.2199, 61.7423__62.2803, 62.0865__62.3032, 62.3324__62.2884, 62.5760__62.2499, 62.8689__62.2244, 63.1582__62.1996, 63.4366__62.1917, 63.7248__62.2044, 64.0000__62.2150, 
0.0000__59.2898, 1.3707__59.4360, 2.3313__59.4655, 3.3926__59.3575, 4.5791__59.3853, 5.6560__59.5521, 6.6244__59.6522, 7.6468__59.6088, 8.7077__59.5616, 9.9325__59.5607, 11.0803__59.6112, 12.1847__59.6909, 13.3407__59.7698, 14.4942__59.8637, 15.6269__59.9212, 16.8240__59.9370, 18.0502__59.9556, 19.3381__59.9813, 20.6492__60.0210, 21.9759__60.0593, 23.3260__60.1155, 24.6940__60.1712, 26.0124__60.1838, 27.3651__60.1836, 28.7696__60.2163, 30.1472__60.2296, 31.3679__60.2139, 32.5863__60.1893, 33.8805__60.1840, 35.2420__60.2046, 36.6009__60.2316, 37.9404__60.2375, 39.2961__60.2464, 40.6918__60.2912, 42.1137__60.3579, 43.5698__60.4386, 44.9313__60.5359, 46.1555__60.6015, 47.4250__60.6684, 48.5983__60.7132, 49.6907__60.7314, 50.7134__60.7775, 51.6949__60.8107, 52.6558__60.8555, 53.4902__60.8658, 54.3618__60.9037, 55.1798__60.9610, 56.0239__61.0206, 56.7696__61.0934, 57.5449__61.1715, 58.3145__61.2865, 59.0059__61.4102, 59.6649__61.4981, 60.2343__61.6452, 60.8386__61.7807, 61.2567__61.8524, 61.6736__61.9063, 62.0297__61.9482, 62.2976__61.9453, 62.5454__61.8921, 62.8571__61.8742, 63.1747__61.9081, 63.4566__61.9299, 63.7330__61.9458, 64.0000__61.9550, 
0.0000__58.5756, 1.3245__58.7797, 2.4318__58.9202, 3.4338__58.7900, 4.5392__58.8729, 5.5795__59.0440, 6.6007__59.0450, 7.5710__58.9680, 8.6835__58.8596, 9.8843__58.8724, 11.0493__58.9829, 12.0934__59.0417, 13.2563__59.1030, 14.3428__59.1881, 15.4810__59.2214, 16.6890__59.2182, 17.9062__59.2163, 19.1876__59.2322, 20.4919__59.2695, 21.8110__59.3174, 23.1212__59.3580, 24.4636__59.3877, 25.8296__59.4336, 27.2010__59.4903, 28.6057__59.5489, 29.9910__59.5842, 31.2175__59.5557, 32.4401__59.5075, 33.7250__59.5071, 35.0679__59.5321, 36.4382__59.5497, 37.8276__59.5640, 39.2115__59.5937, 40.6281__59.6698, 42.0764__59.7571, 43.4199__59.8356, 44.6639__59.9053, 45.8500__59.9555, 47.0510__60.0086, 48.3176__60.0902, 49.4648__60.1535, 50.5558__60.1936, 51.5808__60.2808, 52.6439__60.3486, 53.5066__60.3923, 54.3253__60.4281, 55.1480__60.4720, 55.9533__60.5551, 56.7533__60.6298, 57.4644__60.7114, 58.1977__60.8196, 58.8769__60.9169, 59.5162__61.0430, 60.0348__61.1202, 60.5948__61.2433, 61.1601__61.3981, 61.5735__61.4848, 61.9468__61.5468, 62.2403__61.5371, 62.5379__61.5153, 62.8492__61.5261, 63.1776__61.5813, 63.4651__61.6374, 63.7451__61.6747, 64.0000__61.6854, 
0.0000__57.9659, 1.3199__58.0819, 2.4549__58.2986, 3.5026__58.3595, 4.4595__58.3557, 5.5508__58.3962, 6.5505__58.3837, 7.5709__58.2382, 8.6299__58.1093, 9.8378__58.1916, 10.9977__58.3448, 12.0297__58.4122, 13.1415__58.4504, 14.1901__58.4830, 15.3431__58.4394, 16.5525__58.4352, 17.7931__58.4488, 19.0669__58.4692, 20.3633__58.5081, 21.6702__58.5503, 22.9699__58.5809, 24.2985__58.6042, 25.6446__58.6492, 27.0154__58.7163, 28.3997__58.7958, 29.7829__58.8546, 31.0803__58.8690, 32.3147__58.8318, 33.5542__58.7984, 34.8998__58.8051, 36.3295__58.8449, 37.7667__58.9056, 39.1834__58.9770, 40.5815__59.0516, 41.9766__59.1324, 43.2311__59.1926, 44.4080__59.2282, 45.5688__59.2727, 46.7742__59.3213, 48.0325__59.4012, 49.2806__59.5154, 50.4236__59.6078, 51.5032__59.6812, 52.5935__59.8021, 53.4853__59.8968, 54.3215__59.9459, 55.1251__60.0120, 55.9323__60.0821, 56.7084__60.1691, 57.3848__60.2534, 58.1030__60.3419, 58.7718__60.4369, 59.3304__60.5284, 59.9170__60.6351, 60.4165__60.7278, 61.0348__60.8848, 61.4833__61.0425, 61.8604__61.0932, 62.1938__61.1203, 62.5238__61.1401, 62.8490__61.1891, 63.1654__61.2619, 63.4684__61.3235, 63.7527__61.3801, 64.0000__61.4139, 
0.0000__57.2718, 1.3517__57.4151, 2.4080__57.6389, 3.5055__57.7704, 4.4615__57.7624, 5.4653__57.7063, 6.5308__57.6775, 7.5839__57.6214, 8.6398__57.5255, 9.7943__57.5525, 10.9325__57.7189, 11.9469__57.7845, 13.0579__57.7747, 14.0637__57.6878, 15.2262__57.6132, 16.4221__57.6194, 17.6946__57.6405, 18.9643__57.6755, 20.2618__57.7083, 21.5486__57.7441, 22.8604__57.7765, 24.1757__57.8137, 25.5129__57.8597, 26.8574__57.9201, 28.2064__57.9969, 29.5809__58.0601, 30.8860__58.0985, 32.1733__58.0761, 33.3868__58.0351, 34.7579__58.0510, 36.2168__58.1225, 37.6739__58.2150, 39.1041__58.3119, 40.4816__58.4062, 41.8384__58.4703, 43.0489__58.5145, 44.2069__58.5379, 45.3556__58.5635, 46.5781__58.6223, 47.8416__58.7130, 49.1199__58.8556, 50.3629__59.0008, 51.4737__59.1230, 52.5091__59.2429, 53.4311__59.3500, 54.2607__59.4288, 55.0666__59.4993, 55.8562__59.5805, 56.6089__59.6644, 57.3115__59.7462, 57.9993__59.8466, 58.6742__59.9448, 59.2220__60.0123, 59.7915__60.1090, 60.3608__60.2530, 60.8675__60.4010, 61.4042__60.5401, 61.7799__60.6214, 62.1452__60.6700, 62.5053__60.7280, 62.8274__60.7944, 63.1577__60.8648, 63.4739__60.9475, 63.7487__61.0380, 64.0000__61.0782, 
